"","Leaf.C.per.dry.mass","Leaf.C.to.N.ratio","Leaf.weight.ratio","Lamina.thickness","Leaf.N.per.dry.mass","Leaf.N.to.P.ratio","Leaf.P.per.dry.mass","Leaf.physical.strength","Leaf.K.per.dry.mass","Leaf.respiration.per.dry.mass","SLA","Photosynthesis.per.leaf.dry.mass","RGR","Root.N.per.dry.mass","Rooting.depth","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","SSD","Stomata.conductance.per.leaf.area","Wood.dry.mass.per.plant.dry.mass"
"Minots Corner Road",42.81,15.63,0.53,NA,4.585,7.505,2589.855,NA,NA,NA,1263.065,NA,0.23,1.52,NA,0.46,27248.835,NA,0.15,113.86,NA
"Mohawk River",42.81,13.555,0.53,0.15,10.0666666666667,7.93666666666667,2643.43666666667,2.22,NA,NA,529.922,NA,0.23,1.52,NA,2.386,28657.904,NA,0.265,113.86,NA
"New Pond Brook",NA,NA,0.8,0.22,19.2,10.09,1731.73,0.47,NA,NA,71.01,NA,0.21,NA,0.31,1.81,40193.6,26.015,NA,NA,NA
"North Branch West Stony Creek",42.81,15.63,0.53,NA,7.46,8.33,2619.71,NA,NA,NA,2495.27,NA,0.23,1.52,NA,0.64,46341,NA,0.15,113.86,NA
"Paragon Brook",356.026666666667,19.78,13.2633333333333,0.165,18.95,10.65,899.465,2.365,NA,NA,76.4466666666667,139.01,0.18,1.55,11,10483.5675,62257.82,25.7333333333333,0.325,65.25,63.3466666666667
"Plotter Kill",142.248333333333,16.948,24.28,0.26,11.5025,13.2425,819.431428571429,1.1775,10.78,NA,332.843333333333,187.53,0.212,0.38,16,928.604444444444,150525.185555556,23.355,0.2875,283,44.7266666666667
"Potic Creek",39.71,23.5966666666667,26.56,0.213333333333333,14.2933333333333,12.535,1375.395,1.44666666666667,NA,25.5,55.5675,260.78,0.18,2.34,9,25018.245,32910.16,19.1,0.38,117.88,28.1
"Quacken Kill",106.03,25.1566666666667,13.4528571428571,0.236666666666667,10.5171428571429,10.475,1003.725,0.863333333333333,10.78,25.5,372.663,225.183333333333,0.185,1.61666666666667,7.662,13276.5227272727,58415.9090909091,20.7342857142857,0.28,115.87,49.928
"Roeliff Jansen Kill",125.23,16.63,9.50666666666667,0.26,11.13,8.8,689.1225,10.72,NA,NA,55.4071428571429,99.3,0.206666666666667,1.07,NA,3.28125,140699.8225,15.3333333333333,0.335,181.69,56.32
"Saw Kill",42.005,15.48,51.04,0.26,9.45,10.5966666666667,1935.48666666667,1.455,NA,NA,76.29,NA,NA,NA,6,1913.36166666667,21821.466,NA,0.38,NA,44.305
"Sherriff Lake Outlet",43.98,13.88,0.68,NA,2.98,11.5,0.35,NA,NA,NA,2569.29,NA,0.26,0.38,NA,2.495,17801.29,24.165,0.35,NA,NA
"Snook Kill",41.4425,18.2275,8.326,0.29,9.89166666666667,10.574,1152.24666666667,0.726666666666667,NA,25.5,894.79,180.04,0.222,1.41333333333333,2.155,14013.0233333333,81878.98,17.325,0.263333333333333,127.246666666667,38.135
"Sprout Creek",41.0933333333333,27.03,26.82,0.286666666666667,9.74,16.27,0.845,0.883333333333333,NA,25.5,77.32,180.04,0.205,2.34,9,25017.7175,95410.58,17.7,0.29,133.94,37.5066666666667
"Steele Creek",40.75,15.35,43.905,0.37,5,9.345,2409.855,0.69,10.29,NA,684.145,NA,0.23,1.52,NA,2.6575,17767.0333333333,NA,0.15,113.86,12.72
"Sterling Creek",217.095,15.8614285714286,17.6575,0.222,14.3888888888889,11.6733333333333,684.6275,1.628,14.105,25.5,345.659090909091,268.27,0.212857142857143,1.49,8,8151.78272727273,660542.195454545,22.968,0.234,91.565,42.004
"Stewart Creek",38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,NA,NA,58.84,NA,NA,NA,NA,0.31,6953.1,NA,NA,NA,12.72
"Stony Creek",146.626666666667,20.5375,21.87,0.195,16.95,13.0533333333333,960.64,1.6125,NA,25.5,62.9833333333333,260.78,0.155,2.225,10,17604.8033333333,1163555.045,28.125,0.305,91.565,39.2466666666667
"Timmerman Creek",148.073333333333,12.5966666666667,33.4233333333333,0.213333333333333,13.622,13.926,738.702,1.44666666666667,17.43,NA,185.736,NA,0.18,2.11,14,2786.904,11129.412,31.06,0.21,65.25,37.13
"Trout Brook",43.98,13.88,0.68,NA,2.98,11.5,0.35,NA,NA,NA,2569.29,NA,0.26,0.38,NA,1.68,17801.29,15.1,0.35,NA,NA
"Valatie Kill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.6433333333333,NA,NA,NA,10,4669.74666666667,3424740.09,21,NA,NA,NA
"Wappinger Creek",43.86,16.63,27.34,0.26,10.0366666666667,7.74,1770.7,1.375,NA,NA,59.97,99.3,0.23,NA,NA,2.7275,88057.2975,16.3,0.335,150,56.32
"Wharton Hollow Creek",283.136666666667,13.095,24.546,0.211666666666667,16.07375,12.916,894.288571428572,6.20833333333333,17.43,NA,127.061111111111,NA,0.1825,1.59,12,5119.88111111111,35118.0566666667,26.795,0.253333333333333,139.315,41.6433333333333
