,Leaf.C.per.dry.mass,Leaf.C.to.N.ratio,Leaf.weight.ratio,Lamina.thickness,Leaf.N.per.dry.mass,Leaf.N.to.P.ratio,Leaf.P.per.dry.mass,Leaf.physical.strength,Leaf.K.per.dry.mass,Leaf.respiration.per.dry.mass,SLA,Photosynthesis.per.leaf.dry.mass,RGR,Root.N.per.dry.mass,Rooting.depth,Seed.mass,Seed.number.per.reproduction.unit,Seed.protein.content.per.mass,SSD,Stomata.conductance.per.leaf.area,Wood.dry.mass.per.plant.dry.mass
North Branch West Stony Creek I,42.81,15.63,0.53,NA,7.46,8.33,2619.71,NA,NA,NA,2495.27,NA,0.23,1.52,NA,0.64,46341,NA,0.15,113.86,NA
Paragon Brook I,356.0266667,19.78,13.26333333,0.165,18.95,10.65,899.465,2.365,NA,NA,76.44666667,139.01,0.18,1.55,11,10483.5675,62257.82,25.73333333,0.325,65.25,63.34666667
Plotter Kill I,142.2483333,16.948,24.28,0.26,11.5025,13.2425,819.4314286,1.1775,10.78,NA,332.8433333,187.53,0.212,0.38,16,928.6044444,150525.1856,23.355,0.2875,283,44.72666667
Potic Creek I,39.71,23.59666667,26.56,0.213333333,14.29333333,12.535,1375.395,1.446666667,NA,25.5,55.5675,260.78,0.18,2.34,9,25018.245,32910.16,19.1,0.38,117.88,28.1
Quacken Kill I,106.03,25.15666667,13.45285714,0.236666667,10.51714286,10.475,1003.725,0.863333333,10.78,25.5,372.663,225.1833333,0.185,1.616666667,7.662,13276.52273,58415.90909,20.73428571,0.28,115.87,49.928
Roeliff Jansen Kill I,125.23,16.63,9.506666667,0.26,11.13,8.8,689.1225,10.72,NA,NA,55.40714286,99.3,0.206666667,1.07,NA,3.28125,140699.8225,15.33333333,0.335,181.69,56.32
Saw Kill I,42.005,15.48,51.04,0.26,9.45,10.59666667,1935.486667,1.455,NA,NA,76.29,NA,NA,NA,6,1913.361667,21821.466,NA,0.38,NA,44.305
Sherriff Lake Outlet I,43.98,13.88,0.68,NA,2.98,11.5,0.35,NA,NA,NA,2569.29,NA,0.26,0.38,NA,2.495,17801.29,24.165,0.35,NA,NA
Snook Kill I,41.4425,18.2275,8.326,0.29,9.891666667,10.574,1152.246667,0.726666667,NA,25.5,894.79,180.04,0.222,1.413333333,2.155,14013.02333,81878.98,17.325,0.263333333,127.2466667,38.135
Sprout Creek I,41.09333333,27.03,26.82,0.286666667,9.74,16.27,0.845,0.883333333,NA,25.5,77.32,180.04,0.205,2.34,9,25017.7175,95410.58,17.7,0.29,133.94,37.50666667
Steele Creek I,40.75,15.35,43.905,0.37,5,9.345,2409.855,0.69,10.29,NA,684.145,NA,0.23,1.52,NA,2.6575,17767.03333,NA,0.15,113.86,12.72
Sterling Creek I,217.095,15.86142857,17.6575,0.222,14.38888889,11.67333333,684.6275,1.628,14.105,25.5,345.6590909,268.27,0.212857143,1.49,8,8151.782727,660542.1955,22.968,0.234,91.565,42.004
Stewart Creek I,38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,NA,NA,58.84,NA,NA,NA,NA,0.31,6953.1,NA,NA,NA,12.72
Stony Creek I,146.6266667,20.5375,21.87,0.195,16.95,13.05333333,960.64,1.6125,NA,25.5,62.98333333,260.78,0.155,2.225,10,17604.80333,1163555.045,28.125,0.305,91.565,39.24666667
Timmerman Creek I,148.0733333,12.59666667,33.42333333,0.213333333,13.622,13.926,738.702,1.446666667,17.43,NA,185.736,NA,0.18,2.11,14,2786.904,11129.412,31.06,0.21,65.25,37.13
Trout Brook I,43.98,13.88,0.68,NA,2.98,11.5,0.35,NA,NA,NA,2569.29,NA,0.26,0.38,NA,1.68,17801.29,15.1,0.35,NA,NA
Valatie Kill I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.64333333,NA,NA,NA,10,4669.746667,3424740.09,21,NA,NA,NA
Wappinger Creek I,43.86,16.63,27.34,0.26,10.03666667,7.74,1770.7,1.375,NA,NA,59.97,99.3,0.23,NA,NA,2.7275,88057.2975,16.3,0.335,150,56.32
Wharton Hollow Creek I,283.1366667,13.095,24.546,0.211666667,16.07375,12.916,894.2885714,6.208333333,17.43,NA,127.0611111,NA,0.1825,1.59,12,5119.881111,35118.05667,26.795,0.253333333,139.315,41.64333333
Alplaus Kill N,45.095,20.825,24.58857143,0.09,4.318571429,6.2625,2130.052,3.48,9.85,22.37,560.0484615,186.685,0.216666667,18.04,11.14285714,145890.457,406204.7529,24.275,0.16,287.5,55.034
Ballston Creek N,45.245,18.0275,15.84375,0.09,4.27,6.524,1757.255714,3.48,9.85,NA,695.06,210.7466667,0.18,2.31,13.6,177346.841,3851.471667,19.92857143,0.16,120,62.375
Battenkill N,44.888,27.95,27.57333333,0.09,1.46,6.013333333,1725.11,3.48,NA,NA,101.785,NA,0.195,NA,14,38292.79333,241245.0125,13.1,NA,NA,60.30333333
Beaver Kill N,116.695,25.5225,14.78,0.105,6.358888889,7.3725,1540.47,5.455,NA,NA,180.055,151.04,0.196,0.93,11.81818182,46027.14235,164431.1517,14.8,NA,120,68.384
Big Brook N,185.9716667,25.80333333,7.89,0.16,4.87,6.873333333,1766.875714,1.97,10.14,NA,743.1255556,85.885,0.1725,0.59,11.42857143,21837.12308,8016.618333,20.10428571,0.215,128.7766667,50.64
Boreas River N,148.73,22.6,16.145,0.14,6.96,10.79333333,1232.23,3.3,NA,NA,661.8433333,130.035,0.2,0.59,13.16666667,7313.769091,242133.7625,19.13,0.34,151.5,68.01
Bullhead Pond Brook N,49.01,12.33,12.49,NA,8.526666667,7.696666667,2575,NA,NA,NA,142.976,169.66,NA,NA,11,21402.5,4,NA,NA,90,86.11
Cadman Creek N,44.865,21.23,13.59666667,NA,8.786666667,8.03,1963.403333,NA,NA,NA,2769.621111,160.35,0.18,0.87,11.57142857,254286.118,919009.6533,18.65,0.18,105,69.205
Cedar River N,197.2028571,23.755,18.96,0.115,7.151428571,6.1175,1404.743333,3.39,NA,NA,128.4854545,82.57,0.185,0.59,13,38305.10118,14787.94833,22.67666667,0.27,153,57.8875
Chester Creek N,45.29,24.96,17.74,0.09,1.8,NA,0.53,3.48,NA,NA,57.33666667,NA,0.23,NA,13,253927.8336,349813.8375,NA,NA,NA,61.59
Cobleskill Creek N,44.49833333,17.8,10.36333333,0.15,4.133333333,8.64,1043.924,3.84,NA,NA,1293.121,107.4,0.215,NA,12,20943.30909,156726.7467,30.1125,0.23,100.1275,72.105
Daly Creek N,113.9983333,19.005,10.77,0.14,10.30142857,8.36,1766.9425,3.3,10.14,NA,2326.245455,116.805,0.16,0.73,11.61538462,202982.5441,457432.4367,20.586,0.18,121,74.84
Evas Kill N,113.6716667,18.22666667,7.78,0.14,3.672222222,6.58875,1324.353,3.3,NA,NA,3446.356667,85.885,0.23,1.2575,12.88888889,36136.98143,326698.9183,18.505,0.17,91.16,47.92
Fawn Lake N,45.65714286,20.002,15.43,0.18,2.828888889,8.968571429,1579.94,0.64,NA,NA,490.56,177.5,0.193333333,NA,10.8,29312.75214,183986.544,18.06666667,0.34,87.93666667,71.016
Fishkill Creek N,46.38,12.33,21.28,NA,3.71,8,2600,NA,NA,NA,244.645,NA,NA,NA,15,19793.97667,21763.31667,15.6,NA,NA,71.92
Four Mile Brook N,214.314,27.83333333,6.49,0.306666667,12.01166667,8.033333333,1329.84,4.16,NA,NA,97.99363636,116.805,0.178,0.59,10.88888889,34117.84706,205137.055,16.946,0.285,128.7766667,63.66
Green River N,44.755,24.865,27.175,NA,1.74,4.41,2550,NA,NA,NA,44.56,NA,0.18,NA,10,87039.904,8499.43,25.1,NA,NA,57.15
Hans Creek N,256.8575,25.37333333,23.04,0.14,10.246,6.47,2088.835,3.3,9.85,NA,171.605,134.4233333,0.16,0.59,13,233773.1015,26545.67333,16.965,0.27,136.5,53.86666667
Hudson River N,460.24,NA,0.57,0.14,16.59,7.83,577.56,3.3,NA,NA,95.97,112.585,0.2,0.59,11.33333333,189819.336,6692.71,19.13,NA,101.53,NA
Indian Brook N,44.90833333,20.158,22.586,NA,2.952857143,7.1325,2203.8025,NA,NA,NA,2812.221111,392,0.18,0.87,11.75,55578.50214,15120.79,18.03333333,0.18,NA,66.578
Indian Kill N,96.815,17.7,16.38166667,0.14,7.756666667,7.9875,1140.593333,3.3,9.85,30.11,2374.236923,183.3575,0.186666667,7.703333333,11.16666667,154174.1654,4428.418571,21.10142857,0.17,136.5,63.32666667
Jassup River N,45.29,24.96,13.445,0.09,16.67,NA,NA,3.48,10.14,NA,136.565,NA,0.1975,NA,11,403845.6943,9519.26,NA,NA,0.3,61.59
Kayaderosseras Creek N,126.264,18.51,8.76,0.14,14.00714286,6.505,795.716,3.3,NA,22.37,1050.924,175.7466667,0.205,9.315,14.57142857,29467.12333,13538.20571,24.48,0.175,163.05,55.89
Kennyetto Creek N,44.57,24.96,26.325,0.09,1.685,5.61,1400.15,3.48,NA,NA,54.89833333,169.66,0.22,NA,15.33333333,42496.17333,249.1,9.35,NA,NA,61.59
Keyser Kill N,114.7,24.21,9.338571429,0.145,7.305,8.8175,1279.426,3.57,10.14,NA,435.08,200.7775,0.1875,0.59,10.88888889,176868.8019,12302.99875,17.086,0.34,141,74.9825
Kinderhook Creek N,127.226,29.145,19.006,0.115,10.87833333,6.853333333,1692.52,3.39,10.14,NA,135.2266667,126.115,0.16,0.59,12.85714286,26415.30474,322565.2433,17.186,NA,76.71,63.59
Landsman Kill N,46.9025,21.27,16.594,0.09,2.43,7.44,1700.065,3.48,NA,NA,835.9655556,240.6,0.2275,NA,10,20862.95385,15836.36667,26.1,0.16,60.05,69.2025
Lansing Kill N,189.92,23.41,12.49,NA,4.6,6.555,3100.055,NA,NA,NA,131.624,169.66,NA,NA,12,35584.19,2611.42,15.6,0.27,NA,86.11
Mill Brook N,45.40666667,23.29,22.87,NA,5.422,5.89,2443.75,NA,NA,NA,184.5042857,NA,0.1775,NA,10.44444444,478339.9443,36849.715,21.46666667,NA,45.24,54.9875
Mill Creek N,214.75,25.2225,23.026,0.14,5.355,6.1175,2106.9175,3.3,9.85,NA,79.465,82.57,0.13,0.59,10.75,367195.1106,469757.2375,22.6325,0.27,153,51.50333333
Minots Corner Road N,131.882,25.37333333,38.09,NA,3.39,5.795,2800.055,NA,9.85,NA,112.3071429,169.66,NA,NA,16,13228.7825,243118.815,15.6,0.27,NA,53.86666667
Mohawk River N,43.47,24.96,26.325,0.09,1.395,6,2166.666667,3.48,NA,NA,197.2566667,169.66,0.195,2.31,10.8,92653.84909,618809.1833,15.6,NA,NA,61.59
New Pond Brook N,260.995,28.415,16.02,NA,4.91,5.11,3600.11,NA,NA,NA,238.12,NA,NA,NA,7,298462.2189,7744.31,22.5,0.27,NA,74.75
North Branch West Stony Creek N,135.76,22.45,18.49666667,0.38,6.436,7.8,1680.0875,3.12,9.83,NA,553.5375,154.1233333,0.213333333,NA,10.44444444,206011.9356,100008304.6,23.8,0.34,142.5,69.34333333
Paragon Brook N,165.8914286,29.075,13.142,0.14,7.975,6.15,2394.4175,3.3,NA,22.37,120.26,183.37,0.105,9.315,13.6,286989.56,184207.834,17.365,0.27,304,63.72
Plotter Kill N,46.7325,18.55,21.215,NA,1.778333333,6.071666667,2391.666667,NA,NA,NA,234.3783333,NA,0.18,2.31,14,132424.1311,302649.4767,22.6,NA,NA,68.375
Potic Creek N,91.39888889,21.25,13.81444444,0.115,8.396666667,8.36,1413.606,3.39,NA,NA,2143.043333,107.6033333,0.2,0.73,11,61160.8887,11435.52889,20.8325,0.17,120.75,69.20333333
Quacken Kill N,44.95857143,17.1425,19.128,0.09,2.135714286,6.8025,1300.134286,3.48,NA,NA,2580.224,89.2,0.21,NA,13.09090909,42519.75316,141020.97,20.41666667,0.165,120,66.755
Robbs Creek N,106.7357143,24.15,21.12,0.18,3.284285714,7.623333333,1800.936667,0.64,NA,NA,2205.991818,164.955,0.205,0.87,10,179796.0073,375364.034,24.525,0.225,56.905,54.07333333
Roeliff Jansen Kill N,45.51,18.645,23.8025,0.09,1.908333333,7.372,2253.334,3.48,NA,NA,154.572,NA,0.18,NA,12.5,42688.89563,403016.7214,13.1,NA,NA,66.755
Saw Kill N,47,17.335,9.663333333,NA,2.92,8,2600,NA,NA,NA,380.212,NA,0.19,NA,12,35749.62333,4,30.9,NA,0.1,80.43
Sherriff Lake Outlet N,44.83333333,24.02333333,20.16,NA,6.9,4.41,1275.265,NA,NA,NA,202.4028571,151.04,0.18,NA,11.6,218055.8663,643263.9767,20.8,NA,120,61.695
Snook Kill N,45.60857143,20.0525,16.34166667,NA,5.174444444,6.47,2021.465714,NA,NA,NA,740.444,89.2,0.2475,NA,12.54545455,74557.24524,417840.27,21.275,0.16,60.15,64.535
Sprout Creek N,104.5557143,19.17666667,11.75,0.14,5.361666667,8.35,1679.338,3.3,NA,NA,522.2075,130.035,0.17,0.59,13.25,33815.21182,184528.4,15.11,0.34,151.5,77.47
Steele Creek N,46.11,NA,NA,NA,1.205,6.8,1850,NA,NA,NA,58.60666667,NA,NA,NA,13.33333333,67083.232,449765.475,19.7,NA,NA,NA
Sterling Creek N,186.6633333,34.49,7.965,0.16,8.952857143,7.218333333,1969.645,1.97,10.14,30.11,105.44,82.57,0.1775,11.12,12,19854.58176,140341.6214,18.25166667,0.27,133.165,57.73
Stewart Creek N,477,34.49,0.42,NA,3.142,8.465,2637.5275,NA,NA,NA,106.8485714,169.66,0.07,NA,10.8,389567.7931,7744.31,23.8,0.27,NA,NA
Stony Creek N,129.184,15.62333333,12.05166667,0.115,5.2,7.878,1507.171667,3.39,NA,NA,3150.272,85.885,0.1825,0.73,11.6,18829.08615,142166.73,26.465,0.17,136.5,67.78666667
Timmerman Creek N,256.5825,28.61,8.466666667,0.37,8.296666667,6.686666667,1175.92,5.92,9.74,NA,65.0975,82.57,0.105,0.59,9.714285714,281458.83,409133.9233,21.81,0.285,153,63.66
Trout Brook N,43.19,24.96,12.415,NA,1.59,11.03,1100.03,NA,NA,NA,98.2425,169.66,0.07,NA,12.71428571,457114.3846,880228,NA,NA,NA,63.66
Valatie Kill N,43.13,NA,NA,NA,1.57,5.61,2800,NA,NA,NA,31.27,169.66,NA,NA,14,1116.864,1856092.5,10.6,NA,NA,NA
Wappinger Creek N,233.8433333,NA,0.57,0.14,16.485,8.445,789.135,3.3,NA,NA,74.948,82.57,0.14,0.59,10,26428.36556,2289.886667,21.87666667,NA,153,NA
Wharton Hollow Creek N,158.098,20.49666667,20.6825,0.115,7.256666667,7.89,1328.696,3.39,10.14,NA,4034.986667,82.57,0.195,0.73,8.5,10210.517,2131.0675,19.13,0.18,76.74,57.03333333
