Trait,abies_balsamea,acer_negundo,acer_pensylvanicum,acer_rubrum,acer_saccharinum,acer_saccharum,acer_spicatum,alnus_incana,betula_alleghaniensis,betula_papyrifera,carpinus_caroliniana,carya_cordiformis,carya_ovata,cephalanthus_occidentalis,cornus_amomum,cornus_canadensis,cornus_rugosa,cornus_sericea,corylus_cornuta,fagus_grandifolia,fraxinus_americana,fraxinus_nigra,fraxinus_pennsylvanica,hamamelis_virginiana,juglans_cinerea,juglans_nigra,lindera_benzoin,myrica_gale,oenothera_biennis,ostrya_virginiana,pinus_strobus,platanus_occidentalis,populus_deltoides,prunus_americana,prunus_serotina,prunus_virginiana,quercus_alba,quercus_velutina,rhamnus_alnifolia,rhus_typhina,robinia_pseudoacacia,rosa_palustris,rubus_allegheniensis,rubus_hispidus,rubus_idaeus,rubus_occidentalis,rubus_odoratus,salix_nigra,spiraea_alba,thuja_occidentalis,tilia_americana,tsuga_canadensis,ulmus_americana,ulmus_rubra,viburnum_acerifolium,viburnum_dentatum,viburnum_lantanoides
Dispersal syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit dry mass,NA,41.21,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit length,NA,30.13333333,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,2.186666667,NA,NA,NA,NA,NA,NA,7.575,7.25,NA,NA,NA,NA,NA,NA,NA,NA,7.47,NA,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit thickness,NA,2.3,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.366666667,NA,NA,NA,NA,NA,NA,7.425,6.125,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit width,NA,12.2,NA,NA,NA,NA,NA,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,NA,NA,NA,NA,1.986666667,NA,NA,NA,NA,NA,NA,7.425,6.625,NA,NA,NA,NA,NA,NA,NA,NA,6.685,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germination efficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germination requirement,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metamorphoses and morphological adaptations: seed or dispersal unit,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycorrhizal type,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrogen fixation capacity,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phenology: reproductive,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,4.5,NA,NA,NA,NA,4.5,NA,NA,4.5,NA,NA,NA,6,5.5,NA,NA,NA,NA,5.5,NA,NA,NA,128.6666667,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phenology: vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Photosynthesis leaf intercellular CO2 concentration,NA,NA,NA,207.0290909,NA,239.76,NA,NA,NA,NA,NA,NA,120.225,NA,NA,NA,NA,NA,NA,NA,153.232,NA,287.598,NA,NA,130.3125,NA,NA,314.07,NA,170.9076923,NA,117.435,NA,297.5375,NA,NA,503.56,NA,NA,126.5675,NA,NA,NA,NA,NA,NA,NA,NA,139.4675,NA,132.94,123.1525,NA,NA,NA,NA
Photosynthesis net assimilytion rate (NAR),NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA
Photosynthesis per leaf area,NA,NA,9.85,7.672903226,NA,7.504444444,NA,NA,12.7,17.01428571,NA,NA,8.31,NA,NA,NA,NA,NA,NA,6.47,10.31,NA,6.896,NA,NA,7.167142857,6.625,NA,7.3825,NA,8.523,NA,14.7825,NA,10.504,NA,23,4.5425,NA,NA,9.336666667,NA,NA,10.505,17.74444444,NA,NA,NA,11.96,12.41,NA,5.46,11.12142857,NA,NA,NA,NA
Photosynthesis per leaf dry mass,NA,NA,84.085,80.39578947,NA,60.085625,NA,NA,0.29,49,NA,NA,30.39333333,NA,NA,NA,NA,NA,NA,104.39,45.31571429,NA,131.152,NA,NA,58.45333333,NA,NA,92.375,NA,21.90666667,NA,81.08,NA,113.351,NA,114.115,79.18,NA,NA,162.1466667,NA,NA,151.75,295.2244444,NA,NA,NA,147.25,12.16125,NA,29.28,67.03714286,NA,NA,NA,NA
Plant age of maturity (first flowering),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plant growth form,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plant height generative,NA,11.5,NA,NA,40,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,20,NA,NA,22.5,NA,1.5,0.983333333,NA,28,25,NA,NA,9,NA,NA,NA,NA,4.5,NA,NA,NA,NA,9.375714286,NA,1.5,NA,NA,17.5,NA,20,NA,NA,NA,NA,NA
Plant height vegetative,34.33333333,21.20888889,20.3,43.5,44,45.6,23.33333333,35.45714286,46.375,217.125,23.33333333,44,42.325,15.33333333,8.5,0.25,9.5,10.83333333,11.4,62.5,42.45,41.66666667,41.66666667,12.75,44.33333333,46.48571429,12,2.917142857,64.572,25.33333333,55.63636364,64.5,72.5,24,25.59444444,15.83333333,62.5,57.5,16.25,10.06666667,34.1625,8.1,4.416666667,2,56.29565217,5.5,3.833333333,64.33333333,3,24.21428571,82.5,39.5,63,53.33333333,6,11.5,10
Plant lifespan,200,100,100,150,128.3333333,400,NA,50,300,140,NA,200,300,NA,NA,NA,NA,NA,NA,300,NA,250,NA,NA,75,200,NA,NA,NA,NA,383.3333333,250,NA,NA,150,NA,600,200,NA,NA,150,NA,NA,NA,NA,NA,NA,55,NA,500,200,1000,300,200,NA,NA,NA
Plant relative growth rate (RGR),NA,0.14,NA,NA,NA,0.07,NA,0.07,0.1,0.1375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,0.205555556,NA,0.033333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,0.21,NA,NA,NA,NA,NA
Plant tolerance to drought,1,3.03,2,1.84,2.88,2.25,2,1.973333333,3,2.02,2.02,4,3,3,2,NA,NA,2.48,2.88,1.5,2.38,2,3.85,2,2.38,2.38,2,0.53,NA,3.25,2.29,2.25,1.57,NA,3.02,2.88,3.56,3,NA,4,4.11,NA,4,NA,3.04,NA,NA,1.77,NA,2.71,2.88,1,2.92,3,NA,2,NA
Plant tolerance to frost,13,28.5,38.5,31,26,18.5,36,34.33333333,26,18.5,23.5,53.5,48.5,58.5,36,36,31,29.25,39.75,29,28,26,38.5,46,36,71,48.5,31,46,31,28.5,33,26,31,51,32.25,23.5,56,71,NA,28.5,31,46,51,34.33333333,50.5,26,43.5,38.5,33.5,49.75,23.5,18.5,33.5,43.5,155.5,36
Plant tolerance to human impact,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plant tolerance to planting density,750,750,900,685,435,500,900,966.6666667,500,500,950,435,500,2223,3000,3750,2200,2465.5,1200,550,550,550,550,1950,450,450,1950,5250,NA,700,815,550,485,950,550,1702.5,550,750,1699,NA,750,3150,3000,2598,2000,3000,950,750,2200,750,550,750,550,550,3750,1920,2200
Plant tolerance to precipitation,36.5,38.5,46,41,41,50,45,34.33333333,45,36,45,37.5,55,46.5,48,41,31.5,39,33.5,40,45,32.5,40,45,52.5,45,41,40,37.5,39,50,55,31.25,28,28.75,31,43,47.5,40.25,NA,40.5,42.5,39,50,36,34.5,45,42.5,36.5,45,41.5,43.5,37.5,45,41,42.5,40
Plant tolerance to shade,5.01,3.47,3.56,3.44,3.6,4.76,3.31,1.63,3.17,1.54,4.58,2.07,3.4,2.75,3,NA,NA,2.86,3,4.75,2.46,2.96,3.11,3,1.88,1.93,3,1.2,NA,4.58,3.21,2.86,1.76,NA,2.46,2.59,2.85,2.72,NA,1.56,1.72,NA,2.5,NA,2.66,NA,NA,1.34,NA,3.45,3.98,4.83,3.14,3.31,NA,4,NA
Plant tolerance to soil pH,5,6.1,5.45,6.25,4.6,5.5,6.4,6.083333333,5.75,5.75,5.7,6.95,5.35,6.9,6,6.2,7.1,6.15,6.125,5.3,6.25,5.1,6.5,5.35,6.5,6.75,5.25,6.4,6,5.9,5.25,5.7,5.775,6,7,6.775,5.65,5.25,6.25,NA,6.4,5.5,6.05,5.75,6.25,6.35,5.5,6.4,5.55,6.1,6.225,4.95,6.75,6.25,6.15,6.5,5.95
Plant tolerance to waterlogging,2,2.75,1,3.08,3.37,1.09,2,2.956666667,2,1.25,2.3,2.5,1.38,4.92,3,NA,NA,2.12,1.27,1.5,2.59,3.5,2.98,1.5,1.27,1.83,3,4.27,NA,1.07,1.03,2.71,3.03,NA,1.06,1.11,1.43,1.07,NA,1,1.07,NA,2,NA,2.5,NA,NA,4.68,NA,1.46,1.26,1.25,2.46,1.73,NA,2.5,NA
Reproductive dry mass per plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Root nitrogen (N) content per dry mass,3.166571429,16.7,NA,4.894857143,NA,9.58695122,0.82,NA,18.91071429,19.72489796,NA,NA,16.7,NA,NA,NA,NA,NA,NA,7.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.368769231,NA,NA,NA,NA,NA,7.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA
Rooting depth,20,40,28,30,32,40,32,26.5,30,32,20,50,48,14,16,10,18,18,17,32,40,40,40,20,40,40,18,14,10,16,40,30,24,24,24,22,48,40,12,NA,36,18,12,12,12,12,16,32,12,30,35,28,42,40,14,NA,14
Seed length,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,2.12,NA,NA,NA,NA,NA,NA,NA,NA
Seed mass,9978.935,696.5111765,1926.043333,1536.306667,321.0944444,806.275,3803.566667,157973.1172,34339.31846,98628.88929,3023.377,2420.205714,3683.6,2.6225,1772.1,9928.324286,3205.318333,4121.177778,665.4005556,375.2154545,804.4276923,997.1908333,1051.997857,1942.618333,12026.79143,10554.64308,839.5533333,1.30375,62545.85545,6013.29,1947.055,21335.99111,50000.92133,782.44,700.6405882,617.885,2709.97,1584.398333,13109.584,10.80571429,1863.994615,4.18,37430.61429,2.8975,18711.606,67001.102,98600.728,625000.045,1.00E+06,49372.56,886.9116667,31202.21,6186.732727,8208.864,2642.084,115387.766,11500
Seed number per ramet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seed number per reproducton unit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15156.5,126922.245,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2581.485714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seed protein content per mass,NA,48.8,NA,31.8,NA,NA,NA,16.2,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,NA,NA,NA,16.65,NA,NA,11.6,NA,NA,NA,35.6,NA,NA,NA,NA,43.2,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,16.9,NA
Seed thickness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA
Seed width,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA
Seedbank lifespan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Species distribution: number of floristic zones,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,4,4,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stem dry mass per plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stem length (height),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stem nitrogen (N) content per dry mass,3.563428571,NA,NA,3.390555556,NA,0.39,0.44,NA,19.27777778,13.1742,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.227534247,NA,0.07,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA
Stem specific density (SSD),0.41,108.362,0.44,275.275,0.51,433.56,NA,255.22,0.66,0.6,0.72,0.67,0.73,NA,NA,NA,NA,0.48,0.56,0.67,0.64,0.53,0.58,0.71,0.4,513.312,NA,NA,NA,0.63,175.185,190.26,0.426,NA,180.41,NA,0.685,0.67,NA,0.45,0.684,NA,NA,NA,NA,NA,NA,0.41,NA,175.16,0.4,0.43,225.275,0.57,NA,NA,NA
Stomata conductance per leaf area,NA,NA,NA,160.34,NA,33.5,NA,NA,NA,NA,NA,NA,316,NA,NA,NA,NA,NA,NA,NA,365.8,NA,176.382,NA,NA,162,NA,NA,0.6425,NA,199.1111111,NA,595,NA,210.215,NA,NA,126,NA,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,141,454,NA,NA,NA,NA
Wood dry mass per plant dry mass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woodiness,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
