Trait,Acalypha rhomboidea,Acer negundo,Acer platanoides,Acer rubrum,Acer saccharinum,Acer saccharum,Acer spicatum,Adiantum pedatum,Ageratina altissima,Agrimonia gryposepala,Agrostis perennans,Agrostis scabra,Alisma subcordatum,Alliaria petiolata,Ambrosia artemisiifolia,Ambrosia trifida,Amelanchier arborea,Amphicarpaea bracteata,Anemone canadensis,Apios americana,Arctium lappa,Arisaema triphyllum,Asarum canadense,Athyrium filix-femina,Berberis thunbergii,Betula alleghaniensis,Betula lenta,Betula populifolia,Bidens connata,Bidens frondosa,Boehmeria cylindrica,Brassica nigra,Bromus ciliatus,Calystegia sepium,Carpinus caroliniana,Carya cordiformis,Carya ovata,Catalpa speciosa,Caulophyllum thalictroides,Cephalanthus occidentalis,Chamaesyce maculata,Chelone glabra,Cicuta maculata,Cinna arundinacea,Circaea lutetiana,Clematis virginiana,Cornus amomum,Cornus rugosa,Cornus sericea,Cryptotaenia canadensis,Cynodon dactylon,Cyperus compressus,Cyperus strigosus,Dactylis glomerata,Daucus carota,Decodon verticillatus,Dichanthelium clandestinum,Digitaria cognata,Digitaria sanguinalis,Dryopteris carthusiana,Dryopteris marginalis,Echinochloa muricata,Echinocystis lobata,Eleocharis intermedia,Elymus canadensis,Elymus virginicus,Epilobium hirsutum,Euonymus alatus,Eupatorium purpureum,Fagus grandifolia,Fallopia japonica,Fragaria vesca,Fraxinus americana,Fraxinus nigra,Galium aparine,Galium asprellum,Galium boreale,Galium palustre,Galium triflorum,Geranium maculatum,Geum laciniatum,Glechoma hederacea,Glyceria borealis,Hamamelis virginiana,Helianthus giganteus,Helianthus strumosus,Heliopsis helianthoides,Hemerocallis fulva,Hieracium paniculatum,Hypericum mutilum,Impatiens capensis,Impatiens pallida,Juglans cinerea,Laportea canadensis,Leersia oryzoides,Lobelia cardinalis,Ludwigia palustris,Lycopus uniflorus,Lysimachia ciliata,Lysimachia nummularia,Lysimachia vulgaris,Lythrum salicaria,Maianthemum canadense,Maianthemum racemosum,Malus pumila,Marrubium vulgare,Matteuccia struthiopteris,Menispermum canadense,Mimulus ringens,Mitchella repens,Muhlenbergia mexicana,Muhlenbergia schreberi,Myosotis laxa,Myosoton aquaticum,Oenothera biennis,Onoclea sensibilis,Ostrya virginiana,Oxalis stricta,Panicum capillare,Panicum dichotomiflorum,Parthenocissus quinquefolia,Pastinaca sativa,Peltandra virginica,Penthorum sedoides,Petasites frigidus,Phytolacca americana,Pilea pumila,Pinus strobus,Plantago major,Polygonum hydropiper,Polygonum hydropiperoides,Polygonum lapathifolium,Polygonum persicaria,Polygonum sagittatum,Polygonum virginianum,Polystichum acrostichoides,Populus deltoides,Populus tremuloides,Potentilla simplex,Prunella vulgaris,Prunus serotina,Prunus virginiana,Quercus alba,Quercus macrocarpa,Quercus rubra,Ranunculus recurvatus,Rhamnus alnifolia,Rhamnus cathartica,Ribes americanum,Ribes rubrum,Robinia pseudoacacia,Rosa multiflora,Rubus allegheniensis,Rubus hispidus,Rubus occidentalis,Rubus odoratus,Rubus pubescens,Rumex obtusifolius,Salix alba,Salix nigra,Sambucus nigra,Scutellaria lateriflora,Solanum dulcamara,Solidago altissima,Solidago canadensis,Solidago flexicaulis,Solidago gigantea,Thalictrum pubescens,Thelypteris noveboracensis,Thelypteris palustris,Tilia americana,Toxicodendron radicans,Trifolium pratense,Trifolium repens,Tsuga canadensis,Ulmus rubra,Urtica dioica,Veronica americana,Viburnum acerifolium,Vitis riparia,Xanthium strumarium
Leaf dry mass,NA,0.16769,0.34562226,0.70915783,NA,0.19705,NA,NA,NA,0.084087379,NA,NA,NA,0.213937011,0.12308,0.214266667,NA,NA,NA,NA,1.564205333,0.164375001,NA,5.603077432,NA,0.093230769,NA,0.07255,0.02056,0.115708333,NA,0.261046667,0.034888889,0.090884847,0.065859031,NA,0.72175,NA,NA,NA,NA,NA,NA,NA,0.069448388,NA,NA,NA,NA,NA,0.005051111,NA,NA,0.057790816,0.064807511,NA,NA,NA,0.00862,0.232011256,NA,NA,NA,NA,NA,NA,0.113629846,NA,NA,NA,NA,0.112234108,0.157919082,NA,0.005593659,NA,0.003436286,0.001497392,NA,NA,NA,0.015851801,NA,NA,NA,NA,NA,NA,NA,NA,0.057082347,0.02003,NA,NA,NA,NA,0.007370833,NA,NA,0.009349426,0.092432452,0.060724992,0.053190476,0.077888889,NA,0.03319,2.549454177,NA,NA,NA,NA,NA,0.005489759,0.019548571,0.292010363,0.235189189,0.05393,0.015775192,0.19537,NA,NA,0.382975289,NA,NA,NA,NA,NA,0.032917156,0.268566697,0.064631927,NA,0.185505709,0.137578486,0.022493333,NA,NA,0.763636364,0.173269894,0.018974523,0.013046805,0.163286001,NA,NA,1.666666667,0.513857951,NA,NA,0.047895072,NA,0.171854143,0.100729917,0.288793333,NA,NA,NA,NA,NA,0.924222376,0.0604,NA,0.303998303,NA,0.065953774,NA,0.069567244,NA,0.08370887,NA,NA,0.3876625,NA,NA,0.050381952,0.017505893,0.005882353,NA,0.085326228,NA,NA,0.166333333,0.123776667
Leaf dry mass per plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,11.39,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.492,0.188,NA,NA,NA,5.82694,NA,NA,NA,NA,NA,NA,NA,2.582,1.106,NA,0.1,0.60628,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,2.436,NA,NA,0.524,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.018,NA,NA,NA,NA,NA,NA,NA,1.09,0.636,NA,NA,NA,NA,NA,NA,NA
"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",NA,0.57,0.586867952,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.621351485,0.64,0.68,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521558366,0.408320988,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.421666667,0.48,0.827,NA,NA,NA,NA,NA,NA,NA,0.616,NA,NA,0.5,NA,NA,NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.295,0.42,NA,NA,NA,NA,0.66,0.544,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,0.613,NA,0.651111111,NA,NA,NA,0.385,NA,NA,NA,NA,NA,NA,NA,NA,0.628433032,0.616123016,NA,NA,0.394,NA,NA,NA,NA,NA,0.634358859,NA,0.5732,NA,NA,NA,0.29,0.677087665,NA,NA,0.428861996,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601,NA,NA,0.501038397,NA,0.50027617,NA,0.57,NA,NA,NA,NA,NA,NA,NA,0.432,0.44,0.66,NA,0.669333333,NA,NA,NA,NA
Leaf dry matter content (LDMC),NA,60.51819082,36.62783684,2.043380301,NA,52.35991094,NA,NA,NA,87,NA,NA,NA,16.13333333,15.17066667,18.94116667,NA,NA,NA,NA,19.43322222,NA,NA,29.2,NA,74.20157535,NA,59.85693992,11.48666667,17.7065,NA,12.892,27,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.35,NA,NA,NA,NA,NA,23.67985714,NA,NA,28.02606063,25.41179289,NA,NA,NA,17.12566667,26.6792,NA,NA,NA,NA,NA,NA,20.8,NA,NA,NA,NA,50.87,64.8296187,NA,14,NA,31.22671429,26.36243137,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,24.06618613,78.30969575,NA,NA,NA,NA,20.51233333,NA,NA,22.30642857,23.78045455,49.3451197,42.00086872,NA,NA,22.1,34.6874986,NA,19.5338513,NA,NA,NA,12.0786,10.9282,40.44148443,21.19065144,64.2039664,32.303335,44.45159406,NA,NA,15.2,NA,23.88843838,NA,NA,NA,NA,26.24386228,21.56633826,NA,39.56666667,44.93169058,63.73332112,NA,NA,NA,54.88837393,90,29.87947966,30.70788889,NA,NA,NA,49.23288216,NA,NA,30.88416965,NA,26.74316667,NA,28.017,NA,NA,NA,NA,NA,14.6616164,29.7635,NA,25.18818411,29.00494795,19.30234476,NA,29.92255181,NA,30.8,NA,NA,20.7826,NA,NA,38.55911325,22.92999629,NA,NA,22.06908888,NA,NA,23.06666667,19.962375
Leaf fresh mass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248163265,0.256938776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488,0.188,NA,NA,NA,2.87424,NA,NA,NA,NA,NA,NA,NA,1.972,1.184567568,NA,0.11,0.60385,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.531666667,0.28,NA,NA,0.398,0.186,NA,NA,NA,NA,NA,0.04725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214152209,NA,NA,NA,NA,NA,NA,NA,0.49,0.101625,NA,NA,NA,NA,NA,0.711333333,NA
Leaf lamina thickness,NA,NA,NA,0.174374679,NA,0.190744773,NA,NA,NA,NA,NA,NA,NA,0.1526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193083334,NA,NA,0.147373333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1845,NA,NA,NA,NA,NA,NA,NA,0.177,NA,NA,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2315,NA,NA,0.281666667,NA,NA,NA,0.2135,NA,NA,NA,NA,NA,NA,0.138,NA,NA,NA,NA,0.222684509,NA,NA,0.1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26025,NA,NA,0.164,NA,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1385,0.160417778,NA,NA,0.1984,NA,NA,NA,NA
Leaf lifespan,NA,NA,6,5.5125,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,7.7,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,5.7,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,20.275,NA,NA,NA,NA,NA,NA,NA,NA,5,4.885714286,NA,NA,5.5,NA,NA,6,6,NA,NA,6.8,NA,NA,4.6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,60,NA,4.1,NA,NA,NA,NA
Leaf nitrogen (N) content,NA,NA,8.638128071,13.93428721,NA,13.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.514757709,NA,25.45714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234385825,0.0469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42385931,12.91304348,NA,NA,NA,0.195447,NA,NA,NA,NA,0.2956408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.13714759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508232961,NA,NA,NA,NA,NA,NA,NA,NA,18.02181818,8.286480665,NA,NA,13.38181818,NA,NA,39.16666667,11.96740524,NA,NA,6.574335553,NA,NA,2.677949632,NA,NA,NA,NA,NA,NA,18.08377403,NA,NA,1.846303459,NA,1.44119017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63466595,0.4135488,0.0582,NA,NA,NA,NA,NA,NA
Leaf nitrogen (N) content per area,NA,1.294582855,0.87908173,1.198813314,NA,1.118286376,NA,NA,NA,NA,NA,1.43,NA,NA,2.083402022,2.48,NA,NA,NA,NA,NA,1.67122807,NA,NA,NA,1.415179724,NA,1.046163749,NA,2.058704884,NA,NA,0.811512487,NA,1.04714847,1.145374449,1.688738095,1.56,1.369803922,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882517371,NA,NA,NA,NA,1.273144378,1.78083408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.245705401,NA,0.602015221,1.484713156,1.510791367,NA,NA,1.396077363,NA,NA,NA,NA,1.137183869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.585365854,NA,1.391705792,NA,NA,NA,NA,NA,3.583333333,2.332675952,NA,NA,NA,NA,1.211292174,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.524938272,NA,1.47840262,NA,NA,NA,NA,NA,1.26823221,NA,NA,2.778291967,1.787815291,NA,NA,3.641742209,NA,NA,NA,NA,2.141807458,1.924612006,NA,NA,1.588249556,1.107647059,1.881763543,2.16866204,1.500127159,NA,NA,1.924505282,NA,NA,1.833881882,NA,NA,1.398912863,NA,NA,NA,1.340134432,NA,1.396648045,1.728343982,NA,1.023992763,NA,NA,NA,NA,NA,NA,NA,1.32367033,NA,1.601313618,1.598619721,1.210808824,1.497005988,NA,NA,NA,NA,3.857445402
Leaf nitrogen (N) content per dry mass,NA,27.08298879,20.76468254,17.90128916,23.66667,18.42792935,22.74,NA,NA,NA,NA,13.00108925,NA,42.81158802,32.40737,44.1,NA,NA,11,NA,NA,38.78571429,NA,NA,NA,24.3194836,26.95888889,19.25,NA,27.91686412,NA,NA,13.04915425,31.5672044,19.16666667,22.16666667,19.03636364,21.6,48.225,NA,NA,NA,12.1,NA,25.04487709,NA,NA,17.9,22.1,NA,28.79122333,NA,NA,25.34035454,23.17520646,18.9,NA,12.94030575,12.6,24.04,NA,NA,NA,NA,32.940155,NA,31.64285714,NA,15,19.97446473,23.01278192,18.28549259,20.38285,20.2,29.86,NA,21.49363636,NA,19.41666667,17.7,NA,33.47964999,NA,NA,NA,NA,NA,NA,NA,NA,37.05935292,13,23.48333333,17.7,34.15085533,NA,NA,NA,12.5,17.1,25.46072613,22.93949125,17.06014699,NA,17.36666667,NA,28.72135305,NA,31.53958,13.8,NA,NA,NA,NA,19.310235,18.02615213,19.504,NA,18.27491401,NA,NA,NA,21.5,NA,23.11666667,NA,NA,15.55800519,36.9812745,23.51689386,NA,15.6189748,12.22482157,21.31099153,NA,NA,22.444,26.44879206,NA,19.62755545,24.41858412,18.35833333,20.95726023,22.75384615,20.44400497,NA,NA,24.7575,NA,21.76046369,35.85,NA,21.8,19.65,15.7,28,19.35,35.35502674,16.35298391,24.8,36.55712308,NA,40.48607202,NA,16.79769942,NA,11.975,NA,NA,NA,26.33214286,NA,39.42877787,42.62664551,12.65047838,21.83333333,44.59481014,NA,NA,15.7,29.28275326
Leaf nitrogen/phosphorus (N/P) ratio,NA,13.97801991,10.82878808,12.61669014,7.1,13.14890299,8.195764706,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,3.548387097,NA,NA,7.096022727,NA,NA,NA,14.3147207,17.79757124,17.60222245,NA,NA,NA,NA,8.454545455,NA,12.24381905,9.976344919,9.171455148,7.967741935,5.903225806,NA,NA,NA,7.117647059,NA,10.50989346,NA,NA,8.467623432,NA,NA,20.96618381,NA,NA,10.26210317,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.04030501,NA,6.818181818,13.83071987,NA,5.103850154,10.76632026,14.7236832,11.15946844,NA,9.061002179,NA,9.52691309,4.783783784,NA,8.326642891,NA,NA,NA,NA,NA,NA,NA,NA,8,4.814814815,7.494434925,7.08,NA,NA,NA,NA,5.952380952,6.6796875,NA,NA,7.506831132,NA,NA,NA,NA,NA,NA,11.03499455,NA,NA,NA,NA,NA,NA,9.406930162,NA,NA,NA,NA,NA,10.71428572,NA,11.44160584,NA,NA,10.94932501,16.2710223,NA,NA,NA,NA,NA,NA,NA,11.07971284,10.58335532,NA,7.826086957,13.26399395,15.10489509,12.88776023,10.18622628,13.7316384,NA,NA,15.9068807,NA,NA,17.71113053,NA,8.384615385,15.77681774,6.541666667,20,5.157051282,NA,NA,15.33909626,12.63433981,NA,11.13940992,NA,4.409722222,NA,6.476702898,NA,NA,NA,8.49800066,NA,14.09090909,NA,9.367246835,10.49351642,9.82066387,NA,NA,5.607142857,NA
Leaf phosphorus (P) content per area,NA,0.062962963,0.09445,0.105726923,NA,0.1015777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0783,NA,0.0555,NA,NA,NA,NA,0.0952,NA,0.0973,0.140969163,0.119791667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0865,NA,NA,0.230263158,0.0863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237804878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173990284,0.123258793,NA,NA,0.0838,0.100840336,0.125225065,0.182692308,0.11528406,NA,NA,0.0954,NA,NA,0.0768,NA,NA,0.0852,NA,NA,NA,NA,NA,0.0726,0.126528641,NA,0.0816,NA,NA,NA,NA,NA,NA,NA,0.203296703,NA,NA,NA,NA,0.107784431,NA,NA,NA,NA,NA
Leaf phosphorus (P) content per dry mass,NA,2.316489997,1.829578225,1.517800276,3.33333,1.649701895,3.24,NA,NA,NA,NA,NA,NA,3.345476634,NA,NA,NA,NA,3.1,NA,NA,3.025,NA,NA,NA,1.706303118,1.415,1.060241918,NA,2.57503403,NA,NA,1.53572758,1.92806498,1.539774183,2.349815852,2.082348831,3.1,3.1,NA,NA,NA,1.7,NA,2.503284153,NA,NA,2.5,NA,NA,2.346425,NA,NA,2.208296307,2.537693307,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.042857143,0.35,2.2,1.488672535,1.878389077,3.705313307,2.230383519,1.439899861,3.14,NA,1.712,NA,2.166666667,3.7,NA,3.262171952,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.7,3.416569978,2.5,NA,NA,NA,NA,2.1,2.56,2.177339949,1.500383916,2.55,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,2.033371707,NA,NA,NA,NA,NA,2.7,NA,2.74,NA,NA,1.337709998,1.92,NA,NA,NA,NA,NA,NA,NA,2.024895838,2.356683206,NA,3.12925,2.071125953,2.2284999,1.739457339,2.228725469,1.602985556,NA,NA,1.603053692,NA,0.271664416,1.881986852,NA,2.6,1.247634386,2.4,1.4,3.75,4.138255138,2.49253197,1.925028263,3.059824626,NA,3.559557864,NA,2.55,NA,2,NA,NA,NA,3.043535225,NA,1.845098711,2.025936227,1.525,2.283145153,4.481870728,NA,NA,2.8,2.26514532
Leaf porosity,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,19.5,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.25,NA,NA,NA,10
Leaf potassium (K) content per area,NA,0.392592593,0.609996099,0.403873688,NA,0.418302514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.299539171,NA,0.321446962,NA,NA,NA,NA,NA,NA,0.243243243,0.378854626,0.484375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356957769,NA,NA,0.638157895,0.762589928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62195122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237037037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.843971631,0.756775768,NA,NA,0.281437126,0.521008403,0.599251801,0.509615385,0.48294981,NA,NA,0.557647908,NA,NA,0.564700022,NA,NA,0.796410788,NA,NA,NA,NA,NA,0.575418994,0.857241288,NA,0.600742421,NA,NA,NA,NA,NA,NA,NA,0.730769231,NA,NA,NA,NA,0.766467066,NA,NA,NA,NA,NA
Leaf potassium (K) content per dry mass,NA,10.6,10.67,5.45,NA,7.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,5.5,NA,NA,NA,NA,NA,NA,4.5,8.6,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.64000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,5.5,NA,NA,9.7,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.10000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.360000002,NA,NA,NA,6.389999998,NA,NA,NA,NA,11.9,8.7,NA,NA,4.7,6.2,8.9,5.3,7.105,NA,NA,10.19666667,NA,NA,11.36666667,NA,NA,11.5,NA,NA,NA,NA,NA,10.3,16.49166667,NA,22.48888889,26.00000006,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA
Leaf respiration per dry mass,NA,NA,14.60674157,10.58129678,NA,7.000296136,NA,NA,NA,NA,NA,25.48038809,NA,NA,20.78244153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.04601076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.80575237,NA,NA,NA,NA,NA,NA,NA,10.30827414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.78897591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.205236649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.610815862,40.07835936,NA,NA,NA,NA,NA,NA,NA,11.65908926,27.46289306,NA,NA,17.05669332,5.944727097,11.92462512,14.09383966,11.42101989,NA,NA,NA,NA,NA,17.96859802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.963702748,NA,NA,NA,2.525763087,NA,NA,NA,NA,NA,NA
Leaf specific area (SLA),NA,196.1051564,201.7044988,175.0308408,238.6824884,243.6489722,367.6470588,393.7007874,NA,206,NA,118,NA,444.495212,212.7228827,238.8222222,NA,NA,NA,NA,173.3111111,380,NA,226.8654971,NA,346.9891149,235.8603741,188.2420573,546.7333333,299.9283604,NA,262.6,174.214458,357.3441209,237.7348612,269.3946262,129.1254625,124,425,NA,NA,NA,NA,NA,456.7652221,NA,NA,NA,250.42,NA,277.4226133,NA,NA,255.2627138,188.7623516,NA,NA,NA,312.9448467,255.2085887,241.5458937,NA,NA,NA,310.5763429,404.5,277.8257905,161.2903226,NA,189.7731235,214.929211,229.5456676,285.869296,229.1259896,351.591815,NA,228.8915908,345.0561717,NA,NA,NA,359.3052138,NA,191.8213613,NA,NA,164.27,NA,NA,NA,535.0333333,807.9476093,164,NA,367.4845435,263.3,317.6166667,NA,NA,308.6299914,248.5230048,202.1099043,272.8639456,222.98438,NA,113.9330441,267.9383102,NA,311.3692208,NA,NA,NA,399.14,632.2,195.6801746,293.9919078,461.0722906,499.8004689,274.6660437,NA,85.26280002,329.3333333,NA,461.7741915,195.3830397,62.80230001,NA,80.81434562,212.6843876,400.7263544,NA,175.2793688,231.5278676,578.08808,NA,182.4817518,117.4287918,208.1787232,314,285.7866996,187.6799285,220.7042565,161.3092291,142.063473,154.8293845,NA,NA,184.230044,NA,296.6830775,200.7020638,174.4235,NA,144.4709101,NA,NA,NA,293.2099682,120.2661764,179,225.547326,394.1620303,369.5191272,NA,167.1300719,NA,202.5,NA,473.9336493,306.94,256.7717722,261.1702283,237.4409303,295.2646566,128.1383889,186.0596923,324.8245183,NA,NA,327.7666667,182.6613585
