,Acalypha.rhomboidea,Acer.saccharum,Adiantum.pedatum,Ageratina.altissima,Agrimonia.gryposepala,Agrostis.perennans,Agrostis.scabra,Alisma.subcordatum,Alliaria.petiolata,Ambrosia.artemisiifolia,Ambrosia.trifida,Amphicarpaea.bracteata,Anemone.canadensis,Apios.americana,Arctium.lappa,Arisaema.triphyllum,Asarum.canadense,Athyrium.filix.femina,Bidens.connata,Bidens.frondosa,Boehmeria.cylindrica,Brassica.nigra,Bromus.ciliatus,Calystegia.sepium,Caulophyllum.thalictroides,Chamaesyce.maculata,Chelone.glabra,Cicuta.maculata,Cinna.arundinacea,Circaea.lutetiana,Clematis.virginiana,Cryptotaenia.canadensis,Cynodon.dactylon,Cyperus.compressus,Cyperus.strigosus,Dactylis.glomerata,Daucus.carota,Decodon.verticillatus,Dichanthelium.clandestinum,Digitaria.cognata,Digitaria.sanguinalis,Dryopteris.carthusiana,Echinocystis.lobata,Eleocharis.intermedia,Elymus.canadensis,Elymus.virginicus,Epilobium.hirsutum,Eupatorium.purpureum,Fallopia.japonica,Fragaria.vesca,Galium.aparine,Galium.asprellum,Galium.boreale,Galium.palustre,Galium.triflorum,Geranium.maculatum,Geum.laciniatum,Glechoma.hederacea,Glyceria.borealis,Helianthus.giganteus,Helianthus.strumosus,Heliopsis.helianthoides,Hemerocallis.fulva,Hieracium.paniculatum,Hypericum.mutilum,Impatiens.capensis,Impatiens.pallida,Laportea.canadensis,Leersia.oryzoides,Lobelia.cardinalis,Ludwigia.palustris,Lycopus.uniflorus,Lysimachia.ciliata,Lysimachia.nummularia,Lysimachia.vulgaris,Lythrum.salicaria,Maianthemum.canadense,Maianthemum.racemosum,Marrubium.vulgare,Matteuccia.struthiopteris,Menispermum.canadense,Mimulus.ringens,Mitchella.repens,Mollugo.verticillata,Muhlenbergia.mexicana,Muhlenbergia.schreberi,Myosotis.laxa,Myosoton.aquaticum,Oenothera.biennis,Onoclea.sensibilis,Oxalis.stricta,Panicum.capillare,Panicum.dichotomiflorum,Parthenocissus.quinquefolia,Pastinaca.sativa,Peltandra.virginica,Penthorum.sedoides,Petasites.frigidus,Phytolacca.americana,Pilea.pumila,Plantago.major,Polygonum.hydropiper,Polygonum.hydropiperoides,Polygonum.lapathifolium,Polygonum.persicaria,Polygonum.sagittatum,Polygonum.virginianum,Prunella.vulgaris,Ranunculus.recurvatus,Rhamnus.cathartica,Rubus.allegheniensis,Rubus.hispidus,Rubus.occidentalis,Rubus.odoratus,Rumex.obtusifolius,Scutellaria.lateriflora,Solanum.dulcamara,Solidago.altissima,Solidago.canadensis,Solidago.flexicaulis,Solidago.gigantea,Thalictrum.pubescens,Thelypteris.noveboracensis,Thelypteris.palustris,Toxicodendron.radicans,Trifolium.pratense,Trifolium.repens,Urtica.dioica,Veronica.americana,Vitis.riparia,Xanthium.strumarium
Clematis.virginiana,273423.0576,100851.5847,3662.861141,273427.6714,99784.75906,9189906.401,3376448.125,2560854.124,193328.64,193319.4395,193273.9109,273175.0536,273406.1689,15348.10904,193271.1741,24051.04667,193289.799,872.5394804,36044.76656,84958.8187,115098.5024,193335.8659,94182.56151,193173.5644,104486.976,273428.4403,273424.7664,273411.8436,111607.2352,193330.3133,0,273410.0422,342016.2024,105116.6481,103583.6981,94881.58665,193336.9161,103356.7925,1109199.29,273424.3392,193340.4184,129.7834169,191908.9802,273427.6714,75464.38293,68010.82274,193342.8408,273425.1936,193331.0351,193295.8449,35769.27391,1632410.526,57142.42569,193337.8689,273422.5449,193306.8748,1283603.037,193339.689,103589.3371,273401.4413,273384.0115,77775.29524,193174.9885,273426.3043,13778.52103,295331.7153,2330025.515,273409.9568,111809.359,9013677.544,104834.2882,273427.1801,273418.3584,193341.8556,193341.875,193341.4179,193288.1719,273180.0448,193338.4786,552.5692022,272841.7236,273418.1448,273398.9635,273428.4574,411585.4642,2320088.368,193342.4453,193342.3282,106537.8646,387.0433697,193342.1739,193332.2219,161839.5821,100863.4534,193322.4446,45365.98068,31281048.1,157857.5308,86318.77764,273419.2413,172973.9482,71653.01539,42624.2629,193289.1905,55860.43119,63174.52148,273383.6413,59836.41761,273423.6557,193198.8162,17854.46467,103358.3402,113073.092,215092.0608,193334.4221,273426.2189,193140.5835,273428.2865,542805.2165,650165.2813,237180.9455,273414.7699,4175549.79,123.4608541,193242.945,92247.81951,64957.15875,193343.1076,140176.5988,91616.52176,192248.9199
Cryptotaenia.canadensis,13.0153657,4857.957118,NA,17.62912772,534075.0084,22783991.51,6041509.797,7048784.094,2.086160917,84.05343869,79.48201884,234.988583,3.873281704,NA,83.35245254,235140.6093,57.016985,NA,185120.2093,65304.60664,555342.6143,7.958129199,504108.5813,221.3932607,1678.056576,18.39808806,14.72416645,1.801360787,14.69568644,2.364500998,273410.0422,0,842632.8728,15.92032698,15.85624695,28991.04458,9.528754944,12.75904559,2990382.315,14.29696626,14.57037438,NA,2009.777521,17.62912772,62622.06067,106818.4627,18.00140218,15.15136664,1.310080571,48.44633866,185794.0953,4271982.876,413379.7771,10.97257208,12.50272548,32.86593441,3417582.502,9.702374229,16.17664709,8.600963773,26.03073141,82900.73818,219.3815362,16.26208713,NA,996821.5979,4229052.658,0.085440037,114.9222459,24121322.92,18.65440817,17.13784751,8.316163643,16.60384728,16.64656729,15.92439555,59.29131742,229.9974608,11.82774918,NA,568.3186491,8.102563549,11.07872486,18.41517607,1281584.402,6407983.813,17.43688764,17.27183302,534373.0271,NA,17.08231149,2.961921293,669834.4176,17613.90041,10.84681619,NA,76896016.51,7.184083146,61973.12305,9.199044027,507926.8319,97898.40531,178099.9716,57.8948395,136581.1794,118666.1016,26.40097157,89690.68355,13.61344596,185.6668974,319788.3125,5.760082528,572438.6703,842425.9932,4.468631147,16.17664709,268.0463827,18.24429599,1708782.44,1993584.327,854382.3062,4.72768207,11320785.97,NA,123.278582,33552.30684,80821.20585,12.6414698,640781.7119,31459.24963,1529.040606
Cynodon.dactylon,842645.8882,284144.5807,262480.0026,842650.5019,220099.1201,8957522.154,2322045.098,2360254.86,212042.7925,239660.3517,240924.8147,842397.8842,421522.3673,271825.7033,247921.7996,247385.1443,595791.1068,4018708.608,187866.3454,176848.4002,117285.8839,269279.6876,87421.99449,225259.149,321046.9103,486505.2672,842647.597,421379.8091,389217.9855,223085.8904,342016.2024,842632.8728,0,402834.9733,410412.5505,182218.869,193448.4895,347999.0685,876815.0463,595841.5389,255535.1356,49577.65564,317725.921,842650.5019,238462.5167,278114.3331,916730.7321,421428.67,272702.9819,213619.4603,153538.2548,1400026.284,116839.0354,212332.3654,421424.195,377087.0617,1051218.79,211641.9701,410361.7202,842624.2718,842606.8421,287151.7834,343914.1068,842649.1349,273395.3349,77801.37869,1425082.281,421451.5601,274971.5478,8233585.323,270090.3216,842650.0106,421415.9508,235058.7826,227871.1634,544151.8683,233769.4892,421201.6718,243251.9523,114089.4347,842064.5541,376843.3547,421337.0318,595844.4498,179201.3103,2111555.776,249830.062,1705927.115,199803.2426,1319.386876,263878.6105,210661.9402,54644.74755,313136.2657,249554.3331,197584.3753,25351127.92,318488.0175,225357.4883,842642.0718,143382.8518,187445.4227,297188.1824,291759.5801,175668.7199,186934.5523,842606.4718,159048.3499,842646.4862,198573.9527,274978.0754,329889.9597,235731.8281,183830.5696,207427.1514,421328.8687,196770.8858,842651.1171,223043.8513,509411.3639,1607001.805,842637.6005,3711900.172,30743.71522,486423.1491,171344.6585,152742.869,201202.3487,258185.7398,279789.4253,260088.341
Cyperus.compressus,2.904961273,24040.40614,17093.72901,1.708800749,201895.9666,9301532.084,3488073.816,2664238.311,13.28923072,21.9673963,67.46152434,250.90891,19.79360868,5408.319783,70.19785371,88880.8375,51.92012509,19884.02377,75581.53414,26667.27393,226724.2871,320.4055415,205807.9936,167.8081283,665.3973098,2.477761086,1.196160524,14.11896619,22928.82894,11.82692389,105116.6481,15.92032698,402834.9733,0,12192.55882,16748.48969,264.1017306,20829.54932,1220824.98,1.623360712,4.985863616,249.3994693,1432.464314,1.708800749,36162.15656,43615.25015,3.832384598,0.768960337,15.3685758,56.54506962,75856.79622,1744036.216,168768.2963,161.2684334,3.417601498,34.58163747,1395228.722,171.8575854,12111.31236,24.52129075,41.95105839,33850.73387,166.407771,0.34176015,6977.552671,406957.3789,2441651.192,16.00576701,23510.35863,9117009.792,1622.918601,1.217520534,7.604163333,3.357804342,144.3674205,240.365768,76.31806553,245.9177878,4.878098656,672.1852546,584.2389761,7.817763427,26.99905184,2.494849094,523211.1902,2422801.04,4.98615003,4.139505591,218163.564,506.6594221,81.76452374,197.0761562,273465.3647,11626.76525,19.08087987,24612.63511,31392673.78,117.5492123,25307.96788,6.721282949,272339.731,39974.31709,79655.96854,205.0765126,55765.72477,48452.99226,42.32129855,51790.17938,2.306881011,145.7511981,121906.1001,17122.63168,216945.405,319203.2158,142.0698151,0.256320112,272.8489695,2.323969019,645867.1931,753734.8738,348806.6806,11.19264491,4278861.554,3.844801685,200.9593694,19379.14347,46669.0107,497.657087,242198.8377,27463.77229,1092.456698
Cyperus.strigosus,2.840881245,11993.32252,3924.544795,1.772880777,202059.0906,9301532.056,3488073.781,2664197.457,21.29060474,24.9702849,68.61648928,250.84483,19.72952865,7761.520145,71.31803406,89713.04491,55.01528531,6715.096485,75581.67162,26667.19159,226724.1469,307.1155046,205808.038,168.2224913,12207.60293,2.541841114,1.132080496,14.05488616,35118.99639,20.66282175,103583.6981,15.85624695,410412.5505,12192.55882,0,16747.30821,250.8116171,8638.979321,1220824.943,1.559280684,18.20770123,230.6026611,1432.34052,1.772880777,36161.30535,43614.99185,9.86999827,0.704880309,10.46210385,49.77901248,75856.6686,1744036.18,168768.0824,147.9794275,3.35352147,37.86377528,1395228.689,158.5664511,87.4244614,24.45721072,41.88697836,33850.82374,167.1185572,0.405840178,6192.030662,406957.3405,2441651.168,15.94168699,35700.25952,9117013.254,10576.19146,1.281600562,7.540083305,16.62259616,131.0763479,227.0744225,67.38882411,245.8537078,17.45238228,653.3884464,584.1748961,7.753683399,26.93497181,2.558929122,523211.1154,2423145.842,18.19517866,17.34793449,218163.4585,487.8626139,68.47453324,183.7979652,273465.2324,22716.60776,24.56148999,37779.37032,31392673.76,77.1551174,25306.91674,6.657202921,273563.756,39974.65125,79655.91009,192.2403322,55765.75079,48452.65103,42.25721852,51789.70916,2.242800983,143.52283,120929.2058,4931.688953,216397.9796,318578.1275,128.793529,0.32040014,263.9965887,2.388049047,645951.6836,753535.6908,348806.5903,11.12856488,4278872.276,22.64160993,189.4597855,19378.34768,46668.79412,484.3659091,242505.3246,17302.12538,1092.529726
Dactylis.glomerata,41012.54374,6445.577684,332.8049514,41017.1575,142339.8167,9284787.6,2062277.223,2860916.086,92897.52716,140867.0971,176504.5456,40764.53979,23640.29821,345.9223468,176565.0506,52248.95717,28955.83036,4030077.802,205127.6866,105387.8154,209979.906,220296.333,109159.1102,185822.7391,11840.80564,23689.90611,41014.25254,19055.23017,16746.69377,171565.2368,94881.58665,28991.04458,182218.869,16748.48969,16747.30821,0,87491.59522,14000.24968,1204080.52,29001.26467,11219.02711,49567.83486,13026.82044,41017.1575,12314.04568,20836.90866,676325.5528,21988.05807,52077.04939,151387.5179,137618.1425,1727291.744,174615.68,164596.4342,21935.84157,22367.09514,1378484.261,75152.16783,16747.27647,40990.92741,40973.49764,14817.31908,16682.95096,41015.79046,339.6316892,248090.165,1533655.428,22475.24304,8576.379138,7614866.896,162984.9546,41016.66622,19529.25958,193006.5165,133490.1948,304272.3165,10965.34031,16652.49333,10635.13403,94444.07195,40431.20973,11867.59236,20747.76546,23681.90015,506466.7482,2599310.467,191396.6527,1545316.614,108592.5175,766.7205063,63334.49372,7645.597261,198855.4879,228068.7582,56058.12865,7124.406846,20540367.31,10620.24091,5837.274882,41008.72742,110926.5027,151756.138,61313.268,166361.1485,160974.2234,17859.84822,40973.1274,121370.5512,41013.14182,7082.474115,93151.93089,10979.36411,177243.3783,200359.0356,120249.0319,13719.22247,117371.3513,41017.77267,311407.0373,797139.4671,1447560.965,41004.25606,4263358.548,30737.5975,23601.86818,121686.1644,99613.48878,123322.1337,244860.2553,5807.793674,165193.7798
Daucus.carota,3.486610758,3523.747325,262.7699402,8.100372781,201865.9169,16110721.64,2701848.385,4984249.777,32130.45285,36945.80893,64817.03975,244.517338,15279.53644,373.4415564,69875.11083,83640.50269,274.1131493,4926751.232,101323.9934,26065.68435,392693.3437,76699.87297,139824.5147,72251.68945,9397.293907,680.483324,5.195411508,7251.743943,240.5288673,76754.9238,193336.9161,9.528754944,193448.4895,264.1017306,250.8116171,87491.59522,0,5972.21642,2114526.367,72.24703261,120739.9166,49875.73566,811.0226856,8.100372781,28024.20986,43632.35228,848516.8519,10839.9777,50868.29828,48128.51435,67339.14227,3020754.808,112770.9083,61274.603,10675.53872,15796.77862,2416602.513,23107.87187,240.5470528,18.12971872,35.55948636,41455.5309,517.358578,6.733332182,359.7711504,232162.3782,2114546.716,12319.81857,592.8224783,9847492.772,38901.2952,7.609092566,8960.507904,61277.82769,22498.82942,424894.8102,5488.60271,388.9940362,1060.894014,92270.69239,577.8474041,815.4339714,5414.128406,76.88133269,906223.7944,4531135.553,69651.84496,1696296.307,204249.2675,525.01998,71508.68427,548.9348495,273463.1074,102296.0788,86175.71109,13308.02073,29063965.99,340.0081626,23435.73123,0.329710917,159116.0944,48726.84652,178109.5004,51636.43455,72347.85618,30669.74942,35.92972652,52956.28378,4.084691021,1399.626221,160283.5798,1722.305859,286407.3384,254004.1481,46918.6544,1283.995121,26103.48625,7.298993353,325548.856,1409683.757,1754696.508,4.801072874,6536064.33,31058.53605,116.8479799,53233.53227,32016.63068,41813.36724,453107.9093,11928.1409,63751.34306
Decodon.verticillatus,0.256320112,3388.103584,5408.377148,4.870082135,202618.0323,9301530.792,3229327.647,2664201.131,5161.252288,54.23744524,64.45756601,247.7476286,7262.533122,17091.59268,79.81185997,76502.88179,69.02543642,2620.298242,75580.25357,23477.0889,226722.9031,278.0861326,168057.9102,5981.21118,18030.26721,5.639042472,1.965120861,1281.905344,43757.44813,2043.742965,103356.7925,12.75904559,347999.0685,20829.54932,8638.979321,14000.24968,5972.21642,0,1220823.678,3.784521106,38.66510016,134.0973557,1430.407706,4.870082135,33478.02832,43613.68077,1145.84603,3417.721253,5980.048127,8406.728934,61940.05739,1744034.916,137802.2568,118.9465264,3275.245432,8788.420006,1395227.423,4661.311087,8719.41092,21.36000936,38.789777,33849.34472,170.2391192,3.503041536,15521.95132,332295.8001,1993602.233,4699.28651,41475.16809,9117024.422,19214.57736,4.378801919,2990.57732,4432.524647,5976.666314,5976.082203,4394.32873,242.7565064,46.22234207,433.0567165,581.0776947,179.1614151,1281.573004,4.496143459,523209.8605,2423426.12,47.27598563,46.42813279,201978.9335,315.9720995,39.5879432,126.3389151,273463.9892,31078.21833,47.72167595,38642.91959,31392672.49,4882.873014,25305.82601,3.560001563,229907.1383,37007.75205,79654.45323,139.102373,51627.73239,44857.14495,39.16001716,42349.94529,0.854400375,3395.397823,101268.5786,3757.413554,181093.6337,266432.815,5963.753287,3.417601498,3132.479016,5.485250404,540616.5447,753512.7651,284803.4925,8.031363521,4278899.75,63.6528279,164.0704668,16228.80608,40635.29945,3677.85237,243091.5791,11142.00714,6029.391876
Dichanthelium.clandestinum,2990395.33,1218013.892,107.6010339,2990399.944,1002783.261,8080707.115,2267248.841,1656835.59,2114518.138,2114508.94,2114463.411,2990147.326,2990378.441,56.02677931,2114460.674,1124822.721,2114479.296,133.4951637,1145243.465,1194157.975,994100.7965,2114525.264,1015017.016,2114363.064,1220133.404,2990400.713,2990397.039,2990384.116,1220824.468,2114519.811,1109199.29,2990382.315,876815.0463,1220824.98,1220824.943,1204080.52,2114526.367,1220823.678,0,2990396.612,2114529.916,240.8554656,2113098.486,2990399.944,1184663.648,1177210.013,2114532.342,2990397.466,2114520.539,2114485.357,1144968.35,523211.2398,1052056.888,2114527.378,2990394.817,2114496.373,174403.7479,2114529.194,1220825.073,2990373.714,2990356.284,1186974.387,2114364.487,2990398.577,54.09407084,813867.8301,1220826.226,2990382.229,1220802.672,8626670.379,1220826.084,2990399.453,2990390.631,2114531.354,2114531.388,2114530.886,2114477.688,2990152.317,2114527.977,663.6412509,2989813.996,2990390.417,2990371.236,2990400.73,697613.8306,1395229.971,2114531.943,2114531.826,1002661.618,498.1154184,2114531.693,2114521.716,947359.7154,1213627.624,2114511.943,20.45213925,30171848.81,1726502.184,1195518.047,2990391.514,927566.7809,1180851.65,1257690.901,2114478.684,1165059.443,1172373.273,2990355.914,1169035.543,2990395.928,2114388.327,1090265.437,1220816.116,987121.3607,876899.4999,2114523.936,2990398.491,2114330.083,2990400.559,523211.0419,406941.0795,872018.3545,2990387.042,3400873.05,12.38880543,2114432.449,1201447.041,1174156.328,2114532.242,959220.4326,1207975.294,2113438.418
Digitaria.cognata,1.281600562,4867.869722,NA,3.332161461,534089.3053,22784005.8,6041519.906,7048798.391,119.8209949,56.01560541,68.93877446,249.2855493,12.89948083,NA,97.64941881,166279.6682,71.31395126,NA,185134.5063,46187.43992,555356.9113,6.338837065,356468.7058,167.0406489,1210.072453,4.101121798,0.427200187,8.848936553,0.398720178,26.53944677,273424.3392,14.29696626,595841.5389,1.623360712,1.559280684,29001.26467,72.24703261,3.784521106,2990396.612,0,0.265001887,9.518020172,2024.074487,3.332161461,62632.3927,106832.7597,11.62256366,1.405222402,11.02557255,58.85728438,131386.3746,4271997.173,292313.7667,3.324394184,4.136433819,33.4750534,3417596.799,37.28758853,1.879680824,22.89793004,40.32769768,82915.03514,233.6785024,1.965120861,NA,704869.4211,4229062.768,10.57527331,107.8729481,24121337.22,4.35744191,2.840881245,4.235965061,3.016529463,86.45807567,36.75048113,52.09530499,244.2944271,2.469217082,13.51506047,582.6156154,182.8085517,17.95155982,6.382102005,1281598.699,6407998.11,3.139921376,2.974866757,377868.904,4.374529918,2.785345221,8.347172032,669848.7146,17628.19738,25.14378245,7.347843221,76896030.8,7.969928397,61987.42001,5.097922238,507936.9548,69234.73604,178114.2686,71.69197714,96587.58758,83919.71479,40.69793784,89700.84237,0.6835203,166.0258032,226134.5939,14.75713101,404785.375,595695.242,76.26567641,1.879680824,226.13464,3.94732973,1208301.76,1993598.624,604149.632,9.569284195,11320800.26,NA,137.5755483,33562.71944,80831.514,57.35167643,640796.0089,22255.15829,1091.320415
Digitaria.sanguinalis,1.555008682,2792.10113,130.1140076,3.058753341,218044.8418,16110725.2,3229328.338,4984253.335,107804.5222,165613.8679,192568.0897,249.5589574,13.07740895,6.920643034,177534.9536,96007.35787,50.6315871,4774108.971,236816.9036,147645.404,392696.8319,224327.4529,178238.1307,222089.6404,1004.488172,5.941419359,0.153792067,9.034107821,28.45571123,196567.5623,193340.4184,14.57037438,255535.1356,4.985863616,18.20770123,11219.02711,120739.9166,38.66510016,2114529.916,0.265001887,0,49108.21975,700.6006092,3.058753341,39638.90641,61705.29962,899795.4319,1.507042136,61078.27961,176590.127,192419.189,3020758.364,218864.2328,205885.6696,4.370128229,27.57693476,2416606.065,104594.6129,28.47823214,23.17133816,40.6011058,47871.41549,95.92766802,1.691712742,20.59104903,380235.5513,2260530.82,10.81157242,569.7226533,13926460.74,184507.1374,2.567473125,4.422807479,202877.1824,166742.2522,509621.0377,1285.779557,1190.096748,333.0961675,129606.2353,582.8890235,1634.4347,18.15113622,6.460193496,906227.3245,4531139.111,205823.4207,1550680.31,206331.8575,1003.943545,76172.44312,763.8544472,273464.7044,315146.2359,52958.74068,13.83521955,34388950.6,50.43381673,25309.40687,5.371330357,208518.8904,221852.1391,178114.542,228868.3206,253488.255,44903.50164,40.97134596,181614.5805,0.956928419,744.8684902,184638.2818,416.9915665,330506.0336,266403.0977,162654.7313,2062.949518,163767.1552,3.67392161,461640.9304,1409687.299,1741246.849,9.842692315,6536067.239,30246.31192,172.5248528,206350.2458,169395.0341,172283.2056,453111.3966,11937.46779,223220.7245
Dryopteris.carthusiana,NA,64250.78759,174.7628473,NA,70514.31116,228.03946,459.914381,253.6714712,34658.62661,39682.62575,35026.14091,NA,11.14138088,249.3994693,22030.86467,70329.67223,257.858033,141129.7084,49695.62741,41600.59838,224.6218585,32574.79622,59631.67618,43080.77973,733.1211998,435.031608,NA,10.20154047,216.0778547,78287.55657,129.7834169,NA,49577.65564,249.3994693,230.6026611,49567.83486,49875.73566,134.0973557,240.8554656,9.518020172,49108.21975,0,297.7212141,NA,78852.93645,2287.635638,44782.52857,7.723779386,74875.7155,46639.45834,49640.01727,207.533851,49857.48463,52576.26187,3.950177729,178.8096951,231.4570615,49392.3575,216.0778547,NA,NA,170.3169269,300.2196724,NA,235.7290633,52543.70829,64432.09993,5.416898375,783.5121235,1435.965797,51875.61574,NA,9.859780322,49163.70308,46478.21948,49202.55931,64384.2901,91023.54569,51376.80153,80558.82728,NA,78886.57107,8.749059835,1.486656652,232.3114618,230.6026611,51850.10588,49714.37793,52468.20967,64179.8925,64416.55111,52478.59929,328.7796615,78652.55557,10137.22136,168.5050637,78902.56487,120.1653571,585.5518602,NA,43823.46374,57891.35799,NA,44504.91293,57907.7688,64423.6554,NA,49313.82133,NA,50985.41156,155.7160665,596.5850006,149.2502779,300.1873455,9622.124222,91101.92929,46122.99623,NA,49876.94325,232.3114618,48524.26113,NA,176.7920274,21539.01675,69.05407988,49702.38596,49808.95772,51150.09528,251.1082701,64281.40072,49314.98067
Echinocystis.lobata,2022.792887,3445.968892,18.79680824,2027.406649,376226.933,16109293.77,3820087.497,4982821.905,670.8778195,690.1283101,665.6232806,1774.788938,2005.904239,21.36000936,656.0143771,164848.3928,1380.971191,307.4852959,74754.52214,21098.98425,391265.4012,702.8168545,289888.1894,597.3609847,234.6836681,830.5040768,2024.501687,2011.578882,1431.543721,693.0871879,191908.9802,2009.777521,317725.921,1432.464314,1432.34052,13026.82044,811.0226856,1430.407706,2113098.486,2024.074487,700.6006092,297.7212141,0,2027.406649,61200.86409,74110.93227,677.7474269,2024.928888,780.6107592,751.9411822,61261.72621,3019326.934,137124.1892,738.3779954,2022.280246,1397.99738,2415174.635,846.6215921,1432.5909,2001.176557,1983.74679,57198.5469,731.0931474,2026.039608,7.689603371,444893.5238,4227631.531,2009.692081,716.4558949,17054929.88,718.1462938,2026.915369,2018.093685,677.4555213,701.8834674,685.6214442,1379.771337,1779.78006,699.8317323,291.333908,1441.458872,2017.880085,1998.698796,2028.192697,904795.8942,4529707.68,737.2705071,677.7876464,217336.4993,485.2994127,1171.582697,745.1058279,272638.3129,9009.167783,689.4205077,10.25280449,54372273.59,1426.76452,21200.29621,2018.976565,238769.277,55362.59394,176090.1941,1136.898224,77694.96379,82490.02745,1983.376549,41613.00106,2023.390967,669.3052456,224703.3571,1417.083297,403354.1384,297132.0707,737.3193023,2025.954168,544.3965086,2028.021817,568924.2957,1408255.869,284124.2403,2014.505203,8003583.398,23.67937921,1343.5294,13706.38361,33858.45254,911.3892882,451679.9667,20825.43075,267.628225
Eleocharis.intermedia,4.613762022,6887.449579,NA,0,534092.6375,22784009.14,8544002.72,7048801.723,19.71528864,32.72353434,97.11114657,252.6177108,21.50240943,NA,100.9815803,235158.2384,74.64611272,NA,185137.8384,65322.23577,555360.2434,9.670998526,504126.2104,239.0223885,1695.685703,0.768960337,2.904961273,15.82776694,2.933441283,17.34907428,273427.6714,17.62912772,842650.5019,1.708800749,1.772880777,41017.1575,8.100372781,4.870082135,2990399.944,3.332161461,3.058753341,NA,2027.406649,0,88578.49857,106836.0918,0.372274453,2.477761086,16.31904715,66.07546638,185811.7244,4272000.506,413397.4062,6.656555644,5.126402247,50.49506213,3417600.131,4.088916082,1.452480637,26.2300915,43.65985914,82918.3673,237.0106639,1.367040599,NA,996839.227,5980801.255,17.71456776,56.32634469,24121340.55,1.025280449,0.491280215,9.312964082,1.025280449,0.982560431,1.70473218,76.92044515,247.6265885,5.801378543,NA,585.9477769,9.526564176,28.70785258,0.786048345,1281602.031,6408001.442,0.192240084,0.357294704,534390.6562,NA,0.54681624,14.66720643,669852.0467,17631.52954,28.47594391,NA,76896034.14,10.44504458,61990.75217,8.430083698,718334.6434,97916.03444,178117.6008,75.52396723,136598.8085,118683.7307,44.0300993,126859.4101,4.01568176,203.2960251,319805.9416,23.38921025,572456.2994,842443.6223,11.52158905,1.452480637,285.6755105,0.61516827,1708800.069,1993601.956,854399.9354,12.90144566,11320803.6,NA,140.9077098,47467.75596,114316.0743,0.149520066,640799.3411,31476.87876,1546.669734
Elymus.canadensis,88573.88481,21837.17412,964.6901645,88578.49857,148504.9682,9265370.759,2673839.959,2841499.233,45079.07791,35621.69507,40898.92719,88325.88086,62619.54797,121.9932949,107208.2911,48862.20581,62581.67684,218685.6891,34283.10964,17340.34711,190562.8534,47847.15573,131409.2895,40677.08481,30720.34071,88579.26753,88575.59361,51131.9226,36160.89473,82859.17469,75464.38293,62622.06067,238462.5167,36162.15656,36161.30535,12314.04568,28024.20986,33478.02832,1184663.648,62632.3927,39638.90641,78852.93645,61200.86409,88578.49857,0,5780.767069,30017.29144,62632.99299,90140.31772,36417.52265,26974.71777,1707874.884,102720.2192,33481.84426,62631.11209,51111.8993,1359067.394,28645.34124,36161.47141,88552.26848,88534.83871,2182.159278,62466.86694,88577.13153,122.9037937,273851.2463,1863284.948,62622.21406,24551.9296,7599826.656,31336.84226,88578.00729,51135.6821,39639.28509,31738.23416,28022.72424,33451.27513,51013.49014,39655.8066,168091.0734,87992.5508,33475.94607,62614.4478,51141.51517,487049.8189,2579893.614,33497.98687,44507.20969,119255.9895,873.9478377,39615.12593,29522.86032,237303.9375,22441.36693,69366.43838,129.7907992,25602485.22,36169.38924,9410.152134,88570.06849,157512.3987,3153.632821,40043.3278,34337.10285,14555.55395,9108.328107,88534.46847,9948.286637,88574.48289,29510.01699,87395.83596,31312.80275,182888.66,284934.2539,62534.11803,44290.30732,29728.38324,88579.11374,433022.9508,777722.5786,242178.9352,88565.59713,4245382.136,53762.16527,51076.12675,10649.94268,6714.386856,31859.40678,225443.2187,17231.73846,33650.2503
Elymus.virginicus,106831.4781,31615.92112,1327.38053,106836.0918,161489.0818,9257917.128,3188949.374,2834045.603,61696.39133,61687.20335,61651.73432,106583.4741,106814.5894,39.67445652,61653.13344,48508.14199,75491.74374,1362.937788,29616.9772,19965.76788,183109.2319,61705.0019,150165.4034,65003.71683,39746.56659,106836.8608,106833.1869,106820.2641,43614.46447,130446.8001,68010.82274,106818.4627,278114.3331,43615.25015,43614.99185,20836.90866,43632.35228,43613.68077,1177210.013,106832.7597,61705.29962,2287.635638,74110.93227,106836.0918,5780.767069,0,43633.04701,106833.6141,120934.0599,61669.6047,24991.7676,1700421.252,115875.6521,43623.70483,106830.9654,75508.82048,1351613.759,44219.59459,43615.08016,106809.8617,106792.432,9126.8026,75376.9341,106834.7248,37.82784689,314663.777,2220150.53,106818.3773,33769.12846,7594053.107,40398.5815,106835.6006,75537.93975,61708.78617,45386.64114,43625.84898,53383.14312,75400.65235,61704.93614,1594.075666,106250.1441,47775.61766,106807.384,106836.8779,479596.1938,2572439.983,43631.53777,61704.61078,135206.4885,1687.664237,53417.95757,43615.05762,229850.3205,33728.92198,61692.64026,39.31402422,27149081.33,47794.1466,16968.56617,106827.6617,193374.9155,3224.490255,31878.13921,43600.752,10572.68444,4229.628679,106792.0617,6389.957126,106832.0762,43550.53758,86944.58537,40380.14453,190088.6587,300310.5321,43628.66326,61681.02887,43515.73132,106836.707,506586.6091,770268.9401,282555.3065,106823.1904,4238481.499,2258.38827,61627.1248,18794.50076,2553.299522,49294.37931,217989.6022,28508.76232,53923.2468
