"year","region","mtype","Agriades.glandon","Anthocharis.sara.stella","Boloria.freija","Boloria.frigga","Boloria.kriemhild","Boloria.montinus","Boloria.selene","Callophrys.sheridanii","Cercyonis.oetus","Cercyonis.sthenele","Chlosyne.palla","Coenonympha.haydenii","Coenonympha.tullia.inornata","Colias.alexandra","Colias.christina","Colias.eurytheme","Colias.gigantea","Colias.pelidne","Colias.philodice","Danaus.plexippus","Erebia.epipsodea","Euchloe.sp.","Euphilotes.enoptes.ancilla","Euphydryas.chalcedona","Euphydryas.editha","Euphydryas.gillettii","Glaucopsyche.lygdamus","Glaucopsyche.piasus","Limenitis.weidemeyerii","Lycaeides.idas","Lycaeides.melissa","Lycaena.cupreus","Lycaena.dione","Lycaena.editha","Lycaena.helloides","Lycaena.heteronea","Lycaena.hyllus","Lycaena.mariposa","Lycaena.nivalis","Nymphalis.antiopa","Nymphalis.californica","Nymphalis.milberti","Oeneis.chryxus.chryxus","Oeneis.uhleri","Papilio.eurymedon","Papilio.machaon","Papilio.rutulus","Papilio.zelicaon","Parnassius.clodius","Parnassius.phoebus.smintheus","Phyciodes.campestris","Phyciodes.mylitta","Phyciodes.selenis","Phyciodes.tharos","Pieris.napi.marginalis","Pieris.napi.oleracea","Pieris.rapae","Plebejus.icarioides","Plebejus.lupini","Plebejus.saepiolus","Plebejus.shasta","Polygonia.faunus","Polygonia.gracilis","Polygonia.satyrus","Pontia.beckerii","Pontia.occidentalis","Pontia.protodice","Satyrium.titus","Speyeria.atlantis.hesperis","Speyeria.callippe","Speyeria.cybele","Speyeria.egleis","Speyeria.hydaspe","Speyeria.mormonia","Speyeria.zerene","Vanessa.cardui","Callophrys.dumetorum","Cercyonis.pegala","Colias.interior","Euptoieta.claudia","Lycaena.phlaeas","Lycaena.rubidus","Oeneis.jutta","Papilio.canadensis","Satyrium.sylvinus","Speyeria.edwardsii","Vanessa.annabella","Vanessa.atalanta"
1998,"T",5,10,0,0,0,0,0,0,0,24,0,0,38,23,0,0,0,0,0,6,0,5,6,0,0,0,0,5,0,0,1,1,0,0,1,23,4,0,0,2,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,1,0,0,18,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"T",6,1,0,0,0,0,0,0,1,21,0,0,0,43,0,0,0,0,0,2,0,6,1,0,0,1,0,0,0,0,0,0,7,0,4,3,52,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,2,10,0,0,0,0,0,0,0,0,0,0,0
2000,"G",1,3,0,0,0,3,0,0,0,1,0,2,67,0,0,0,0,0,0,0,0,30,3,4,1,4,1,1,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,27,0,3,0,14,0,0,3,1,0,0,0,0,0,0,0,2,0,8,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"G",2,0,0,0,0,0,0,4,0,1,0,0,64,4,0,0,0,0,2,0,0,63,8,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,9,0,5,0,5,0,0,6,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"G",3,0,0,0,0,1,0,1,0,1,0,1,112,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,3,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,4,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"G",4,1,0,0,0,0,0,0,0,2,0,0,86,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,6,0,0,1,12,1,0,0,0,0,0,0,2,0,1,0,0,0,13,3,41,0,2,0,1,0,0,36,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"G",5,1,0,0,0,0,1,0,0,44,0,0,48,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,8,0,0,0,0,1,3,11,14,0,1,0,0,0,0,19,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"G",6,1,0,0,0,0,0,0,0,37,0,1,39,4,1,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,11,17,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"T",1,0,0,0,3,1,0,22,0,1,0,2,10,5,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,14,0,28,1,8,0,0,12,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0
2000,"T",2,1,0,0,0,5,0,11,0,0,0,1,27,4,0,0,0,0,0,0,0,52,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,0,13,0,5,0,0,11,1,27,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2000,"T",3,7,0,0,0,4,0,0,0,2,0,5,46,3,0,0,0,0,1,0,0,19,2,0,0,0,0,1,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,4,0,0,15,7,10,0,0,0,0,0,0,1,0,0,3,0,0,1,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,"T",5,1,0,0,0,0,0,0,0,18,0,0,21,4,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,1,3,12,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,95,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"T",6,0,0,0,0,0,0,0,0,5,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,34,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2001,"G",1,1,2,0,0,1,0,4,0,0,0,6,36,1,0,0,0,0,1,0,1,59,4,2,0,0,1,0,1,0,0,2,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,2,0,1,0,6,0,13,0,8,0,0,0,0,0,2,2,0,15,0,0,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2001,"G",2,3,1,0,0,6,0,4,0,1,0,0,76,3,0,1,0,4,1,1,0,84,3,1,0,0,3,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,29,16,0,2,0,7,0,5,0,22,0,0,1,0,0,0,1,0,4,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2001,"G",3,3,0,0,0,10,0,0,0,9,0,0,85,0,0,0,0,0,1,1,0,18,7,1,0,0,0,0,0,0,0,5,0,0,1,19,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,67,52,1,2,0,11,0,3,1,3,0,0,0,0,1,0,2,0,8,0,0,0,0,44,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2001,"G",4,1,0,0,0,1,0,0,0,19,0,1,101,0,0,1,0,0,1,0,0,24,3,7,0,0,0,0,1,0,0,0,0,0,7,20,8,0,0,5,0,0,0,1,0,0,0,0,1,7,3,32,27,0,0,0,1,0,43,2,2,0,0,0,0,0,0,3,0,1,0,0,0,0,36,1,13,0,0,0,0,0,0,0,0,0,0,0,0
2001,"G",5,1,0,0,0,1,0,0,0,53,0,1,19,4,0,2,0,0,0,2,0,38,2,7,0,0,0,0,0,0,0,1,1,0,6,2,8,0,0,1,0,0,0,3,0,0,0,0,0,0,25,9,5,0,3,0,1,0,37,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,21,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2001,"G",6,1,0,0,0,1,0,0,0,88,0,0,25,9,0,1,0,0,0,2,1,25,0,0,0,2,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,1,9,5,0,3,0,1,0,37,2,1,0,0,0,0,3,0,0,0,2,0,0,0,1,26,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2001,"T",1,0,0,0,10,0,0,22,0,1,0,0,5,3,0,0,0,6,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,1,0,3,0,7,2,31,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2001,"T",2,0,0,0,0,4,0,13,0,0,0,1,16,5,0,2,0,1,2,4,0,47,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,5,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,15,1,0,3,0,4,1,48,0,0,0,0,0,0,0,0,0,0,7,0,0,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2001,"T",3,0,0,0,0,2,0,0,0,21,0,0,18,0,0,1,0,0,1,3,0,14,2,1,0,0,0,2,0,0,12,8,0,0,0,4,4,0,0,6,1,0,0,1,0,0,0,1,0,0,0,2,0,2,1,0,1,0,37,2,41,0,0,0,0,0,0,1,0,0,0,1,0,0,45,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2001,"T",5,0,0,0,0,0,0,0,0,38,0,0,22,30,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2001,"T",6,0,0,0,0,0,0,0,0,26,0,0,1,50,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,3,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0
2003,"T",1,0,0,0,2,0,0,4,0,2,0,4,10,12,0,0,0,18,0,0,0,11,0,0,1,0,3,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,4,0,0,6,1,33,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"T",2,0,1,0,1,3,0,8,0,0,0,4,24,15,0,0,0,2,0,1,0,25,3,1,0,0,2,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,0,0,0,4,0,49,0,0,0,0,0,0,1,0,0,0,2,0,0,12,0,3,0,0,0,0,1,0,0,0,0,0,0,0
2003,"T",3,0,0,0,0,0,0,0,0,7,0,13,26,2,1,0,0,0,0,0,0,13,4,0,1,1,0,4,0,0,4,8,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,1,2,0,1,11,0,1,0,1,0,2,48,17,23,6,0,0,0,0,0,0,0,0,3,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,"T",5,0,0,0,0,0,0,0,0,26,0,9,23,9,0,0,0,0,0,0,0,2,0,0,6,2,0,2,5,0,1,2,0,0,3,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,105,14,2,5,0,0,0,0,0,1,0,0,5,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,"T",6,0,0,0,0,0,0,0,0,18,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,77,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,65,15,1,6,0,0,0,0,0,2,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0
2004,"T",1,0,0,0,0,0,0,9,0,1,0,0,8,5,0,0,0,20,0,0,0,2,0,1,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,23,0,2,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,"T",2,0,0,0,0,1,0,6,0,0,0,3,43,3,0,0,0,4,0,0,0,7,1,3,0,0,0,0,1,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,47,0,1,0,0,7,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2004,"T",3,0,0,0,0,0,0,0,0,12,0,3,25,1,1,0,0,0,0,0,0,2,0,8,0,0,0,5,0,0,11,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,3,1,1,0,4,0,1,0,0,0,0,15,3,9,0,0,0,0,0,0,0,0,0,14,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,"T",5,0,0,0,0,0,0,0,0,39,0,1,3,3,0,0,0,0,0,0,0,0,0,8,21,0,0,0,2,0,4,0,0,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,67,7,2,0,0,0,0,0,0,2,0,0,8,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2004,"T",6,0,0,0,0,0,0,0,0,26,0,0,1,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,4,0,71,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,50,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,"T",1,0,0,0,13,0,0,17,0,0,0,1,15,12,0,0,0,5,1,0,0,28,0,5,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,11,0,0,0,0,7,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,2,0,0,0,0,0
2005,"T",2,0,0,0,0,7,0,9,0,0,0,1,41,17,0,0,0,1,1,0,0,75,2,4,0,0,0,2,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,4,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0
2005,"T",3,5,1,0,0,2,0,0,0,0,0,2,47,12,0,0,0,0,3,1,0,20,3,8,0,0,0,1,1,1,0,4,0,0,0,6,0,0,0,2,0,0,0,5,0,0,0,0,1,1,0,4,0,2,0,0,0,0,7,11,57,0,0,0,0,0,1,0,0,1,10,0,0,0,11,0,10,0,0,0,1,0,0,0,0,0,0,0,0
2005,"T",5,1,0,0,0,0,0,0,0,16,0,0,33,15,0,0,0,0,5,1,0,7,0,7,0,8,0,1,4,1,0,2,0,0,9,3,12,0,0,7,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,0,0,90,11,3,0,0,0,0,1,0,0,0,0,3,0,0,0,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2005,"T",6,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,1,0,0,0,0,11,0,4,0,0,3,0,0,0,4,0,0,2,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65,47,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2006,"G",1,0,2,0,0,1,0,0,0,3,0,3,15,0,0,0,0,2,0,2,0,11,1,0,0,0,1,2,0,0,0,3,0,0,1,12,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,3,0,24,1,0,0,0,0,0,0,0,4,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
