"Dispersal syndrome","Dispersal unit dry mass","Dispersal unit length","Dispersal unit thickness","Dispersal unit width","Germination efficiency","Germination requirement","Leaf area","Leaf carbon (C) content per area","Leaf carbon (C) content per dry mass","Leaf carbon/nitrogen (C/N) ratio","Leaf density","Leaf dry mass","Leaf dry mass per plant","Leaf dry mass per plant dry mass (leaf weight ratio, LWR)","Leaf dry matter content (LDMC)","Leaf fresh mass","Leaf lamina thickness","Leaf lifespan","Leaf nitrogen (N) content","Leaf nitrogen (N) content per area","Leaf nitrogen (N) content per dry mass","Leaf nitrogen/phosphorus (N/P) ratio","Leaf phosphorus (P) content per area","Leaf phosphorus (P) content per dry mass","Leaf physical strength","Leaf porosity","Leaf potassium (K) content per area","Leaf potassium (K) content per dry mass","Leaf respiration per dry mass","Leaf specific area (SLA)","Leaf texture (sclerophylly)","Leaf thickness","Leaf type","Metamorphoses and morphological adaptations: seed or dispersal unit","Mycorrhizal type","Nitrogen fixation capacity","Phenology: reproductive","Phenology: vegetative","Photosynthesis leaf intercellular CO2 concentration","Photosynthesis net assimilytion rate (NAR)","Photosynthesis per leaf area","Photosynthesis per leaf dry mass","Plant age of maturity (first flowering)","Plant growth form","Plant height generative","Plant height vegetative","Plant lifespan","Plant relative growth rate (RGR)","Plant tolerance to drought","Plant tolerance to frost","Plant tolerance to human impact","Plant tolerance to planting density","Plant tolerance to precipitation","Plant tolerance to shade","Plant tolerance to soil pH","Plant tolerance to waterlogging","Reproductive dry mass per plant","Root nitrogen (N) content per dry mass","Rooting depth","Seed length","Seed mass","Seed number per ramet","Seed number per reproducton unit","Seed protein content per mass","Seed thickness","Seed width","Seedbank lifespan","Species distribution: number of floristic zones","Stem dry mass per plant","Stem length (height)","Stem nitrogen (N) content per dry mass","Stem specific density (SSD)","Stomata conductance per leaf area","Wood dry mass per plant dry mass","Woodiness"
"Commelina.communis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.88,12.63,NA,855.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dactylis.glomerata",NA,0.87,4.95,0.896666667,1.13,NA,NA,126.350597,42.2,340.28,17.45,0.414285714,5.305396825,11.39,0.521428571,106.8011392,0.248163265,0.146666667,0.836666667,0.235,1.273333333,14.55021277,10.262,NA,343.20375,82.167,NA,NA,NA,NA,52.17337838,NA,0.11,NA,NA,NA,NA,134.3062963,NA,186.75,0.242857143,8.49,64.895,1,NA,266.5557143,89.9859633,NA,0.1925,NA,43.5,2,NA,48.5,NA,6.25,NA,1.49,1.015714286,6.185,NA,4800.855169,NA,92513.26667,27.15,NA,NA,NA,4,6.92,NA,1,0.495,108.625,NA,NA
"Daucus.carota",NA,1.09,3.46,1.1,2.703333333,NA,NA,11.17058824,NA,256.506,22.52666667,NA,0.862264151,0.36,5.52,37.06779661,0.256938776,NA,2.73,0.05,1.78,13.23538462,NA,NA,2.538,NA,NA,NA,10.784,NA,28.13317647,NA,NA,NA,NA,NA,NA,145.93,NA,NA,3.17,15.53,275.76,NA,NA,13.62272727,44.70802817,NA,0.27,NA,NA,3,NA,NA,NA,NA,NA,1.428333333,NA,NA,NA,1.108076923,NA,33886.57143,24.08666667,NA,NA,NA,4,3.278333333,NA,NA,0.13,NA,65.144,NA
"Dianthus.armeria",NA,NA,NA,NA,NA,NA,NA,232.6333333,NA,NA,NA,NA,13.75666667,NA,NA,189.1066667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.348,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0.45,0.376666667,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0.501818182,NA,846.8,NA,0.34,0.81,NA,2,NA,NA,NA,NA,NA,NA,NA
"Digitaria.sanguinalis",NA,0.97,2.656666667,0.61,0.98,NA,NA,294.0333333,NA,NA,NA,NA,8.62,NA,NA,171.2566667,NA,NA,NA,NA,NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,46.908,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,0.38,0.19,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.518,NA,90411.66667,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"Elymus.repens",NA,NA,NA,NA,NA,NA,NA,1679.43,NA,43.90666667,14.04428571,NA,82.64583333,NA,0.44,273.33,NA,NA,NA,0.75,1.01,6.63625,NA,NA,0.974285714,NA,22.66666667,NA,NA,NA,3085.376486,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.35,0.91,NA,0.21,NA,23.5,NA,31280,44.5,NA,6.5,NA,NA,NA,14,NA,11002.438,NA,2118.05,NA,NA,NA,NA,NA,NA,NA,NA,0.344285714,NA,NA,NA
"Epipactis.helleborine",NA,NA,NA,NA,NA,NA,NA,2089.146364,NA,NA,NA,NA,82.75,NA,NA,183.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.57533333,NA,0.12,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0.97,0,NA,6849473.175,NA,NA,0.27,NA,4,NA,NA,NA,NA,NA,NA,NA
"Euonymus.alatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,8.5,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4.33,NA,2,NA,NA,NA,NA,17.28833333,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium.mollugo",NA,0.53,1.22,1,1.13,NA,NA,3.367837838,NA,472.0525,14.59,NA,0.110619469,NA,NA,16.71940678,0.031775701,NA,NA,0.06,0.6,25.22833333,NA,NA,2.598,NA,NA,NA,NA,NA,34.49169231,NA,NA,NA,NA,NA,NA,87.2,NA,NA,NA,NA,NA,NA,NA,30.91666667,32.06601695,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,53083.1,NA,NA,NA,NA,2,NA,NA,NA,0.34,NA,NA,NA
"Glechoma.hederacea",NA,0.69,NA,NA,NA,NA,NA,356.11,NA,42.81,15.6275,NA,15.85,NA,0.53,160,NA,NA,NA,0.3,1.14,7.46125,8.326363636,NA,2619.708667,NA,14,NA,NA,NA,2495.267143,NA,NA,NA,NA,NA,NA,53.33333333,NA,219,0,6.1,NA,NA,NA,0.2,29.44470588,NA,0.23,NA,NA,3,NA,NA,NA,NA,NA,NA,1.52,NA,NA,0.638571429,NA,46341,NA,NA,NA,NA,4,NA,NA,1.58,0.15,113.8571429,NA,NA
"Hemerocallis.fulva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,1.05,0.53,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
