"Dispersal syndrome","Dispersal unit dry mass","Dispersal unit length","Dispersal unit thickness","Dispersal unit width","Germination efficiency","Germination requirement","Leaf area","Leaf carbon (C) content per area","Leaf carbon (C) content per dry mass","Leaf carbon/nitrogen (C/N) ratio","Leaf density","Leaf dry mass","Leaf dry mass per plant","Leaf dry mass per plant dry mass (leaf weight ratio, LWR)","Leaf dry matter content (LDMC)","Leaf fresh mass","Leaf lamina thickness","Leaf lifespan","Leaf nitrogen (N) content","Leaf nitrogen (N) content per area","Leaf nitrogen (N) content per dry mass","Leaf nitrogen/phosphorus (N/P) ratio","Leaf phosphorus (P) content per area","Leaf phosphorus (P) content per dry mass","Leaf physical strength","Leaf porosity","Leaf potassium (K) content per area","Leaf potassium (K) content per dry mass","Leaf respiration per dry mass","Leaf specific area (SLA)","Leaf texture (sclerophylly)","Leaf thickness","Leaf type","Metamorphoses and morphological adaptations: seed or dispersal unit","Mycorrhizal type","Nitrogen fixation capacity","Phenology: reproductive","Phenology: vegetative","Photosynthesis leaf intercellular CO2 concentration","Photosynthesis net assimilytion rate (NAR)","Photosynthesis per leaf area","Photosynthesis per leaf dry mass","Plant age of maturity (first flowering)","Plant growth form","Plant height generative","Plant height vegetative","Plant lifespan","Plant relative growth rate (RGR)","Plant tolerance to drought","Plant tolerance to frost","Plant tolerance to human impact","Plant tolerance to planting density","Plant tolerance to precipitation","Plant tolerance to shade","Plant tolerance to soil pH","Plant tolerance to waterlogging","Reproductive dry mass per plant","Root nitrogen (N) content per dry mass","Rooting depth","Seed length","Seed mass","Seed number per ramet","Seed number per reproducton unit","Seed protein content per mass","Seed thickness","Seed width","Seedbank lifespan","Species distribution: number of floristic zones","Stem dry mass per plant","Stem length (height)","Stem nitrogen (N) content per dry mass","Stem specific density (SSD)","Stomata conductance per leaf area","Wood dry mass per plant dry mass","Woodiness"
"Malus.pumila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,3.13,NA,NA,NA,NA,2.17,NA,1.52,NA,NA,NA,NA,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320.325,NA,NA,NA
"Melilotus.officinalis",NA,1.5,3.69,1.5,2.25,NA,NA,607,NA,NA,NA,NA,46.89,NA,NA,237.6666667,NA,NA,NA,NA,NA,19.14,22.31,NA,780.78,NA,NA,NA,NA,NA,19.375,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,0.475,2.383333333,NA,NA,NA,36,2,NA,41.5,NA,6.5,NA,NA,NA,16,2.19,8343.458065,NA,27705.66571,37.93333333,0.98,1.42,NA,4,NA,NA,NA,NA,NA,NA,NA
"Myosotis.scorpioides",NA,0.31,1.6,0.5,1.08,NA,NA,1420.933333,NA,NA,NA,NA,13.88833333,NA,NA,144.3511111,NA,0.18,NA,NA,NA,NA,NA,NA,NA,0.875,NA,NA,NA,NA,44.1365,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0.3,0.585,NA,NA,NA,48.5,3,7900,39.5,NA,6.5,NA,NA,NA,8,NA,32143.12,NA,20527.56,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"Phleum.pratense",NA,1,2.226,0.88,0.956,NA,NA,40.84573171,54.2,210.6223077,28.2,0.403333333,1.556375,0.24,5.436875,82.70505376,0.111176471,NA,2.04,0.2,1.013333333,9.634642857,7.2075,NA,1667.8,NA,NA,NA,NA,NA,71.20378378,NA,77.55125,NA,NA,NA,NA,137.375,NA,NA,0,5.78,139.014,NA,NA,NA,51.51411765,NA,0.2,NA,26,2,NA,47.5,NA,6.4,NA,0.082,0.99,10,NA,36350.39,NA,23258.15,20.65,NA,NA,NA,4,1.09,NA,NA,0.42,NA,77.828,NA
"Plantago.lanceolata",NA,NA,NA,NA,NA,NA,NA,275.6309524,NA,402.8266667,20.8,NA,32.91173913,NA,0.616153846,113.3410345,0.285,0.273333333,1.166,1.52,1.316,12.87025641,9.32,NA,101.5768182,1.593333333,NA,NA,NA,24.13692308,51.06269231,NA,346.75,NA,NA,NA,NA,120.1428571,NA,251.4636364,2.911538462,12.2975,320.4385714,NA,NA,16.69333333,20.19819444,NA,0.168947368,NA,NA,3,NA,NA,NA,NA,NA,NA,4.415,NA,2.84,1.492333333,NA,10922.7625,17.46666667,0.75,1.39,NA,4,NA,NA,2.3925,0.176666667,231.75,NA,NA
"Plantago.major",NA,NA,NA,NA,NA,NA,NA,2250.62,NA,35.12375,21.616,NA,63.75714286,1.68,12.2825,52.5096875,4.531666667,0.28,NA,NA,63.82,20.63181818,16.27,NA,0.19,1.18,NA,NA,NA,25.49692308,73.34719101,NA,221.042,NA,NA,NA,NA,113.25,NA,273.5275,1.996666667,11.8555,260.7757143,NA,NA,0.176666667,10.3973913,NA,0.18,NA,23.5,2,14500,38,NA,6.05,NA,1.306,2.3375,4,1.5,84074.87074,NA,81747.7225,19.1,0.41,0.81,NA,4,0.726,NA,2.3,NA,117.8770588,19.952,NA
"Polygonum.cuspidatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.29333333,NA,144.36,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polygonum.hydropiper",NA,NA,NA,NA,NA,NA,NA,544.3375,NA,45.322,19.888,NA,10.4,2.436,14.804,96.11909091,0.28,NA,NA,NA,NA,2.352,NA,NA,NA,NA,NA,NA,NA,NA,199.1263636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476666667,79.425,NA,NA,NA,86,NA,NA,42,NA,6.25,NA,1.646,NA,6,NA,11460.365,NA,13362.38,NA,NA,NA,NA,NA,12.264,NA,NA,NA,NA,75.886,NA
"Polygonum.persicaria",NA,NA,NA,NA,NA,NA,NA,538.3722222,NA,44.298,37.688,NA,25.57888889,0.524,40.842,81.568,0.398,0.21,NA,NA,NA,1.222,NA,NA,NA,0.94,NA,NA,NA,NA,68.86478261,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483333333,32.01071429,NA,NA,NA,71,NA,NA,37,NA,6.25,NA,0.308,NA,14,NA,15987.84125,NA,2854,NA,NA,NA,NA,NA,0.486,NA,NA,NA,NA,36.254,NA
"Potentilla.recta",NA,0.26,1.31,0.57,0.95,NA,NA,1301.876818,NA,NA,NA,NA,81.37409091,NA,NA,207.0170833,0.22125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.40916667,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,0.43,19.92727273,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252222222,NA,54337.75,17.5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"Rhamnus.cathartica",NA,15.09,6.085,5.1,5.165,NA,NA,568.902973,22,43,21.6,NA,47.894,NA,0.43,3.148709677,NA,0.2,6.8,6.575,1.924,15.693,15.91,0.1,511.8,2.09,NA,0.56,7.136666667,NA,46.76952381,NA,130.92,NA,NA,NA,NA,5.5,NA,118.8825,0,10.84666667,45.08333333,NA,NA,NA,6.033333333,NA,0.076,3.46,NA,2,NA,NA,1.93,NA,2.25,NA,NA,NA,NA,23.954,NA,NA,NA,NA,NA,NA,3,18.27,51.5,NA,237.0533333,440,NA,NA
"Rosa.multiflora",NA,NA,NA,NA,NA,NA,NA,5598.666667,NA,NA,NA,NA,288.7933333,NA,NA,280.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.11,0.03,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.796,NA,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"Rubus.phoenicolasius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2.5,NA,NA,NA,NA,1.83,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rumex.crispus",NA,2.433333333,3.59,3.19,3.293333333,NA,NA,6290,NA,43.98,13.88,NA,239.7,NA,0.675,105,NA,NA,NA,NA,NA,2.976666667,11.5,NA,0.353333333,NA,11,NA,NA,NA,2569.289412,NA,NA,NA,NA,NA,NA,7,NA,NA,0,NA,NA,NA,NA,24.35,0.546,NA,0.26,NA,NA,3,NA,NA,NA,NA,NA,NA,0.38,NA,NA,1.6768,NA,17801.28933,15.1,NA,NA,NA,4,NA,NA,0.76,0.35,NA,NA,NA
"Rumex.obtusifolius",NA,1.25,2.29,1.27,1.4,NA,NA,21959.21625,NA,285.545,NA,NA,924.2216667,NA,0.6,146.6166667,NA,0.26,NA,18.08,1.34,13.87714286,NA,NA,4.14,29.41333333,NA,NA,NA,NA,48.77483871,0.315,NA,NA,NA,NA,NA,88.2,NA,258.875,0,5.9875,NA,NA,NA,0.825,24.4875,NA,0.16,NA,NA,2,NA,NA,NA,NA,NA,NA,1.07,NA,NA,1.5085,NA,17415.28154,12.7,NA,NA,NA,3,NA,NA,1.33,NA,213.375,NA,NA
"Salix.alba",NA,NA,NA,NA,NA,NA,NA,475.33,NA,44.33,15.87,NA,60.4,NA,NA,297.635,NA,NA,NA,NA,NA,2.56,NA,NA,0.25,NA,8,NA,NA,NA,1068.273333,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,18,24.66363636,162.5,NA,2,33.5,3,300,55,1.99,6.15,4.1,NA,NA,24,0.9,0.12,NA,49581.33333,NA,0.25,0.25,NA,3,NA,NA,NA,119.41,NA,NA,NA
"Salix.pentandra",NA,NA,NA,NA,NA,NA,NA,620.966,NA,466.34,NA,NA,55.602,NA,NA,250.1766667,NA,NA,NA,NA,NA,29.06,NA,NA,1.68,NA,NA,NA,NA,NA,39.94,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,8,16.75,NA,NA,0.53,41,2,225,37.5,1.93,7,3.95,NA,NA,12,1.73,2250000.135,NA,56840.4,NA,0.4,0.4,NA,3,NA,NA,NA,NA,NA,NA,NA
"Saponaria.officinalis",NA,NA,NA,NA,NA,NA,NA,2165.5,NA,NA,NA,NA,108.265,NA,NA,199.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.35,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,0.583333333,0.895,NA,NA,NA,56,4,3750,38.5,NA,6,NA,NA,NA,10,1.92,9616.916923,NA,29080.55,16.6,0.65,1.58,NA,2,NA,NA,NA,NA,NA,NA,NA
"Securigera.varia",NA,4.78,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3.71,3.306666667,NA,NA,33.225,1.1,1.42,NA,3,NA,NA,NA,NA,NA,NA,NA
"Silene.vulgaris",NA,NA,NA,NA,NA,NA,NA,1179.5,NA,NA,NA,NA,63.76,NA,NA,166,NA,NA,NA,NA,NA,2.64,11.73,NA,0.23,NA,NA,NA,NA,NA,20.48181818,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0.483333333,0.27,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1.42,1.3124,NA,2066.02125,18.1,0.87,1.22,NA,4,NA,NA,NA,NA,NA,NA,NA
"Solanum.dulcamara",NA,NA,10,NA,10,NA,NA,1414.892542,NA,45.07,11.36,0.14,65.95444444,NA,0.5,38.85953846,NA,0.13,NA,1.44,1.02,18.868,11.14,0.08,581.3706667,1.535,14,0.6,17.43,NA,748.933,0.1,89.64666667,NA,0,NA,NA,5.875,4,NA,0,NA,NA,NA,1,1.15,31.578,NA,0.23,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2.13,33.59578947,2,18705.82333,NA,0.4,2.08,NA,4,57.98,119.06,NA,0.19,NA,NA,1.5
"Sonchus.oleraceus",NA,0.356666667,4.073333333,0.25,0.91,NA,NA,7607.666667,NA,NA,NA,NA,341.135,NA,0.8,118.5,NA,0.22,NA,NA,NA,19.195,10.09,NA,1731.73,0.465,NA,NA,NA,NA,71.00789474,NA,NA,NA,NA,NA,NA,8,NA,NA,0,NA,NA,NA,NA,0.783333333,20.826,NA,0.21,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0.31,NA,0.3075,NA,40193.6,18.8,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"Tanacetum.vulgare",NA,0.11,1.9,NA,0.78,NA,NA,1991.315455,NA,46.817,25.26571429,NA,142.0788889,2.066,28.76285714,88.547,2.642,NA,NA,5.315,1.275,2.235384615,NA,NA,0.38,NA,25,NA,NA,NA,813.9280645,NA,NA,NA,NA,NA,NA,8,NA,NA,0,NA,NA,NA,NA,0.733333333,86.77823529,NA,0.02,NA,NA,2,NA,NA,NA,NA,NA,0.49,NA,NA,NA,0.169259259,NA,273721.4767,28.9,NA,NA,NA,4,2.686,NA,NA,0.42,NA,50.468,NA
"Trifolium.aureum",NA,NA,5.666666667,NA,NA,NA,NA,410.8233333,NA,NA,NA,NA,12.18166667,NA,NA,234.8261538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.06307692,NA,NA,NA,NA,NA,NA,84.33333333,NA,NA,NA,NA,NA,NA,NA,0.3525,4.868,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.18,0.335,NA,82470.82667,NA,0.68,0.92,NA,2,NA,NA,NA,NA,NA,NA,NA
"Trifolium.pratense",NA,NA,3.75,NA,1.65,NA,NA,74.21464286,NA,360.4633333,11.35571429,0.469,14.14709677,1.09,12.49125,146.8051111,0.49,0.14,NA,1.635,1.6,24.915625,14.09,NA,131.1276471,2.105,NA,NA,NA,NA,81.04977528,NA,0.14,NA,NA,NA,NA,143.3157895,NA,189.125,0,5.025,NA,NA,NA,17.31083333,35.8957377,NA,0.125,NA,48,2,NA,48.5,NA,6.75,NA,0.892,2.11,12,1.94,5555.840612,NA,216.452381,37.15,0.97,1.4,NA,4,3.33,NA,1.68,0.23,65.25,61.538,NA
"Trifolium.repens",NA,NA,4.38,NA,1.35,NA,NA,35.30244898,68.66666667,396.84,10.672,NA,1.636603774,0.636,27.81166667,94.87068966,0.1025,0.16,2.01,0.41,1.6,30.9675,NA,NA,2.026153846,4.392857143,NA,NA,NA,NA,50.88778846,NA,NA,NA,NA,NA,NA,130.9047619,NA,215.375,0,11.51611111,456.174,NA,NA,53.11083333,30.93214286,NA,0.106666667,NA,55.5,3,NA,47,NA,6.75,NA,0.4,2.17,12,1.17,13379.84448,NA,17445.98966,35.075,0.73,1.02,NA,7,0.902,NA,2.91,0.19,139.5,47.554,NA
"Tussilago.farfara",NA,0.22,12.06,0.29,0.45,NA,NA,14599.04143,NA,38.686,15.068,NA,826.0671429,37.622,87.278,61.88,37.6,0.37,NA,NA,NA,2.54,10.36,NA,2200,0.69,NA,NA,NA,NA,58.84214286,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,0.163333333,42.87181818,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.314666667,NA,6953.1,NA,NA,NA,NA,4,5.704,NA,NA,NA,NA,12.722,NA
"Verbascum.thapsus",NA,NA,NA,NA,NA,NA,NA,13033.82,NA,46.28,NA,NA,1350.0075,NA,0.58,183.1771429,NA,NA,NA,17.05,1.015,2.235,NA,0.17,0.25,NA,NA,NA,NA,NA,64.79333333,NA,NA,NA,NA,NA,NA,95,NA,NA,0,NA,NA,NA,NA,1.1,19.6875,NA,0.23,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0.094347826,NA,652624.8511,NA,0.42,0.48,NA,4,NA,NA,NA,NA,NA,NA,NA
"Vinca.minor",NA,NA,NA,NA,NA,NA,NA,565,NA,NA,NA,NA,21.86,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.43571429,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,0.18,0.493333333,NA,NA,NA,48.5,2,10850,45,NA,6.6,NA,NA,NA,8,NA,6.13,NA,2.5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
