Trait,Species,Value
Plant tolerance to frost,Quercus velutina,-28
Plant tolerance to frost,Ranunculus pensylvanicus,-28
Plant tolerance to frost,Rubus allegheniensis,-28
Plant tolerance to frost,Rubus occidentalis,-28
Plant tolerance to frost,Sambucus nigra,-28
Plant tolerance to frost,Symphyotrichum lanceolatum,-28
Plant tolerance to frost,Thelypteris noveboracensis,-28
Plant tolerance to frost,Viburnum acerifolium,-28
Plant tolerance to frost,Trifolium pratense,-24
Plant tolerance to frost,Acer pensylvanicum,-23
Plant tolerance to frost,Apios americana,-23
Plant tolerance to frost,Carya cordiformis,-23
Plant tolerance to frost,Corylus cornuta,-23
Plant tolerance to frost,Decodon verticillatus,-23
Plant tolerance to frost,Elymus virginicus,-23
Plant tolerance to frost,Geum laciniatum,-23
Plant tolerance to frost,Heuchera sanguinea,-23
Plant tolerance to frost,Hypericum mutilum,-23
Plant tolerance to frost,Lindera benzoin,-23
Plant tolerance to frost,Lycopus rubellus,-23
Plant tolerance to frost,Peltandra virginica,-23
Plant tolerance to frost,Polygonum amphibium,-23
Plant tolerance to frost,Prunus serotina,-23
Plant tolerance to frost,Rudbeckia hirta,-23
Plant tolerance to frost,Arisaema triphyllum,-18
Plant tolerance to frost,Heliopsis helianthoides,-18
Plant tolerance to frost,Saponaria officinalis,-18
Plant tolerance to frost,Solidago flexicaulis,-18
Plant tolerance to frost,Lonicera japonica,-13
Plant tolerance to frost,Polygonum sagittatum,-13
Plant tolerance to frost,Rubus idaeus,-10
Plant tolerance to frost,Cynodon dactylon,-8
Plant tolerance to frost,Tilia americana,-8
Plant tolerance to frost,Bromus ciliatus,-3
Nitrogen fixation capacity,Betula papyrifera,0
Woodiness,Petasites frigidus,0
Nitrogen fixation capacity,Petasites frigidus,0
Mycorrhizal type,Populus tremuloides,0
Germination requirement,Populus tremuloides,0
Nitrogen fixation capacity,Populus tremuloides,0
Metamorphoses and morphological adaptations: seed or dispersal unit,Solanum dulcamara,0
Plant height vegetative,Cornus canadensis,0
Photosynthesis net assimilytion rate (NAR),Euterpe sp,4.08E-05
Photosynthesis net assimilytion rate (NAR),Euterpe sp,4.75E-05
Photosynthesis net assimilytion rate (NAR),Euterpe sp,8.88E-05
Photosynthesis net assimilytion rate (NAR),Euterpe sp,9.33E-05
Photosynthesis net assimilytion rate (NAR),Euterpe sp,1.34E-04
Photosynthesis net assimilytion rate (NAR),Thuja occidentalis,1.41E-04
Photosynthesis net assimilytion rate (NAR),Euterpe sp,1.42E-04
Photosynthesis net assimilytion rate (NAR),Pinus strobus,0.000197256
Photosynthesis net assimilytion rate (NAR),Populus tremuloides,2.36E-04
Photosynthesis net assimilytion rate (NAR),Sonchus oleraceus,0.00024
Photosynthesis net assimilytion rate (NAR),Betula papyrifera,2.48E-04
Photosynthesis net assimilytion rate (NAR),Acer saccharum,0.0003
Photosynthesis net assimilytion rate (NAR),Acer saccharum,0.0003
Photosynthesis net assimilytion rate (NAR),Thuja occidentalis,3.31E-04
Photosynthesis net assimilytion rate (NAR),Betula alleghaniensis,3.37E-04
Photosynthesis net assimilytion rate (NAR),Bromus inermis,0.000364
Photosynthesis net assimilytion rate (NAR),Quercus macrocarpa,0.000393
Photosynthesis net assimilytion rate (NAR),Pinus strobus,0.00043
Photosynthesis net assimilytion rate (NAR),Acer platanoides,4.33E-04
Photosynthesis net assimilytion rate (NAR),Pinus strobus,4.66E-04
Photosynthesis net assimilytion rate (NAR),Rumex crispus,0.00047
Reproductive dry mass per plant,Galium palustre,0.0005
Reproductive dry mass per plant,Galium palustre,0.0005
Reproductive dry mass per plant,Galium palustre,0.0005
Photosynthesis net assimilytion rate (NAR),Quercus macrocarpa,0.000511
Photosynthesis net assimilytion rate (NAR),Quercus rubra,5.27E-04
