River,Comm,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per total dry mass
Fishkill Creek,Fishkill Creek Inv,NA,11.48,NA,0.15,13.37,7.74,2655.3,2.22,NA,NA,36.97333333,NA,NA,NA,18,759.4716667,18398.53,NA,160.355,NA,NA
Four Mile Brook,Four Mile Brook Inv,333.54,15.87,11.285,0.19,13.46666667,NA,0.83,2.62,NA,NA,394.46,NA,0.215,NA,16,2666.88,71551.12667,19.4,119.41,NA,50.67
Green River,Green River Inv,38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,10.29,NA,80.43666667,NA,NA,NA,NA,3.2425,3480.05,NA,NA,NA,12.72
Hans Creek,Hans Creek Inv,43.57,15.75,0.53,NA,5.01,8.33,1309.98,NA,NA,NA,1781.77,NA,0.23,1.52,24,0.38,47961.165,NA,59.78,113.86,NA
Hudson River,Hudson River Inv,497,NA,21.86,0.19,22.3,NA,NA,2.62,NA,NA,77.09,NA,0.21,NA,NA,0.14,163298.86,19.4,NA,NA,50.67
Indian Brook,Indian Brook Inv,44.3,24.585,40.84,0.18,11.125,8.8,2750.6,1.58,NA,NA,49.64,NA,NA,NA,16,4104.398,16630.97333,NA,0.38,NA,36.25
Indian Kill,Indian Kill Inv,40.66,19.12,13.35,0.25,13.286,11.915,1164.818,1.505,7.14,25.5,64.378,135.0533333,0.163333333,2.34,4,16820.386,108492.4775,17.7,79.24,235.96,38.135
Jassup River,Jassup River Inv,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,NA,1068.27,NA,NA,NA,24,0.12,49581.33,NA,119.41,NA,NA
Kayaderosseras Creek,Kayaderosseras Creek Inv,105.544,21.266,18.726,0.25,9.73,13.95333333,33.2925,1.19,10.29,25.5,444.6828571,180.04,0.2,1.61,10,15088.99857,81677.455,21.9125,0.29,111.0433333,43.515
Kennyetto Creek,Kennyetto Creek Inv,217.3633333,18.50333333,10.09666667,0.21,19.59666667,15.18,44.62,1.645,10.78,25.5,56.9925,268.27,0.193333333,2.225,8,14940.70667,28963.31,28.3925,0.18,91.565,48.87666667
Keyser Kill,Keyser Kill Inv,303.6845455,14.24,17.573,0.208571429,17.87166667,14.654,358.4281818,5.997142857,12.83333333,NA,94.054375,365.965,0.185555556,1.8675,12.4,2402.75,77553.66,29.47,0.231666667,127.6275,49.12833333
Kinderhook Creek,Kinderhook Creek Inv,266.68,14.3825,12.65333333,0.198,19.76714286,12.9875,373.086,2.154,NA,25.5,422.97,358.475,0.183333333,1.75,7.0775,11449.54,45815.84429,24.105,80.275,107.5433333,44.9275
Landsman Kill,Landsman Kill Inv,181.7,17.75,7.83,0.22,12.70285714,13.7475,484.9325,28.27,9.64,NA,273.5027273,146.6533333,0.213333333,1.55,11.39666667,1702.749091,133851.7956,25.80285714,0.26,109.435,61
Lansing Kill,Lansing Kill Inv,36.905,16.05666667,49.78,0.266666667,14.73333333,11.81,1650.263333,1.363333333,NA,25.5,62.18,260.78,0.18,2.34,4,16816.126,1746301.48,19.1,0.38,117.88,16.335
Mill Brook,Mill Brook Inv,202.22,12.62,6.585,0.14,13.95,12.795,65.74,2.11,NA,NA,1325.17,NA,0.195,1.245,15,2520.4325,9008.87,28.49333333,0.29,65.25,61.54
Mill Creek,Mill Creek Inv,42.81,15.63,0.53,NA,7.46,8.33,2619.71,NA,NA,NA,2495.27,NA,0.23,1.52,NA,1.59,46341,NA,0.15,113.86,NA
Minots Corner Road,Minots Corner Road Inv,42.81,15.63,0.53,NA,4.585,7.505,2589.855,NA,NA,NA,1263.065,NA,0.23,1.52,NA,1.3,27248.835,NA,0.15,113.86,NA
