River,Comm,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per total dry mass
New Pond Brook,New Pond Brook Nat,133.528,29.858,8.33,174.38,7.598571429,11.25166667,1804.598333,NA,0.583333333,6.825,139.7322222,46.28,0.055,8.553333333,17.38888889,207545.6279,7744.31,26.525,141.268,161.67,74.75
North Branch West Stony Creek,North Branch West Stony Creek Nat,103.05625,22.45166667,14.0375,87.38,6.033333333,11.878,1512.146364,3.12,2.306666667,7.125,338.8466667,114.54625,0.184,4.89,16.53125,195144.6883,100008304.6,26.06666667,106.382,190.428,69.34333333
Paragon Brook,Paragon Brook Nat,151.96375,30.02285714,8.455,0.14,6.586923077,10.87,1730.903,3.3,2.233333333,9.29,106.756875,86.018,0.093333333,11.4,22.04166667,194563.2111,156032.6117,16.97666667,86.76,222.222,63.72
Plotter Kill,Plotter Kill Nat,46.7325,22.41,14.36666667,190.75,2.844545455,8.567272727,2110.805455,451.7,1.01,8.29,185.33,69.40333333,0.125,5.95,22.2,133844.4264,302649.4767,22.6,132.026,360.8333333,68.375
Potic Creek,Potic Creek Nat,91.39888889,22.19285714,11.42272727,63.66,6.659230769,10.44375,1361.154444,3.39,0.8875,10.02,1716.493684,110.9666667,0.165714286,3.683333333,15.25,52280.92593,11435.52889,20.8325,87.04,115.48,69.20333333
Quacken Kill,Quacken Kill Nat,45.115,20.7275,16.05166667,121.74,4.481333333,8.988333333,1682.177333,3.48,1.014285714,9.376,1562.481176,71.218,0.163333333,7.24,21.31578947,35153.58926,141020.97,22.4375,79.06777778,254.928,66.755
Robbs Creek,Robbs Creek Nat,100.2025,23.31833333,21.12,0.18,3.318888889,9.5425,1738.6375,0.64,1.03,NA,1884.736154,164.955,0.178,0.87,12.56666667,197436.8888,375364.034,22.86,64.02,56.905,54.07333333
Roeliff Jansen Kill,Roeliff Jansen Kill Nat,45.51,18.645,23.8025,0.09,3.328,8.744444444,1865.681111,3.48,1.21,16.09,135.55,162.15,0.18,NA,18.33333333,38020.8685,403016.7214,23.13333333,0.586666667,297,66.755
Saw Kill,Saw Kill Nat,47,21.505,5.156666667,190.75,3.881428571,11.01666667,1823.888333,NA,0.915,11.255,248.4354545,33.745,0.152,14.25,24.6,24316.78833,4,28.05,72.76166667,135.1,80.43
Sherriff Lake Outlet,Sherriff Lake Outlet Nat,47.2425,23.626,20.16,NA,4.484,12.24285714,1338.4025,NA,0.895,4.2,151.1015385,134.2266667,0.143333333,5.17,17.40625,240474.0932,643263.9767,19.65,51.456,120,61.695
Snook Kill,Snook Kill Nat,46.11181818,20.58333333,13.6,NA,5.22375,9.697272727,1840.68,451.7,0.8425,17.06,556.2070588,90.4925,0.201428571,16.7,18.36111111,86533.08,339089.46,23.82142857,110.0457143,157.032,62.918
Sprout Creek,Sprout Creek Nat,104.5557143,20.2575,11.75,0.14,5.035555556,9.0375,1392.3225,3.3,0.97,8.185,412.12,101.7966667,0.17,0.59,18.66666667,31974.29438,184528.4,16.505,47.9375,222.9333333,77.47
Steele Creek,Steele Creek Nat,46.11,23.5,NA,NA,4.458888889,9.8375,1507.29625,NA,1.21,10,107.1766667,45.32,NA,NA,24.55555556,37364.18083,449765.475,21.53333333,0.508333333,365.8,NA
Sterling Creek,Sterling Creek Nat,165.9814286,28.285,7.116666667,0.16,7.646666667,8.16,1943.836154,1.97,2.764,12.2225,124.195,68.07666667,0.188333333,11.12,15.9375,19744.59192,138664.2,18.02285714,0.515714286,101.9925,57.09
Stewart Creek,Stewart Creek Nat,260.985,31.17,0.5925,190.75,3.985,10.72272727,2086.525455,NA,0.838,10.105,112.325,68.682,0.1125,9.773333333,22.15384615,263261.5496,7744.31,29.7,72.64833333,87.25,NA
Stony Creek,Stony Creek Nat,129.184,20.90333333,10.42571429,63.66,5.833,9.826666667,1513.739,3.39,0.7675,9.253333333,2285.183571,78.26,0.16,4.57,21.27272727,13364.25789,142166.73,21.206,72.65833333,168.075,67.78666667
Timmerman Creek,Timmerman Creek Nat,187.115,25.94666667,8.895,0.37,7.899,8.866666667,1432.9575,5.92,5.19,6.91,102.6690909,87.475,0.1225,0.59,12.59090909,225452.7219,338581.005,19.656,64.105,76.82,60.055
Trout Brook,Trout Brook Nat,47.21,24.034,6.54,182.565,5.24,12.47142857,1605.774286,NA,0.725,6.996,110.14,76.95,0.105,7.24,20.96428571,306977.421,880228,27.2,160.935,175.16,63.66
Valatie Kill,Valatie Kill Nat,44.05,25.675,0.665,190.75,6.181428571,10.55714286,1903.702857,NA,0.854,6.318,113.3677778,76.0875,0.14,9.59,25.33333333,4656.613333,1856092.5,22.375,87.166,180.1,NA
Wappinger Creek,Wappinger Creek Nat,233.8433333,NA,0.57,0.14,11.72666667,8.445,789.135,3.3,NA,NA,104.1933333,82.57,0.14,0.59,11.14285714,24197.647,2289.886667,21.87666667,0.48,153,NA
Wharton Hollow Creek,Wharton Hollow Creek Nat,140.8266667,22,16.68,63.66,5.807272727,10.735,1365.285,3.39,2.608,8.395,2251.538182,83.8075,0.153333333,3.683333333,19.16666667,84314.15867,2131.0675,20.17666667,138.064,138.195,57.03333333
