"","Leaf.C.per.dry.mass","Leaf.C.to.N.ratio","Leaf.weight.ratio","Lamina.thickness","Leaf.N.per.dry.mass","Leaf.N.to.P.ratio","Leaf.P.per.dry.mass","Leaf.physical.strength","Leaf.K.per.dry.mass","Leaf.respiration.per.dry.mass","SLA","Photosynthesis.per.leaf.dry.mass","RGR","Root.N.per.dry.mass","Rooting.depth","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","SSD","Stomata.conductance.per.leaf.area","Wood.dry.mass.per.plant.dry.mass"
"Minots Corner Road",131.882,25.3733333333333,38.09,NA,3.39,5.795,2800.055,NA,9.85,NA,112.307142857143,169.66,NA,NA,16,13228.7825,243118.815,15.6,0.27,NA,53.8666666666667
"Mohawk River",43.47,24.96,26.325,0.09,1.395,6,2166.66666666667,3.48,NA,NA,197.256666666667,169.66,0.195,2.31,10.8,92653.8490909091,618809.183333333,15.6,NA,NA,61.59
"New Pond Brook",260.995,28.415,16.02,NA,4.91,5.11,3600.11,NA,NA,NA,238.12,NA,NA,NA,7,298462.218888889,7744.31,22.5,0.27,NA,74.75
"North Branch West Stony Creek",135.76,22.45,18.4966666666667,0.38,6.436,7.8,1680.0875,3.12,9.83,NA,553.5375,154.123333333333,0.213333333333333,NA,10.4444444444444,206011.935625,100008304.59,23.8,0.34,142.5,69.3433333333333
"Paragon Brook",165.891428571429,29.075,13.142,0.14,7.975,6.15,2394.4175,3.3,NA,22.37,120.26,183.37,0.105,9.315,13.6,286989.56,184207.834,17.365,0.27,304,63.72
"Plotter Kill",46.7325,18.55,21.215,NA,1.77833333333333,6.07166666666667,2391.66666666667,NA,NA,NA,234.378333333333,NA,0.18,2.31,14,132424.131111111,302649.476666667,22.6,NA,NA,68.375
"Potic Creek",91.3988888888889,21.25,13.8144444444444,0.115,8.39666666666667,8.36,1413.606,3.39,NA,NA,2143.04333333333,107.603333333333,0.2,0.73,11,61160.8886956522,11435.5288888889,20.8325,0.17,120.75,69.2033333333333
"Quacken Kill",44.9585714285714,17.1425,19.128,0.09,2.13571428571429,6.8025,1300.13428571429,3.48,NA,NA,2580.224,89.2,0.21,NA,13.0909090909091,42519.7531578947,141020.97,20.4166666666667,0.165,120,66.755
"Robbs Creek",106.735714285714,24.15,21.12,0.18,3.28428571428571,7.62333333333333,1800.93666666667,0.64,NA,NA,2205.99181818182,164.955,0.205,0.87,10,179796.007272727,375364.034,24.525,0.225,56.905,54.0733333333333
"Roeliff Jansen Kill",45.51,18.645,23.8025,0.09,1.90833333333333,7.372,2253.334,3.48,NA,NA,154.572,NA,0.18,NA,12.5,42688.895625,403016.721428571,13.1,NA,NA,66.755
"Saw Kill",47,17.335,9.66333333333333,NA,2.92,8,2600,NA,NA,NA,380.212,NA,0.19,NA,12,35749.6233333333,4,30.9,NA,0.1,80.43
"Sherriff Lake Outlet",44.8333333333333,24.0233333333333,20.16,NA,6.9,4.41,1275.265,NA,NA,NA,202.402857142857,151.04,0.18,NA,11.6,218055.86625,643263.976666667,20.8,NA,120,61.695
"Snook Kill",45.6085714285714,20.0525,16.3416666666667,NA,5.17444444444444,6.47,2021.46571428571,NA,NA,NA,740.444,89.2,0.2475,NA,12.5454545454545,74557.2452380952,417840.27,21.275,0.16,60.15,64.535
"Sprout Creek",104.555714285714,19.1766666666667,11.75,0.14,5.36166666666667,8.35,1679.338,3.3,NA,NA,522.2075,130.035,0.17,0.59,13.25,33815.2118181818,184528.4,15.11,0.34,151.5,77.47
"Steele Creek",46.11,NA,NA,NA,1.205,6.8,1850,NA,NA,NA,58.6066666666667,NA,NA,NA,13.3333333333333,67083.232,449765.475,19.7,NA,NA,NA
"Sterling Creek",186.663333333333,34.49,7.965,0.16,8.95285714285714,7.21833333333333,1969.645,1.97,10.14,30.11,105.44,82.57,0.1775,11.12,12,19854.5817647059,140341.621428571,18.2516666666667,0.27,133.165,57.73
"Stewart Creek",477,34.49,0.42,NA,3.142,8.465,2637.5275,NA,NA,NA,106.848571428571,169.66,0.07,NA,10.8,389567.793125,7744.31,23.8,0.27,NA,NA
"Stony Creek",129.184,15.6233333333333,12.0516666666667,0.115,5.2,7.878,1507.17166666667,3.39,NA,NA,3150.272,85.885,0.1825,0.73,11.6,18829.0861538462,142166.73,26.465,0.17,136.5,67.7866666666667
"Timmerman Creek",256.5825,28.61,8.46666666666667,0.37,8.29666666666667,6.68666666666667,1175.92,5.92,9.74,NA,65.0975,82.57,0.105,0.59,9.71428571428572,281458.83,409133.923333333,21.81,0.285,153,63.66
"Trout Brook",43.19,24.96,12.415,NA,1.59,11.03,1100.03,NA,NA,NA,98.2425,169.66,0.07,NA,12.7142857142857,457114.384615385,880228,NA,NA,NA,63.66
"Valatie Kill",43.13,NA,NA,NA,1.57,5.61,2800,NA,NA,NA,31.27,169.66,NA,NA,14,1116.864,1856092.5,10.6,NA,NA,NA
"Wappinger Creek",233.843333333333,NA,0.57,0.14,16.485,8.445,789.135,3.3,NA,NA,74.948,82.57,0.14,0.59,10,26428.3655555556,2289.88666666667,21.8766666666667,NA,153,NA
"Wharton Hollow Creek",158.098,20.4966666666667,20.6825,0.115,7.25666666666667,7.89,1328.696,3.39,10.14,NA,4034.98666666667,82.57,0.195,0.73,8.5,10210.517,2131.0675,19.13,0.18,76.74,57.0333333333333
