PartSite,Species,Presence,Origin
Fawn Lake N,Cornus amomum,1,N
Sprout Creek N,Cornus amomum,1,N
Hudson River N,Cornus canadensis,1,N
Fishkill Creek N,Cornus obliqua,1,N
Hudson River N,Cornus obliqua,1,N
Lansing Kill N,Cornus obliqua,1,N
Mohawk River N,Cornus obliqua,1,N
Potic Creek N,Cornus obliqua,1,N
Snook Kill N,Cornus obliqua,1,N
Sterling Creek N,Cornus obliqua,1,N
Boreas River N,Cornus rugosa,1,N
Minots Corner Road N,Cornus rugosa,1,N
Sterling Creek N,Cornus rugosa,1,N
Timmerman Creek N,Cornus rugosa,1,N
Ballston Creek N,Cornus sericea,1,N
Battenkill N,Cornus sericea,1,N
Boreas River N,Cornus sericea,1,N
Cadman Creek N,Cornus sericea,1,N
Chester Creek N,Cornus sericea,1,N
Daly Creek N,Cornus sericea,1,N
Indian Kill N,Cornus sericea,1,N
Kennyetto Creek N,Cornus sericea,1,N
Kinderhook Creek N,Cornus sericea,1,N
Mill Brook N,Cornus sericea,1,N
Paragon Brook N,Cornus sericea,1,N
Snook Kill N,Cornus sericea,1,N
Steele Creek N,Cornus sericea,1,N
Trout Brook N,Cornus sericea,1,N
Wappinger Creek N,Cornus sericea,1,N
Lansing Kill N,Corylus cornuta,1,N
Alplaus Kill N,Fagus grandifolia,1,N
Bullhead Pond Brook N,Fagus grandifolia,1,N
Cadman Creek N,Fagus grandifolia,1,N
Minots Corner Road N,Fagus grandifolia,1,N
Sherriff Lake Outlet N,Fagus grandifolia,1,N
Ballston Creek N,Fraxinus americana,1,N
Battenkill N,Fraxinus americana,1,N
Big Brook N,Fraxinus americana,1,N
Bullhead Pond Brook N,Fraxinus americana,1,N
Fawn Lake N,Fraxinus americana,1,N
Fishkill Creek N,Fraxinus americana,1,N
Hans Creek N,Fraxinus americana,1,N
Indian Kill N,Fraxinus americana,1,N
Kinderhook Creek N,Fraxinus americana,1,N
Lansing Kill N,Fraxinus americana,1,N
Minots Corner Road N,Fraxinus americana,1,N
North Branch West Stony Creek N,Fraxinus americana,1,N
Quacken Kill N,Fraxinus americana,1,N
Saw Kill N,Fraxinus americana,1,N
Sprout Creek N,Fraxinus americana,1,N
Steele Creek N,Fraxinus americana,1,N
Stony Creek N,Fraxinus americana,1,N
Trout Brook N,Fraxinus americana,1,N
Valatie Kill N,Fraxinus americana,1,N
Wharton Hollow Creek N,Fraxinus americana,1,N
Stewart Creek N,Fraxinus nigra,1,N
Potic Creek N,Fraxinus pennsylvanica,1,N
Ballston Creek N,Hamamelis virginiana,1,N
Hans Creek N,Hamamelis virginiana,1,N
Saw Kill N,Hamamelis virginiana,1,N
Sterling Creek N,Hamamelis virginiana,1,N
Ballston Creek N,Helianthus divaricatus,1,N
Kayaderosseras Creek N,Helianthus divaricatus,1,N
Steele Creek N,Helianthus divaricatus,1,N
Cadman Creek N,Juglans cinerea,1,N
Quacken Kill N,Juglans cinerea,1,N
Hudson River N,Juglans nigra,1,N
Landsman Kill N,Juglans nigra,1,N
Indian Brook N,Lindera benzoin,1,N
Boreas River N,Myrica gale,1,N
Chester Creek N,Myrica gale,1,N
Paragon Brook N,Myrica gale,1,N
Bullhead Pond Brook N,Oclemena acuminata,1,N
Stewart Creek N,Oclemena acuminata,1,N
Keyser Kill N,Oenethera biennis,1,N
Snook Kill N,Oenethera biennis,1,N
Sterling Creek N,Oenethera biennis,1,N
Timmerman Creek N,Oenethera biennis,1,N
Alplaus Kill N,Ostrya virginiana,1,N
Ballston Creek N,Ostrya virginiana,1,N
Lansing Kill N,Ostrya virginiana,1,N
Minots Corner Road N,Ostrya virginiana,1,N
Sterling Creek N,Ostrya virginiana,1,N
Timmerman Creek N,Ostrya virginiana,1,N
Valatie Kill N,Ostrya virginiana,1,N
Cadman Creek N,Pinus strobus,1,N
Mill Creek N,Pinus strobus,1,N
Paragon Brook N,Pinus strobus,1,N
Kinderhook Creek N,Platanus occidentalis,1,N
Landsman Kill N,Platanus occidentalis,1,N
Sprout Creek N,Platanus occidentalis,1,N
Ballston Creek N,Populus deltoides,1,N
Cadman Creek N,Populus deltoides,1,N
Cobleskill Creek N,Populus deltoides,1,N
Evas Kill N,Populus deltoides,1,N
