"Acalypha.rhomboidea","Acer.saccharum","Adiantum.pedatum","Ageratina.altissima","Agrimonia.gryposepala","Agrostis.perennans","Agrostis.scabra","Alisma.subcordatum","Alliaria.petiolata","Ambrosia.artemisiifolia","Ambrosia.trifida","Amphicarpaea.bracteata","Anemone.canadensis","Apios.americana","Arctium.lappa","Arisaema.triphyllum","Asarum.canadense","Athyrium.filix.femina","Bidens.connata","Bidens.frondosa","Boehmeria.cylindrica","Brassica.nigra","Bromus.ciliatus","Calystegia.sepium","Carex.bullata","Caulophyllum.thalictroides","Chamaesyce.maculata","Chelone.glabra","Cicuta.maculata","Cinna.arundinacea","Circaea.lutetiana","Clematis.virginiana","Cryptotaenia.canadensis","Cynodon.dactylon","Cyperus.compressus","Cyperus.strigosus","Dactylis.glomerata","Daucus.carota","Decodon.verticillatus","Dichanthelium.clandestinum","Didiplis.diandra","Digitaria.cognata","Digitaria.sanguinalis","Dryopteris.camyloptera","Dryopteris.carthusiana","Dryopteris.marginalis","Echinochloa.muricata","Echinocystis.lobata","Eleocharis.intermedia","Elymus.canadensis","Elymus.virginicus","Epilobium.hirsutum","Eupatorium.purpureum","Eurybia.divaricata","Eutrochium.purpureum","Fallopia.japonica","Fragaria.vesca","Galium.aparine","Galium.asprellum","Galium.boreale","Galium.palustre","Galium.triflorum","Geranium.maculatum","Geum.laciniatum","Glechoma.hederacea","Glyceria.borealis","Halenia.deflexa","Helianthus.giganteus","Helianthus.strumosus","Heliopsis.helianthoides","Hemerocallis.fulva","Hieracium.paniculatum","Hydrocotyle.americana","Hylotelephium.telephium","Hypericum.mutilum","Impatiens.capensis","Impatiens.pallida","Lactuca.canadensis","Laportea.canadensis","Leersia.oryzoides","Lobelia.cardinalis","Ludwigia.palustris","Lycopus.uniflorus","Lysimachia.ciliata","Lysimachia.nummularia","Lysimachia.vulgaris","Lythrum.salicaria","Maianthemum.canadense","Maianthemum.racemosum","Marrubium.vulgare","Matteuccia.struthiopteris","Menispermum.canadense","Mimulus.ringens","Mitchella.repens","Mollugo.verticillata","Muhlenbergia.mexicana","Muhlenbergia.schreberi","Muhlenbergia.sobolifera","Myosotis.laxa","Myosoton.aquaticum","Oenothera.biennis","Onoclea.sensibilis","Oxalis.grandis","Oxalis.stricta","Panicum.capillare","Panicum.dichotomiflorum","Parthenocissus.quinquefolia","Paspalum.setaceum","Pastinaca.sativa","Peltandra.virginica","Penthorum.sedoides","Petasites.frigidus","Phytolacca.americana","Pilea.pumila","Plantago.major","Polygonum.arifolium","Polygonum.cespitosum","Polygonum.hydropiper","Polygonum.hydropiperoides","Polygonum.lapathifolium","Polygonum.persicaria","Polygonum.sagittatum","Polygonum.virginianum","Polystichum.acrostichoides","Potentilla.simplex","Prunella.vulgaris","Ranunculus.recurvatus","Rhamnus.cathartica","Rubus.allegheniensis","Rubus.hispidus","Rubus.occidentalis","Rubus.odoratus","Rubus.pubescens","Rumex.obtusifolius","Rumex.triangulivalvis","Sanicula.odorata","Scirpus.polyphyllus","Scutellaria.lateriflora","Sinapis.arvensis","Smilax.glauca","Solanum.dulcamara","Solanum.ptycanthum","Solidago.altissima","Solidago.canadensis","Solidago.flexicaulis","Solidago.gigantea","Stellaria.pubera","Symphyotrichum.dumosum","Symphyotrichum.lateriflorum","Teucrium.canadense","Thalictrum.pubescens","Thalictrum.thalictroides","Thelypteris.noveboracensis","Thelypteris.palustris","Toxicodendron.radicans","Trifolium.arvense","Trifolium.campestre","Trifolium.pratense","Trifolium.repens","Urtica.dioica","Veronica.americana","Viola.fimbriatula","Viola.pubescens","Vitis.riparia","Xanthium.strumarium"
"Chamaesyce.maculata",5.38272235955004,6888.21853949372,NA,0.768960337078578,534093.406443188,22784009.9049214,4932882.71433778,7048802.4918067,17.4133232337101,20.5568090909071,56.9400717948265,253.386671102114,22.2713697656424,NA,59.004018261471,235159.007403423,75.4150730615174,465.23649899809,106889.82538698,37714.2573497082,555361.012405977,160.581266000043,356473.164638188,100.038672234094,NA,1696.45466365152,0,3.67392161048654,16.5967272752793,3.70240162012293,12.5732941616218,273428.440310589,18.3980880620691,486505.267221595,2.47776108614208,2.54184111423197,23689.9061058671,680.483324010701,5.63904247190957,2990400.71278087,NA,4.10112179775242,5.94141935904208,NA,435.031608047048,NA,18.374574825013,830.504076781084,0.768960337078578,88579.2675342365,106836.860792607,9.1861488547611,3.24672142322066,NA,NA,17.7857620959388,562.872751933431,107278.894893384,4272001.2745785,238676.74957645,8.18816804077222,5.8953625842691,51.2640224719052,3417600.90004675,223.859114960243,2.22144097378256,NA,26.9990518352034,44.4288194756512,82919.1362652745,137.658272181515,2.13600093632938,NA,NA,NA,575525.84021119,5980802.02364201,NA,18.4835280995223,34.7604845394403,24121341.319981,26.404427659012,1.26024055243434,10.0819244194747,10.2332652006418,200.814726686483,3.85416343427587,77.6894054854293,248.395548885744,7.9408092156908,6.75462804305315,586.716737190955,10.2955245131076,29.4768129213455,0.0170880074906351,1281602.80032661,6408002.21090789,NA,13.9633318164637,7.25878032014473,267195.712617535,NA,NA,1.3157765767789,10.4805414066954,386739.703482992,17632.2984987644,NA,19.5555995779656,NA,76896034.9040183,11.2140049157293,25307.9356371433,9.19904403530654,293259.433917122,NA,NA,97916.8034024438,178118.369730822,76.2929275636424,136599.57743928,118684.499706093,44.7990596351002,NA,NA,73245.5529106663,4.78464209737782,118.563299954075,319806.710603034,24.1581705898853,572457.06834814,486385.496186378,NA,395.711585882214,NA,NA,NA,2.22144097378256,NA,NA,118.196834189721,NA,0.153792067415715,986576.623826892,1993602.72510824,493288.476745727,NA,NA,NA,NA,13.670405992508,NA,11320804.3644655,6.04152298679729,141.676670104855,NA,NA,19384.6920930198,46671.6253462089,461.330190393768,640800.11001874,NA,NA,31477.6477184239,1547.43869432944
"Chelone.glabra",1.70880074906351,6884.54461788323,NA,2.90496127340796,534089.732521578,22784006.2309998,8543999.81507581,7048798.81788509,16.8103273689122,29.8185730711582,94.2061852958711,249.712749491627,18.5974481551558,NA,98.0766189924999,235155.333481813,71.7411514510309,NA,185134.933475057,65319.3308092656,555357.338484366,6.76603725246279,504123.305465607,236.117427178752,NA,1692.78074204104,3.67392161048654,0,12.9228056647928,0.0284800096363909,14.4441130021314,273424.766388978,14.7241664515825,842647.59695777,1.19616052434445,1.13208049625457,41014.2525427904,5.19541150755316,1.96512086142303,2990397.03885926,NA,0.427200187265877,0.153792067415716,NA,NA,NA,NA,2024.50168745299,2.90496127340796,88575.593612626,106833.186870996,3.2772357259728,0.427200187265876,NA,NA,13.4140858801485,63.1705051097144,185808.819470619,4271997.60065689,413394.501242548,3.75159437103088,2.22144097378256,47.5901008614186,3417597.22612514,1.18395480837,1.45248063670398,NA,23.3251302247169,40.7548978651646,82915.462343664,234.1057026217,1.53792067415716,NA,NA,NA,996836.322054242,5980798.3497204,NA,14.8096064890357,53.4213834175979,24121337.6460594,3.93024172284606,2.4136810580522,6.40800280898815,1.87968082396986,1.92240084269644,1.20022909348794,74.0154838749427,244.721627275257,2.89641726966264,NA,583.042815580468,6.62160290262109,25.8028913108589,3.69100961797717,1281599.126405,6407998.53698628,NA,2.71272118913832,2.54766656977759,534387.751217016,NA,NA,2.35814503370764,11.7622451589018,669849.141760565,17628.624577154,NA,25.5709826389923,NA,76896031.2300967,7.54008330524272,61987.8472127609,5.52512242482001,718331.738487775,NA,NA,97913.1294808333,178114.695809212,72.6190059531559,136595.903517669,118680.825784483,41.1251380246137,NA,NA,126856.505132503,1.11072048689128,200.391063842677,319803.036681423,20.4842489793988,572453.394426529,842440.717321163,NA,8.61662777715273,NA,NA,NA,1.45248063670398,NA,NA,282.770549185921,NA,3.52012954307082,1708797.16399953,1993599.05118662,854397.030408687,NA,NA,NA,NA,9.99648438202151,NA,11320800.6905439,NA,138.002748494369,NA,NA,47464.8509954426,114313.169347013,3.05448133895102,640796.436097129,NA,NA,31473.9737968135,1543.76477271895
"Cicuta.maculata",11.2140049157293,3511.73525897005,NA,15.8277669382007,377649.336192537,22783993.3081941,6041511.06996106,7048785.89507943,4488.94857558677,53.8430230217899,56.2233279112564,236.789943826834,5980.8227582534,NA,73.580472695716,117707.413041905,58.8183457862381,NA,185122.010669392,33450.8585602736,555344.415678701,53.5440639602652,252103.056182423,8385.95925852399,NA,6040.83746547328,16.5967272752793,12.9228056647928,0,12.8943256551564,3566.31946232127,273411.843583313,1.80136078678977,421379.809097434,14.1189661891372,14.0548861610473,19055.2301690071,7251.7439429751,1281.90534432698,2990384.1160536,NA,8.84893655333792,9.03410782119629,NA,10.2015404719091,NA,NA,2011.5788817882,15.8277669382007,51131.922598661,106820.264065331,2292.08405842627,2136.01210974776,NA,NA,8384.98178987391,8117.34584059555,83117.9909363587,4271984.67785123,206712.386596508,9.17121129376189,1993.63701676583,8544.02751097157,3417584.30331947,3929.09566850416,14.3752863014967,NA,10.4023245599241,27.8320922003719,58620.950876711,221.182896956908,14.4607263389499,NA,NA,NA,498426.529139715,2990395.7649108,NA,3417.60246992015,105.595754025096,24121324.7232537,16.8530473876388,15.336486722845,1708.81117221566,3673.93016728701,8380.59463675907,7256.11707438818,3631.33106462819,231.798821610465,8.84361603785465,14.1985807710448,570.120009915675,183.293555337129,2563.1356775921,53.8817781760835,1281586.20359934,6407985.61418061,NA,15.6355268539311,15.4704722345704,308521.455844056,5.05805021722798,NA,15.2809506985004,2.93154834171362,669836.2189549,12456.2806933299,NA,29.7703407838294,4932.91691789706,76896018.307291,7261.27522403511,43822.9502840422,7.39768323997276,321307.603105812,NA,NA,69225.9003633924,178101.773003547,66.06528453306,96578.7518561571,83910.8790895954,28.202332359821,NA,NA,56888.1101173693,11.8120851779015,5077.37386424373,159941.276033777,4634.42855641509,286235.857110677,421276.493683341,10112.4151457511,7245.07469576866,NA,NA,NA,14.3752863014967,NA,NA,4781.31689507601,NA,16.4429352078636,764198.446233454,1993586.12838096,427193.976243519,NA,NA,NA,NA,2.92632128277126,NA,11320787.7677382,NA,125.079942829576,NA,NA,22051.8587967982,57608.7833798563,2520.47636465478,640783.513291465,NA,NA,14684.2815615593,7302.2214349477
"Cinna.arundinacea",1.68032073942711,46897.8892432197,41857.0279327389,2.93344128304435,203575.423131597,9301531.58217262,3488073.30753017,2664465.719067,29.8299857592158,30.671036374845,70.472785944686,249.684269481991,18.5689681455194,30171.8855250767,73.0835280209123,91790.148567856,58.6868407109353,44647.513235566,75581.1010076535,26666.5641489477,226723.678906889,296.832367175733,205807.523078827,168.479896295843,NA,22937.190761989,3.70240162012293,0.0284800096363909,12.8943256551564,0,29.5659925094424,111607.2352055,14.6956864419462,389217.985531681,22928.8289373872,35118.9963859598,16746.6937705348,240.528867265762,43757.4481296174,1220824.46778844,NA,0.398720177629486,28.4557112291349,NA,216.07785471908,NA,NA,1431.54372054366,2.93344128304435,36160.8947333819,43614.4644701085,20.1593094064311,0.455680196902267,NA,NA,15.4282434039536,45.7523892015564,75856.1552271547,1744035.70581533,168767.622430129,137.693709380959,2.19296096414617,42.4963397132547,1395228.21381009,148.289655663699,35038.2334792871,NA,23.2966502150805,40.7264178555282,33850.1905296473,167.609993505426,1.56640068379355,NA,NA,31741.5166015071,406956.85197869,2441650.69155574,NA,14.7811264793993,583.138132635378,9117046.93002192,24542.9222918156,2.44216106768859,6.37952279935176,26.9186141709311,120.812443489306,216.805569215629,60.900515354818,244.693147265621,27.5636315108101,638.863640021396,583.014335570832,6.5931228929847,25.7744113012226,3.71948962761356,523210.64437682,2422318.08825508,NA,28.497403495864,27.6496923659678,218162.974784021,473.337807490591,NA,58.2229184179306,173.499588860576,273464.766820401,14966.7069709799,NA,31.6400809146457,157.590746344236,31392673.2815191,73.7977962274181,25306.4926384002,5.49664241518361,271508.682845044,NA,NA,39973.931924585,79655.3305721499,182.143190533271,55765.1687463966,48452.1105883032,41.0966580149773,NA,NA,51789.2254761468,1.08224047725489,141.843098959099,126934.15936669,40050.1696088231,219809.93710436,321629.053508081,NA,118.494045606365,NA,NA,NA,1.48096064634037,NA,NA,256.805687840132,NA,3.54860955270721,646330.810514524,754642.526521525,348806.11801476,NA,NA,NA,NA,9.96800437238512,NA,4278934.95820693,37.1664162921313,180.315873904514,NA,NA,19377.7677716918,46668.2495211666,474.098424568637,243281.141592053,NA,NA,49142.8512491428,1091.9115011593
"Circaea.lutetiana",12.7353122530679,58383.953440695,143071.836709879,17.3490742755393,233016.680151371,16110715.0950178,3021595.30701657,4984243.22981615,110009.570031212,58789.4905674132,51226.8826144033,235.268636489496,9547.11233686976,5.92740259831404,80032.7820640038,109742.874423549,40.5546384004171,5014455.03505305,82661.2787712161,52866.5536238273,392686.727093979,62727.5015281098,163800.342529185,39700.1559321743,NA,82470.3237202899,12.5732941616218,14.4441130021314,3566.31946232127,29.5659925094424,0,193330.313308871,2.36450099752035,223085.890424744,11.8269238930814,20.662821751417,171565.236801303,76754.9237951993,2043.74296513022,2114519.81111206,NA,26.5394467713585,196567.562331287,NA,78287.5565741209,202197.427630668,15.034039353604,693.087187890274,17.3490742755393,82859.1746926341,130446.80007351,1037495.39937575,5702.29728134868,NA,NA,5427.65272030487,45943.2911727131,64857.1440882233,3020748.25929594,105675.643835419,54064.1487384762,5559.87085825758,10831.7775247552,2416595.96048611,94882.6428265476,29.9431715160632,NA,8.8810172225855,26.3107848630333,126283.675640884,90.0596086218811,15.9820336762885,NA,NA,19.5978085908221,262529.383778636,1892314.13624772,NA,6983.87956194363,60409.5943917035,13926932.5853569,75635.5630009893,16.8577940601836,5275.11334369028,56402.2026187939,60378.6829957751,633295.008214836,60695.4764808347,101359.515651215,54133.2536233008,128608.524573176,568.598702578337,89650.8554326709,1003.33584319661,22.8729435955057,906217.219659611,4531129.00583995,NA,54164.0801459092,1780790.81309772,366132.568284811,71593.9160017372,NA,204995.935539698,50323.3793653097,273458.8708983,76802.9685781035,NA,165336.577333921,7838.26438549898,34389059.5160505,82604.5312168699,85944.164734572,8.91899057731136,245791.033824722,NA,NA,74053.4529046917,178100.25169621,72198.1196181012,73664.4660365241,77000.7953726745,26.6810250224824,202082.937980481,100221.811707563,54301.4159054144,13.3333925152401,46445.5684016841,143167.343162821,82191.8677137685,256069.644625302,243196.879245627,14230.3903929273,68531.4220464382,NA,NA,NA,99880.2521721588,NA,NA,54829.3491726736,NA,17.9642425452022,385026.921873097,1409677.19462482,1771596.64629008,NA,NA,NA,NA,4.44762862010985,NA,6537103.21184324,72282.0705693676,116754.194212787,NA,NA,46570.2677113005,61892.5288613425,33611.3555979136,453101.29180402,NA,NA,65113.59881147,42926.9222867223
"Clematis.virginiana",273423.057588229,100851.584692553,3662.86114123918,273427.671350252,99784.7590616436,9189906.40065144,3376448.12515776,2560854.12449655,193328.639966354,193319.439494896,193273.910913284,273175.053639486,273406.168940823,15348.1090352227,193271.174129922,24051.0466665205,193289.799019006,872.53948042869,36044.7665626625,84958.8186962177,115098.502435446,193335.865911891,94182.5615068357,193173.564376983,NA,104486.97598425,273428.440310589,273424.766388978,273411.843583313,111607.2352055,193330.313308871,0,273410.042222527,342016.202398443,105116.648099021,103583.698104017,94881.5866487649,193336.916057036,103356.792454497,1109199.28998753,NA,273424.339188791,193340.418414394,NA,129.783416891373,NA,NA,191908.980162873,273427.671350252,75464.382927129,68010.8227383408,193342.840798769,273425.193589165,NA,NA,193331.035125769,193295.844900935,35769.2739147616,1632410.52573005,57142.4256882161,193337.868874025,273422.544948004,193306.874751707,1283603.03658527,193339.68897067,103589.337111953,NA,273401.441258753,273384.011491113,77775.2952377338,193174.988509193,273426.304309652,NA,NA,13778.5210334177,295331.715303425,2330025.51450174,NA,273409.956782489,111809.359005542,9013677.54423625,104834.288226983,273427.180070036,273418.358386169,193341.855576157,193341.875044055,193341.417909632,193288.171911587,273180.044761703,193338.478640787,552.569202193689,272841.723573398,273418.144786075,273398.963497667,273428.457398596,411585.464177702,2320088.36826062,NA,193342.445333957,193342.328235105,106537.86462436,387.043369662884,NA,193342.173938918,193332.221899649,161839.582072147,100863.453389441,NA,193322.444617941,45365.9806750471,31281048.0998248,157857.530790074,86318.7776390926,273419.241266553,172973.948235996,NA,NA,71653.0153866588,42624.2628959434,193289.190532318,55860.4311919435,63174.5214801782,273383.641250953,NA,NA,59836.4176135582,273423.655668491,193198.816172734,17854.46466761,103358.340188485,113073.09198103,215092.060835797,NA,193334.422078899,NA,NA,NA,273426.218869615,NA,NA,193140.583454049,NA,273428.286518521,542805.216499999,650165.281294787,237180.945532444,NA,NA,NA,NA,273414.769904596,NA,4175549.79039558,123.460854119838,193242.945027871,NA,NA,92247.8195106092,64957.1587459238,193343.107565539,140176.598793983,NA,NA,91616.5217640953,192248.919905012
"Cryptotaenia.canadensis",13.015365702519,4857.95711783368,NA,17.6291277249905,534075.008355126,22783991.5068333,6041509.79650761,7048784.09371864,2.0861609173297,84.0534386899105,79.4820188442886,234.988583040045,3.87328170357329,NA,83.3524525409174,235140.609315361,57.0169849994483,NA,185120.209308606,65304.606642814,555342.614317915,7.95812919911975,504108.581299155,221.39326072717,NA,1678.05657558945,18.3980880620691,14.7241664515825,1.80136078678977,14.6956864419462,2.36450099752035,273410.042222527,0,842632.872791318,15.920326975927,15.8562469478371,28991.0445779255,9.52875494402938,12.7590455901595,2990382.31469281,NA,14.2969662643167,14.5703743841668,NA,NA,NA,NA,2009.77752100141,17.6291277249905,62622.0606735277,106818.462704545,18.0014021775553,15.1513666388484,NA,NA,1.31008057143402,48.4463386581318,185794.095304168,4271982.87649044,413379.777076096,10.9725720805517,12.5027254778,32.8659344098361,3417582.50195869,9.70237422858417,16.1766470882865,NA,8.60096377313432,26.0307314135821,82900.7381772124,219.381536170118,16.2620871257397,NA,NA,NA,996821.597887791,4229052.65844342,NA,0.0854400374531773,114.922245944627,24121322.9218929,18.6544081744286,17.1378475096347,8.3161636425944,16.6038472755524,16.646567294279,15.9243955450705,59.2913174233602,229.997460823675,11.8277491819199,NA,568.318649128886,8.10256354896146,11.0787248592764,18.4151760695597,1281584.40223855,6407983.81281982,NA,17.4368876407209,17.2718330213601,534373.027050565,NA,NA,17.0823114852902,2.96192129268074,669834.417594113,17613.9004107024,NA,10.8468161874098,NA,76896016.5059303,7.18408314633982,61973.1230463093,9.19904402676254,507926.831909997,NA,NA,97898.4053143817,178099.97164276,57.8948395015734,136581.179351218,118666.101618031,26.4009715730312,NA,NA,89690.6835502147,13.6134459646913,185.666897391095,319788.312514972,5.76008252781624,572438.670260078,842425.993154711,NA,4.46863114721141,NA,NA,NA,16.1766470882865,NA,NA,268.046382734338,NA,18.2442959946534,1708782.43983308,1993584.32702017,854382.306242236,NA,NA,NA,NA,4.72768206956103,NA,11320785.9663774,NA,123.278582042786,NA,NA,33552.3068419284,80821.205853245,12.6414697970577,640781.711930678,NA,NA,31459.2496303619,1529.04060626737
"Cynodon.dactylon",842645.888157021,284144.580721249,262480.002591253,842650.501919043,220099.120070462,8957522.15393892,2322045.09756608,2360254.85994212,212042.792467934,239660.351738179,240924.81471467,842397.884208278,421522.367322473,271825.703252824,247921.799631871,247385.14427194,595791.106779396,4018708.60824062,187866.345350075,176848.400224156,117285.883889181,269279.687562876,87421.9944884728,225259.148975645,NA,321046.910304029,486505.267221595,842647.59695777,421379.809097434,389217.985531681,223085.890424744,342016.202398443,842632.872791318,0,402834.973283694,410412.550511501,182218.869025982,193448.489477257,347999.068482211,876815.046302594,NA,595841.538858966,255535.135646466,NA,49577.655639774,84.0986288651605,436.499006868241,317725.92104516,842650.501919043,238462.516690025,278114.333115202,916730.732066764,421428.67004788,NA,NA,272702.981898535,213619.460275333,153538.254774839,1400026.28418343,116839.035426268,212332.365365173,421424.195038165,377087.061680129,1051218.79013575,211641.970090067,410361.720192485,NA,842624.271827545,842606.842059904,287151.783377592,343914.106833889,842649.134878444,NA,NA,273395.334938929,77801.3786862583,1425082.28130047,NA,421451.560145873,274971.547766382,8233585.32313186,270090.321553014,842650.010638828,421415.950792934,235058.78262035,227871.163434242,544151.868274743,233769.489219536,421201.671805607,243251.952270715,114089.434677935,842064.554142189,376843.354706147,421337.031764313,595844.449810026,179201.310311881,2111555.77590223,NA,249830.062010926,1705927.1148107,199803.242556496,1319.3868755361,NA,263878.610522542,210661.94017598,54644.7475546597,313136.26574715,NA,249554.333050098,197584.375349285,25351127.9186468,318488.017522199,225357.488312565,842642.071835345,143382.851841734,NA,NA,187445.42269312,297188.182373637,291759.580112631,175668.719852661,186934.552345673,842606.471819745,198.588279052415,1645.94330582479,159048.349874957,842646.486237283,198573.952733306,274978.075387818,329889.959720011,235731.828117557,183830.56962282,18490.1367625578,207427.151382772,NA,NA,NA,421328.868735232,NA,NA,196770.885777191,NA,842651.117087313,223043.85133762,509411.363860481,1607001.80475447,NA,NA,NA,NA,842637.600473388,NA,3711900.17205006,30743.7152209929,486423.149055458,NA,NA,171344.658543379,152742.869026757,201202.348681624,258185.739791336,NA,NA,279789.425262047,260088.341039521
"Cyperus.compressus",2.90496127340796,24040.4061390399,17093.7290083357,1.70880074906351,201895.966587547,9301532.08404746,3488073.8157761,2664238.31093934,13.2892307198348,21.9673962954193,67.4615243395833,250.908910015972,19.7936086795003,5408.31978298251,70.1978537092631,88880.8375033431,51.9201250874515,19884.0237691397,75581.5341350465,26667.2739287391,226724.287087742,320.405541493012,205807.993588349,167.808128296307,NA,665.397309767952,2.47776108614208,1.19616052434445,14.1189661891372,22928.8289373872,11.8269238930814,105116.648099021,15.920326975927,402834.973283694,0,12192.558815035,16748.4896878006,264.101730615528,20829.5493231069,1220824.98039432,NA,1.62336071161033,4.98586361626549,NA,249.399469325819,NA,NA,1432.4643139185,1.70880074906351,36162.1565562372,43615.2501459986,3.8323845975463,0.768960337078578,NA,NA,15.3685758018235,56.5450696188856,75856.79621577,1744036.21642536,168768.296321049,161.268433359168,3.41760149812701,34.5816374684601,1395228.72244047,171.857585385073,12111.3123589696,NA,24.5212907490613,41.9510583895091,33850.7338658329,166.407771002438,0.341760149812701,NA,NA,6977.55267139441,406957.378911901,2441651.192323,NA,16.0057670133802,23510.3586274103,9117009.79236632,1622.91860135639,1.21752053370775,7.6041633333326,3.35780434212597,144.367420509857,240.365767998814,76.3180655324964,245.917787799602,4.87809865623892,672.185254628135,584.238976104813,7.81776342696554,26.9990518352034,2.49484909363272,523211.19021276,2422801.03985984,NA,4.98615003033403,4.13950559051025,218163.564044839,506.65942209733,NA,81.7645237415118,197.076156222476,273465.364671366,11626.765254561,NA,19.0808798686875,24612.6351071287,31392673.7820149,117.549212327221,25307.9678803437,6.72128294916446,272339.7309923,NA,NA,39974.3170869069,79655.9685402478,205.076512627021,55765.7247651513,48452.9922552438,42.3212985489582,NA,NA,51790.1793846018,2.30688101123573,145.751198060598,121906.100075673,17122.631678947,216945.405033805,319203.215810091,NA,142.069815091912,NA,NA,NA,0.256320112359526,NA,NA,272.848969537796,NA,2.32396901872637,645867.193076675,753734.87377751,348806.680641717,NA,NA,NA,NA,11.192644906366,NA,4278861.5539226,3.84480168539289,200.959369366049,NA,NA,19379.1434671646,46669.0107021651,497.657087040112,242198.837661753,NA,NA,27463.7722892119,1092.4566976654
"Cyperus.strigosus",2.84088124531808,11993.3225182933,3924.54479547204,1.77288077715339,202059.090599205,9301532.05602447,3488073.78052695,2664197.4572605,21.2906047354226,24.9702849027599,68.6164892796578,250.844829987882,19.7295286514104,7761.52014483954,71.3180340638488,89713.0449073181,55.0152853052807,6715.09648461462,75581.6716187144,26667.1915921251,226724.146877877,307.11550455769,205808.038019424,168.222491304787,NA,12207.6029334495,2.54184111423197,1.13208049625457,14.0548861610473,35118.9963859598,20.662821751417,103583.698104017,15.8562469478371,410412.550511501,12192.558815035,0,16747.3082059832,250.811617097423,8638.97932142992,1220824.94277463,NA,1.55928068352045,18.2077012312098,NA,230.60266108612,NA,NA,1432.34052024235,1.77288077715339,36161.305351847,43614.9918484062,9.86999827022718,0.704880308988696,NA,NA,10.4621038525525,49.779012481042,75856.6685979695,1744036.17990768,168768.082440163,147.979427463688,3.35352147003713,37.863775275651,1395228.68929079,158.566451134303,87.4244613989292,NA,24.4572107209714,41.8869783614192,33850.8237421206,167.118557177607,0.405840177902583,NA,NA,6192.03066179962,406957.340540249,2441651.16763116,NA,15.9416869852903,35700.2595240926,9117013.25364755,10576.1914561461,1.28160056179763,7.54008330524272,16.6225961607987,131.076347905794,227.074422523759,67.3888241139554,245.853707771512,17.4523822764974,653.388446388436,584.174896076723,7.75368339887566,26.9349718071135,2.5589291217226,523211.115434444,2423145.84234208,NA,18.1951786608431,17.3479344858234,218163.458457325,487.862613857631,NA,68.4745332400977,183.797965248668,273465.232407962,22716.6077636431,NA,24.5614899874273,37779.3703212536,31392673.7553447,77.1551174042699,25306.9167427351,6.65720292107458,273563.756002736,NA,NA,39974.6512480692,79655.9100941276,192.240332238691,55765.7507860916,48452.6510299184,42.2572185208683,NA,NA,51789.7091589121,2.24280098314585,143.522830033918,120929.205835867,4931.68895320573,216397.9796241,318578.127458766,NA,128.793528989717,NA,NA,NA,0.320400140449407,NA,NA,263.996588682936,NA,2.38804904681625,645951.683618048,753535.69080978,348806.590328178,NA,NA,NA,NA,11.1285648782761,NA,4278872.27592425,22.6416099250915,189.459785493189,NA,NA,19378.3476758214,46668.7941174821,484.365909117916,242505.324590975,NA,NA,17302.1253774453,1092.52972645467
"Dactylis.glomerata",41012.5437420413,6445.57768443368,332.80495135963,41017.1575040638,142339.816709347,9284787.60015461,2062277.2225441,2860916.08625506,92897.5271585711,140867.097108288,176504.545636731,40764.5397932987,23640.2982099981,345.9223467567,176565.050610096,52248.9571683646,28955.8303561639,4030077.80199795,205127.686572505,105387.815435,209979.905956553,220296.333042037,109159.110194141,185822.739066759,NA,11840.8056442532,23689.9061058671,41014.2525427904,19055.2301690071,16746.6937705348,171565.236801303,94881.5866487649,28991.0445779255,182218.869025982,16748.4896878006,16747.3082059832,0,87491.5952235179,14000.249678333,1204080.52016378,NA,29001.2646712197,11219.0271111701,NA,49567.8348577632,92.0477852284429,406.376814919632,13026.8204350251,41017.1575040638,12314.0456770933,20836.9086649837,676325.552823753,21988.0580695949,NA,NA,52077.0493909338,151387.517928032,137618.14247355,1727291.74421978,174615.680017854,164596.434184396,21935.8415696864,22367.0951425329,1378484.26051985,75152.1678267393,16747.276474257,NA,40990.9274125657,40973.4976449252,14817.3190839048,16682.9509635364,41015.7904634645,NA,NA,339.631689157956,248090.165009672,1533655.42806064,NA,22475.2430368634,8576.37913837958,7614866.89648527,162984.954565422,41016.6662238484,19529.259577403,193006.516475898,133490.194802179,304272.316472185,10965.340306442,16652.4933343311,10635.1340268075,94444.0719496016,40431.2097272099,11867.5923564931,20747.7654606991,23681.9001500371,506466.748244431,2599310.46741093,NA,191396.652743837,1545316.6140156,108592.517520489,766.720506302863,NA,63334.4937157432,7645.59726057556,198855.487882736,228068.758150501,NA,56058.1286471967,7124.40684550808,20540367.3137984,10620.240906316,5837.27488247805,41008.7274203656,110926.502716773,NA,NA,151756.137970702,61313.2679973229,166361.148539394,160974.223365566,17859.8482183833,40973.1274047658,22.441864958812,1173.2507221973,121370.551199282,41013.1418223035,7082.47411472867,93151.9308919499,10979.3641146149,177243.378263891,200359.035594286,16805.4609351257,120249.031899963,NA,NA,NA,13719.2224692013,NA,NA,117371.351251222,NA,41017.7726723334,311407.037333022,797139.467061668,1447560.96518418,NA,NA,NA,NA,41004.2560584083,NA,4263358.5475373,30737.5974973636,23601.8681811195,NA,NA,121686.164383499,99613.4887830378,123322.133727263,244860.255325047,NA,NA,5807.79367355102,165193.779815747
