,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per plant dry mass
quercus_velutina,NA,34,NA,NA,3.43,12.29,1091.63,NA,0.84,8.81,66.6,79.18,NA,NA,40,1584.4,NA,NA,0.67,126,NA
rhamnus_alnifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13109.58,NA,NA,NA,NA,NA
rhus_typhina,NA,NA,NA,NA,2.58,8.24,2233.33,NA,1.26,NA,163.38,NA,NA,NA,NA,10.81,NA,NA,0.45,NA,NA
robinia_pseudoacacia,NA,NA,NA,NA,15.71,17.71,1140.95,NA,1.14,16.09,102.8,162.15,NA,NA,36,1863.99,NA,43.2,0.68,297,NA
rosa_palustris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4.18,NA,NA,NA,NA,NA
rubus_allegheniensis,NA,NA,NA,NA,2.18,8.38,2600,NA,NA,NA,NA,NA,NA,NA,12,37430.61,NA,NA,NA,NA,NA
rubus_hispidus,NA,NA,NA,NA,1.97,15.78,615.2,NA,1.15,NA,144.47,151.75,NA,NA,12,2.9,NA,NA,NA,NA,NA
rubus_idaeus,246.13,24.65,59.91,NA,7.06,12.76,1912.58,NA,NA,NA,132.24,295.22,NA,NA,12,18711.61,2581.49,7.4,NA,NA,40.09
rubus_occidentalis,NA,NA,NA,NA,1.57,6.54,2400,NA,NA,NA,NA,NA,NA,NA,12,67001.1,NA,NA,NA,NA,NA
rubus_odoratus,NA,NA,NA,NA,2.8,20,0.14,NA,NA,NA,NA,NA,NA,NA,16,98600.73,NA,NA,NA,NA,NA
salix_nigra,NA,NA,NA,NA,2.48,15.34,1333.42,NA,1.03,NA,179,NA,NA,NA,32,625000.05,NA,NA,0.41,NA,NA
spiraea_alba,NA,NA,NA,NA,1.89,16.48,687.82,NA,0.72,NA,67.71,147.25,NA,NA,12,1000000,NA,NA,NA,NA,NA
thuja_occidentalis,NA,48.6,0.64,NA,11.92,9.53,771.8,NA,0.58,7.09,76.65,12.16,0.04,17.6,30,49372.56,NA,NA,175.16,163,NA
tilia_americana,NA,NA,NA,NA,18.86,8.5,2299.86,NA,1.33,9.69,64.24,NA,NA,NA,35,886.91,NA,NA,0.4,NA,NA
tsuga_canadensis,NA,NA,0.66,NA,2.29,9.37,1525,NA,NA,2.18,83.95,29.28,0.21,NA,28,31202.21,NA,NA,0.43,141,NA
ulmus_americana,NA,25.9,NA,NA,6.21,10,1878.16,451.7,0.81,NA,80.5,67.04,NA,NA,42,6186.73,NA,NA,225.28,454,NA
ulmus_rubra,NA,NA,NA,NA,2.18,10.49,1983.18,NA,1.28,NA,68.94,NA,NA,NA,40,8208.86,NA,NA,0.57,NA,NA
viburnum_acerifolium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2642.08,NA,18.1,NA,NA,NA
viburnum_dentatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115387.77,NA,16.9,NA,NA,NA
viburnum_lantanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11500,NA,NA,NA,NA,NA
