Species,Dispersal unit dry mass,Dispersal unit length,Dispersal unit thickness,Dispersal unit width,Germination efficiency,Germination requirement,Leaf area,Leaf carbon (C) content per area,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf density,Leaf dry mass,Leaf dry mass per plant,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf dry matter content (LDMC),Leaf fresh mass,Leaf lamina thickness,Leaf lifespan,Leaf nitrogen (N) content,Leaf nitrogen (N) content per area,Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per area,Leaf phosphorus (P) content per dry mass,Leaf physical strength,Leaf porosity,Leaf potassium (K) content per area,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Leaf texture (sclerophylly),Leaf thickness,Metamorphoses and morphological adaptations: seed or dispersal unit,Mycorrhizal type,Nitrogen fixation capacity,Phenology: reproductive,Phenology: vegetative,Photosynthesis leaf intercellular CO2 concentration,Photosynthesis net assimilytion rate (NAR),Photosynthesis per leaf area,Photosynthesis per leaf dry mass,Plant age of maturity (first flowering),Plant growth form,Plant height generative,Plant height vegetative,Plant lifespan,Plant relative growth rate (RGR),Plant tolerance to drought,Plant tolerance to frost,Plant tolerance to human impact,Plant tolerance to planting density,Plant tolerance to precipitation,Plant tolerance to shade,Plant tolerance to soil pH,Plant tolerance to waterlogging,Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Rooting depth,Seed length,Seed mass,Seed number per ramet,Seed number per reproducton unit,Seed protein content per mass,Seed thickness,Seed width,Species distribution: number of floristic zones,Stem dry mass per plant,Stem length (height),Stem nitrogen (N) content per dry mass,Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass,Woodiness
Didiplis.diandra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria.cognata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria.sanguinalis,0.97,2.656666667,0.61,0.98,NA,NA,294.0333333,NA,NA,NA,NA,8.62,NA,NA,171.2566667,NA,NA,NA,NA,NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,46.908,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,0.38,0.19,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.518,NA,90411.66667,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
Dryopteris.camyloptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dryopteris.carthusiana,NA,NA,NA,NA,NA,NA,18468,NA,NA,NA,NA,232.0125,NA,NA,266.792,NA,NA,NA,NA,NA,2.404,NA,NA,NA,NA,NA,NA,NA,NA,26.86166667,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,0.38,30.19,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
Dryopteris.marginalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinochloa.muricata,1.44,3.285,1.105,1.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
Echinocystis.lobata,NA,47.5,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,17.3,237.45,NA,NA,NA,2.89,8.15,3,NA,NA,NA,NA,NA,NA,NA
Eleocharis.intermedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elymus.canadensis,NA,NA,NA,NA,NA,NA,12.01,NA,45.82,NA,NA,NA,NA,0.421666667,NA,NA,NA,NA,NA,NA,32.94,NA,NA,NA,NA,NA,NA,NA,23.805,301.3457143,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3,NA,0.156666667,NA,29,NA,NA,32.5,NA,6.45,NA,NA,16.685,16,NA,10367.48909,NA,NA,21.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elymus.virginicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404.5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2.5,NA,0.145,NA,53.5,NA,NA,45.5,NA,6,NA,NA,NA,16,NA,12504.37875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epilobium.hirsutum,NA,NA,NA,NA,NA,NA,1893.973333,NA,NA,NA,NA,113.63,NA,0.83,208,NA,0.185,0.41,NA,NA,3.164285714,15.04,NA,1100.194286,1.385,NA,NA,NA,NA,52.85777778,NA,NA,NA,NA,NA,7.5,NA,NA,0,NA,NA,NA,NA,1.15,1.585714286,NA,0.266,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2.515,0.116428571,NA,455223.385,25.2,0.35,0.44,6,NA,NA,NA,NA,NA,NA,NA
Eupatorium.purpureum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,6.82,NA,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurybia.divaricata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eutrochium.purpureum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fallopia.japonica,NA,3.5,NA,2,NA,NA,NA,NA,45.63333333,22.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,0.186666667,NA,23,NA,NA,NA,21492.92333,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2.883333333,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07,NA,NA,NA,NA,NA,2,NA,NA,NA,0.216666667,NA,NA,NA
Fragaria.vesca,0.34,6.135,0.61,4.89,NA,NA,1208.1475,NA,477,34.49,NA,112.2333333,NA,NA,508.7,NA,NA,NA,1.42,0.6,7.691666667,5.105,NA,3600.105714,NA,NA,NA,NA,NA,42.18555556,NA,NA,NA,NA,NA,121.8333333,NA,NA,NA,NA,NA,NA,NA,0.148333333,6.55375,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.893548387,NA,7744.30875,NA,NA,NA,4,NA,NA,NA,0.27,NA,NA,NA
Galium.aparine,8.34,3.2,2.28,2.63,NA,NA,97.412,NA,NA,NA,NA,5.595,NA,0.62,140,NA,0.175,0.21,NA,NA,2.986,11.16333333,NA,1140.2,0.64,NA,NA,NA,NA,59.39918919,NA,NA,NA,NA,NA,8,NA,292,0,2.4,NA,NA,NA,0.866666667,19.143,NA,0.125,NA,56,5,NA,34.5,NA,6.3,NA,NA,NA,4,NA,21747.77739,NA,2992.466316,12.7,NA,NA,3,NA,NA,NA,NA,113.3333333,NA,NA
Galium.asprellum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,43.5,NA,NA,40,NA,6,NA,NA,NA,14,NA,5.00E+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galium.boreale,0.61,1.95,0.88,0.98,NA,NA,16.5845,NA,197.5363158,NA,NA,3.435714286,NA,NA,312.2671429,NA,NA,NA,0.2,1.4,16.08545455,9.06,NA,1000.712,NA,NA,NA,NA,NA,30.23166667,NA,NA,NA,NA,NA,161.5454545,NA,NA,NA,NA,NA,NA,NA,18.36,24.39764706,NA,NA,NA,26,2,NA,37.5,NA,6.1,NA,NA,NA,6,NA,48384.66667,NA,91,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
Galium.palustre,0.91,1.7,NA,1.5,NA,NA,9.732857143,NA,NA,NA,NA,0.211428571,0.028,28.24285714,117.1041176,0.004,0.09,NA,NA,NA,NA,NA,NA,NA,3.48,NA,NA,NA,NA,129.1442308,NA,NA,NA,NA,NA,7,NA,NA,0,NA,NA,NA,NA,4.426,27.68705882,NA,0.18,NA,NA,2,NA,NA,NA,NA,NA,0,NA,NA,NA,0.939090909,NA,249.1,NA,NA,NA,4,0.044,NA,NA,NA,NA,59.522,NA
Galium.triflorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.941666667,9.526666667,NA,2166.666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geranium.maculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,4.78,NA,3700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geum.laciniatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,53.5,NA,NA,45.5,NA,6,NA,NA,NA,12,NA,4.00E+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glechoma.hederacea,0.69,NA,NA,NA,NA,NA,356.11,NA,42.81,15.6275,NA,15.85,NA,0.53,160,NA,NA,NA,0.3,1.14,7.46125,8.326363636,NA,2619.708667,NA,14,NA,NA,NA,2495.267143,NA,NA,NA,NA,NA,53.33333333,NA,219,0,6.1,NA,NA,NA,0.2,29.44470588,NA,0.23,NA,NA,3,NA,NA,NA,NA,NA,NA,1.52,NA,NA,0.638571429,NA,46341,NA,NA,NA,4,NA,NA,1.58,0.15,113.8571429,NA,NA
Glyceria.borealis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,43.5,NA,4150,39,NA,6.75,NA,NA,NA,14,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halenia.deflexa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helianthus.giganteus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helianthus.strumosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heliopsis.helianthoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,71,NA,NA,32,NA,6.2,NA,NA,NA,10,NA,9705.020833,NA,NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemerocallis.fulva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,1.05,0.53,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
Hieracium.paniculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle.americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylotelephium.telephium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypericum.mutilum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,58.5,NA,5900,42.5,NA,6,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Impatiens.capensis,NA,NA,NA,NA,NA,NA,26.63857143,NA,49.006,12.328,NA,1.424285714,1.39,12.486,0.24,0.68,NA,NA,NA,NA,3.706666667,8,NA,2600,NA,NA,NA,NA,NA,426.4333333,NA,0.09,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,99.96470588,NA,NA,NA,63.5,4,NA,32,NA,6.9,NA,0.114,NA,14,NA,116671.3667,NA,4,NA,NA,NA,3,7.264,NA,NA,NA,NA,86.112,NA
Impatiens.pallida,NA,NA,NA,NA,NA,NA,15.801,NA,NA,NA,0.415,0.02,NA,NA,0.783,NA,NA,NA,NA,NA,1.3,4.81,NA,2700,NA,NA,NA,NA,NA,807.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,71,NA,NA,39,NA,7.1,NA,NA,2.31,14,NA,7.00E+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactuca.canadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laportea.canadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,7.08,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.233333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leersia.oryzoides,NA,4,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.295,NA,NA,NA,NA,NA,49.68,18.03333333,NA,NA,NA,NA,NA,NA,NA,40.79,256.94,NA,NA,NA,NA,NA,9,NA,336,0,6.52,234.4,NA,NA,1,4.9,NA,0.1925,NA,38.5,3,15180,31,NA,6.95,NA,NA,19.735,14,NA,6.7525,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,150,NA,NA
Lobelia.cardinalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5.9,NA,0.07,NA,48,NA,6820,44,NA,6.8,NA,NA,NA,12,NA,2823189.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludwigia.palustris,NA,NA,NA,NA,NA,NA,254.915,NA,NA,NA,NA,7.370833333,NA,NA,205.1233333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.76166667,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,0.02,0.12,NA,NA,NA,48,2,7400,42.5,NA,6.75,NA,NA,NA,10,7.2,0.04,NA,18789.41667,NA,NA,3.2,4,NA,NA,NA,NA,NA,NA,NA
Lycopus.uniflorus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lysimachia.ciliata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,5.95,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lysimachia.nummularia,NA,NA,NA,NA,NA,NA,273.288,NA,NA,NA,NA,9.35,NA,NA,223.0642857,NA,NA,NA,NA,NA,1.71,6.68,NA,2560,NA,NA,NA,NA,NA,30.86333333,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,0.3,0.45,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0.28,NA,8156.67,NA,0.65,1.25,2,NA,NA,NA,NA,NA,NA,NA
Lysimachia.vulgaris,NA,NA,NA,NA,NA,NA,1732.376667,NA,243.5925,20.146,NA,92.434,NA,0.66,237.8045455,NA,NA,NA,NA,3.58,15.598,NA,NA,1.1375,NA,12,NA,NA,NA,4004.168889,NA,NA,NA,NA,NA,65.53,NA,NA,0,NA,NA,NA,NA,20.68428571,24.89571429,NA,0.22,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.44,0.275,NA,22938.65,NA,0.7,1.27,4,NA,NA,NA,0.232,NA,NA,NA
Lythrum.salicaria,NA,NA,NA,NA,NA,NA,260.4545833,NA,43.862,21.78125,0.559,10.40809524,4.492,27.33857143,44.40857143,0.488,0.37,NA,NA,83.27,7.37,NA,NA,1.5,0.525,NA,NA,NA,NA,128.9616129,NA,0.15,NA,NA,NA,8,NA,352,0,8.21,99.3,NA,NA,0.85,40.785625,NA,0.2275,NA,NA,2,NA,NA,NA,NA,NA,0.61,NA,NA,1.03,0.35952381,NA,297033.595,16.3,0.29,0.4,6,6.096,NA,NA,0.29,150,56.324,NA
Maianthemum.canadense,NA,NA,NA,NA,NA,NA,14.5725,NA,44.15666667,30.264,NA,4.524285714,0.188,59.008,0.418333333,0.188,NA,NA,NA,NA,1.705555556,7.5075,NA,2550,NA,NA,NA,NA,NA,272.8628571,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082,NA,NA,NA,9.162857143,NA,NA,NA,NA,NA,NA,0.046,NA,NA,NA,NA,15.748,NA
Maianthemum.racemosum,NA,NA,NA,NA,NA,NA,17.06333333,NA,NA,NA,NA,0.076666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.35666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.666666667,169.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marrubium.vulgare,1.18,2.19,0.73,1.14,NA,NA,429.815,NA,NA,NA,NA,25.705,NA,NA,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3625,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0.45,0.35,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.839,NA,NA,22.925,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
Matteuccia.struthiopteris,NA,NA,NA,NA,NA,NA,48201.68,NA,46.99666667,16.67,NA,2439.606316,5.828,59.794,106.6991667,2054.41,NA,NA,12.14,1.21,2.871818182,NA,NA,NA,NA,NA,NA,9.85,NA,96.354,NA,0.2,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,0.9,79.67333333,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.016,NA,NA,NA,NA,40.206,NA
Menispermum.canadense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mimulus.ringens,NA,NA,NA,NA,81,NA,6.19,NA,NA,NA,NA,NA,NA,0.71,0.2,NA,NA,NA,NA,NA,31.54,NA,NA,NA,NA,NA,NA,NA,NA,311.3685714,NA,0.16,NA,NA,NA,NA,NA,290.36,0,13.69,NA,NA,NA,NA,NA,NA,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA
Mitchella.repens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,11.03333333,NA,1100.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
