Species,Dispersal unit dry mass,Dispersal unit length,Dispersal unit thickness,Dispersal unit width,Germination efficiency,Germination requirement,Leaf area,Leaf carbon (C) content per area,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf density,Leaf dry mass,Leaf dry mass per plant,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf dry matter content (LDMC),Leaf fresh mass,Leaf lamina thickness,Leaf lifespan,Leaf nitrogen (N) content,Leaf nitrogen (N) content per area,Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per area,Leaf phosphorus (P) content per dry mass,Leaf physical strength,Leaf porosity,Leaf potassium (K) content per area,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Leaf texture (sclerophylly),Leaf thickness,Metamorphoses and morphological adaptations: seed or dispersal unit,Mycorrhizal type,Nitrogen fixation capacity,Phenology: reproductive,Phenology: vegetative,Photosynthesis leaf intercellular CO2 concentration,Photosynthesis net assimilytion rate (NAR),Photosynthesis per leaf area,Photosynthesis per leaf dry mass,Plant age of maturity (first flowering),Plant growth form,Plant height generative,Plant height vegetative,Plant lifespan,Plant relative growth rate (RGR),Plant tolerance to drought,Plant tolerance to frost,Plant tolerance to human impact,Plant tolerance to planting density,Plant tolerance to precipitation,Plant tolerance to shade,Plant tolerance to soil pH,Plant tolerance to waterlogging,Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Rooting depth,Seed length,Seed mass,Seed number per ramet,Seed number per reproducton unit,Seed protein content per mass,Seed thickness,Seed width,Species distribution: number of floristic zones,Stem dry mass per plant,Stem length (height),Stem nitrogen (N) content per dry mass,Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass,Woodiness
Ambrosia.trifida,17.12,6.75,3.55,4.79,NA,NA,5504.723333,NA,NA,NA,NA,214.2666667,NA,NA,189.4116667,NA,NA,NA,NA,2.48,4.41,NA,NA,NA,NA,NA,NA,NA,NA,41.88222222,NA,NA,NA,NA,NA,9,NA,NA,NA,21.8,392,NA,NA,1.19,1.083333333,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.526,NA,409.055,18.4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
Amphicarpaea.bracteata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.72666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemone.canadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,3.55,NA,3100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.676666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apios.americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,58.5,NA,6350,41.5,NA,6.75,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctium.lappa,12.13,19.58,1.53,17.55,NA,NA,26087.22444,NA,NA,NA,NA,1564.205333,NA,NA,194.3322222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.33111111,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,1.0775,1.073333333,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.979,NA,14196.66714,16.8,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
Arisaema.triphyllum,NA,NA,NA,NA,NA,NA,62.465,NA,NA,NA,NA,164.375,NA,NA,NA,NA,NA,NA,NA,1.67,20.23285714,7.0975,NA,3025,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,78.5,NA,7900,42,NA,5.9,NA,NA,NA,8,NA,27523.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA
Asarum.canadense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.896666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athyrium.filix.femina,NA,NA,NA,NA,NA,NA,67730,NA,NA,NA,NA,5603.08,NA,NA,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.66666667,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,0.65,22.88333333,NA,NA,NA,21,2,2200,45,NA,5.75,NA,NA,NA,12,NA,NA,NA,1856092.5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
Bidens.connata,NA,NA,NA,NA,NA,NA,1020.833333,NA,NA,NA,NA,20.56,NA,NA,114.8666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.67333333,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,0.58,1.865,NA,NA,NA,81,3,NA,43.5,NA,6.15,NA,NA,NA,8,NA,21668.905,NA,1076.91,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Bidens.frondosa,3.3,9.356666667,1.08,2.41,NA,NA,4266.033333,NA,45.39,18.15,NA,115.7083333,NA,0.43,177.065,NA,NA,NA,NA,73.49,2.073333333,NA,NA,0.26,NA,22,NA,NA,NA,5972.148333,NA,NA,NA,NA,NA,8.5,NA,348,0,5.46,89.2,NA,NA,0.716666667,1.4875,NA,0.24,NA,63.5,4,NA,42,NA,6.2,NA,NA,NA,8,NA,7645.549412,NA,22084.835,33.8,NA,NA,2,NA,NA,NA,0.16,120,NA,NA
