Trait,Abies balsamea,Acer negundo,Acer pensylvanicum,Acer rubrum,Acer saccharinum,Acer saccharum,Acer spicatum,Achillea millefolium,Ageratina altissima,Agrimonia gryposepala,Agrostis perennans,Alliaria petiolata,Alnus incana,Ambrosia artemisiifolia,Ambrosia trifida,Amphicarpaea bracteata,Anemone virginiana,Apocynum cannabinum,Arctium lappa,Arisaema triphyllum,Artemisia vulgaris,Asclepias syriaca,Athyrium filix-femina,Barbarea vulgaris,Berberis thunbergii,Betula alleghaniensis,Betula papyrifera,Bidens connata,Bidens frondosa,Blephilia hirsuta,Boehmeria cylindrica,Brassica nigra,Bromus ciliatus,Bromus inermis,Bromus pubescens,Calystegia sepium,Carex crinita,Carex scoparia,Carpinus caroliniana,Carya cordiformis,Carya ovata,Centaurea jacea,Centaurea nigrescens,Centaurea stoebe,Cephalanthus occidentalis,Chelidonium majus,Chelone glabra,Cicuta maculata,Cinna arundinacea,Circaea lutetiana,Clematis virginiana,Clinopodium vulgare,Collinsonia canadensis,Commelina communis,Cornus amomum,Cornus canadensis,Cornus rugosa,Cornus sericea,Corylus cornuta,Cryptotaenia canadensis,Cyperus strigosus,Dactylis glomerata,Daucus carota,Dianthus armeria,Dichanthelium clandestinum,Digitaria sanguinalis,Dioscorea villosa,Dryopteris carthusiana,Dryopteris cristata,Echinocystis lobata,Eleocharis intermedia,Elymus hystrix,Elymus repens,Elymus trachycaulus,Elymus virginicus,Epilobium ciliatum,Epipactis helleborine,Equisetum fluviatile,Equisetum hyemale,Equisetum palustre,Equisetum pratense,Erigeron annuus,Euonymus alatus,Eupatorium perfoliatum,Euphorbia maculata,Euthamia graminifolia,Fagus grandifolia,Fragaria vesca,Fraxinus americana,Fraxinus nigra,Fraxinus pennsylvanica,Galium aparine,Galium asprellum,Galium boreale,Galium mollugo,Galium palustre,Galium triflorum,Geum canadense,Glechoma hederacea,Glyceria striata,Hamamelis virginiana,Helianthus strumosus,Helianthus tuberosus,Hemerocallis fulva,Hypericum mutilum,Hypericum perforatum,Hypericum punctatum,Impatiens capensis,Impatiens pallida,Juglans cinerea,Juglans nigra,Juncus articulatus,Juncus filiformis,Laportea canadensis,Leonurus cardiaca,Leucanthemum vulgare,Linaria vulgaris,Lindera benzoin,Liparis loeselii,Lithospermum officinale,Lobelia cardinalis,Lobelia inflata,Lobelia siphilitica,Lonicera japonica,Lonicera morrowii,Lotus corniculatus,Ludwigia palustris,Lycopus americanus,Lycopus rubellus,Lysimachia ciliata,Lysimachia nummularia,Lysimachia quadrifolia,Lysimachia terrestris,Lythrum salicaria,Maianthemum racemosum,Malus pumila,Matteuccia struthiopteris,Melilotus officinalis,Mimulus ringens,Mitchella repens,Monotropa uniflora,Muhlenbergia mexicana,Myosotis laxa,Myosotis scorpioides,Myrica gale,Oenothera biennis,Onoclea sensibilis,Osmunda cinnamomea,Osmunda regalis,Ostrya virginiana,Oxalis stricta,Panicum dichotomiflorum,Parthenocissus quinquefolia,Peltandra virginica,Phalaris arundinacea,Phegopteris connectilis,Phegopteris hexagonoptera,Phleum pratense,Pilea pumila,Pinus strobus,Plantago lanceolata,Plantago major,Platanus occidentalis,Polygonum amphibium,Polygonum cuspidatum,Polygonum hydropiper,Polygonum hydropiperoides,Polygonum persicaria,Polygonum punctatum,Polygonum sagittatum,Polygonum virginianum,Polystichum acrostichoides,Populus deltoides,Potentilla recta,Potentilla simplex,Prenanthes alba,Prunella vulgaris,Prunus americana,Prunus serotina,Prunus virginiana,Pteridium aquilinum,Quercus alba,Quercus velutina,Ranunculus pensylvanicus,Ranunculus recurvatus,Rhamnus alnifolia,Rhamnus cathartica,Rhus typhina,Robinia pseudoacacia,Rosa multiflora,Rosa palustris,Rubus allegheniensis,Rubus hispidus,Rubus idaeus,Rubus occidentalis,Rubus odoratus,Rubus phoenicolasius,Rubus pubescens,Rudbeckia hirta,Rudbeckia laciniata,Rumex crispus,Rumex obtusifolius,Sagittaria latifolia,Salix alba,Salix nigra,Salix pentandra,Sambucus nigra,Saponaria officinalis,Schoenoplectus pungens,Scirpus atrocinctus,Scirpus microcarpus,Scutellaria lateriflora,Securigera varia,Silene vulgaris,Solanum dulcamara,Solidago altissima,Solidago canadensis,Solidago flexicaulis,Solidago gigantea,Sonchus oleraceus,Spiraea alba,Symphyotrichum lanceolatum,Symphyotrichum prenanthoides,Symplocarpus foetidus,Tanacetum vulgare,Taraxacum officinale,Thalictrum dioicum,Thalictrum pubescens,Thelypteris noveboracensis,Thelypteris palustris,Thuja occidentalis,Tilia americana,Toxicodendron radicans,Trifolium aureum,Trifolium pratense,Trifolium repens,Trillium erectum,Tsuga canadensis,Tussilago farfara,Ulmus americana,Ulmus rubra,Urtica dioica,Veratrum viride,Verbascum thapsus,Verbena hastata,Verbena urticifolia,Veronica americana,Veronica anagallis-aquatica,Veronica scutellata,Viburnum acerifolium,Viburnum dentatum,Viburnum lantanoides,Vinca minor,Vitis riparia,Xanthium strumarium
Leaf carbon/nitrogen (C/N) ratio,NA,14.17,NA,24.7,NA,27.85,NA,26.26333333,NA,NA,NA,11.48,19.16,NA,NA,NA,NA,NA,NA,NA,NA,23.52,NA,NA,NA,NA,28.7,NA,18.15,NA,NA,NA,NA,20.336,NA,14.71,NA,NA,NA,NA,25.2,15.21,NA,NA,NA,NA,NA,NA,NA,16.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.45,22.52666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.04428571,NA,NA,NA,NA,30.94,NA,10.8,NA,33.334,NA,20.138,NA,NA,26.9,34.49,23.5,NA,NA,NA,NA,NA,14.59,NA,NA,NA,15.6275,NA,NA,NA,13.13,NA,NA,NA,NA,12.328,NA,NA,16.9,24.048,NA,NA,NA,NA,27.154,NA,NA,NA,NA,NA,NA,NA,NA,14.09857143,NA,NA,NA,NA,NA,NA,NA,21.78125,NA,NA,16.67,NA,NA,NA,NA,NA,NA,NA,NA,22.076,24.958,NA,NA,NA,NA,NA,NA,NA,20.24357143,NA,NA,28.2,NA,26.1,20.8,21.616,NA,NA,NA,19.888,NA,37.688,NA,22.336,NA,NA,21.2,NA,NA,NA,NA,NA,23.73,NA,NA,27.2,34,NA,NA,NA,21.6,NA,NA,NA,NA,NA,NA,24.654,NA,NA,NA,NA,NA,NA,13.88,NA,NA,15.87,NA,NA,10.474,NA,NA,42.458,NA,NA,NA,NA,11.36,NA,24.77,NA,NA,NA,NA,NA,NA,NA,25.26571429,16.222,NA,NA,NA,NA,48.6,NA,NA,NA,11.35571429,10.672,NA,NA,15.068,25.9,NA,9.4025,NA,NA,18.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.86
Leaf density,NA,0.805833333,NA,0.338333333,0.47,0.404117647,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623333333,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.406666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478,0.326666667,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395,NA,NA,NA,NA,NA,NA,NA,0.415,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.442727273,NA,NA,NA,NA,NA,NA,NA,0.403333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.406,NA,NA,0.35,NA,NA,NA,NA,NA,0.313333333,0.33,NA,0.235,0.454,NA,NA,NA,NA,0.683,NA,NA,NA,NA,NA,0.354,NA,NA,NA,NA,0.551,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,0.14,NA,0.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,0.469,NA,NA,NA,NA,NA,0.343333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf dry mass,NA,0.167,NA,709.1566667,NA,51.57428571,NA,9.742173913,NA,42.125,NA,213.94,124.02,123.08,214.2666667,NA,NA,NA,1564.205333,164.375,132.955,2.60047619,5603.08,150.325,NA,0.093846154,206.44,20.56,115.7083333,NA,NA,261.0466667,0.035555556,0.412951807,NA,90.885,NA,NA,65.86,NA,721.75,0.426832298,NA,28.23888889,NA,240.15,NA,NA,NA,69.45,NA,3.454615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.305396825,0.862264151,13.75666667,NA,8.62,NA,232.0125,NA,NA,NA,NA,82.64583333,NA,NA,20.825,82.75,20.71666667,458.6266667,14.26,NA,12.07363636,NA,1.062,NA,0.021886792,NA,112.2333333,100.5175,NA,NA,5.595,NA,3.435714286,0.110619469,0.211428571,NA,NA,15.85,NA,NA,NA,630.14,NA,NA,2.465,NA,1.424285714,0.02,NA,137.7,90.95833333,60.38333333,NA,NA,22.54857143,1.02,NA,22.45833333,42.65,NA,2.16,NA,NA,NA,0.179625,7.370833333,NA,NA,NA,9.35,NA,NA,10.40809524,0.076666667,NA,2439.606316,46.89,NA,NA,NA,NA,5.49,13.88833333,13.10333333,3.441428571,0.235135135,NA,12544.16667,0.056,0.362857143,NA,NA,NA,21.78833333,189.845,NA,1.556375,NA,32.92,32.91173913,63.75714286,727.53,159.9122222,NA,10.4,NA,25.57888889,NA,0.023333333,NA,NA,763.64,81.37409091,9.485,NA,8.684,NA,163.2858824,NA,NA,NA,NA,NA,NA,NA,47.894,0.073,100.7333333,288.7933333,NA,NA,NA,31.9321875,NA,NA,NA,NA,3.153333333,NA,239.7,924.2216667,NA,60.4,NA,55.602,304,108.265,NA,0.456,NA,NA,NA,63.76,65.95444444,NA,0.139262821,NA,83.71,341.135,NA,NA,NA,NA,142.0788889,0.107222222,NA,NA,NA,387.6625,2.23,NA,NA,12.18166667,14.14709677,1.636603774,NA,5.88,826.0671429,1428.57,NA,73.24,NA,1350.0075,0.176,NA,NA,65.4,3.063333333,NA,NA,NA,21.86,0.166666667,123.7766667
Leaf dry mass per plant,NA,NA,NA,NA,NA,NA,NA,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.39,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502,NA,3.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.526,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,1.118,NA,NA,NA,NA,NA,NA,NA,NA,1.016,NA,NA,NA,NA,NA,NA,NA,4.492,NA,NA,5.828,NA,NA,NA,NA,NA,NA,NA,NA,2.582,1.106,NA,NA,NA,0.1,NA,NA,NA,0.712,NA,NA,0.24,NA,NA,NA,1.68,NA,NA,NA,2.436,NA,0.524,NA,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.096,NA,NA,NA,NA,NA,NA,5.018,NA,NA,NA,NA,NA,NA,NA,2.066,0.538,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.636,NA,NA,37.622,NA,NA,NA,NA,NA,2.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",NA,0.57,NA,NA,NA,0.67,NA,9.741333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.574,NA,NA,NA,0.62,0.6,NA,0.43,NA,NA,NA,NA,9.09875,NA,NA,0.356,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521428571,5.52,NA,NA,NA,NA,NA,NA,NA,NA,0.505,0.44,0.53,0.48,NA,NA,NA,NA,NA,NA,11.742,NA,29.51,NA,NA,NA,NA,NA,NA,0.65,0.62,NA,NA,NA,28.24285714,NA,NA,0.53,NA,NA,NA,NA,NA,NA,21.85666667,NA,12.486,NA,NA,NA,NA,NA,NA,NA,0.71,25.622,NA,NA,NA,0.42,NA,NA,NA,NA,18.38,NA,NA,NA,NA,NA,NA,NA,27.33857143,NA,NA,59.794,NA,0.71,NA,NA,NA,0.61,NA,NA,10.18428571,24.406,NA,NA,NA,30.074,NA,NA,NA,9.533333333,NA,NA,5.436875,NA,0.63,0.616153846,12.2825,NA,NA,NA,14.804,NA,40.842,NA,16.018,NA,NA,NA,NA,NA,NA,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,59.912,NA,NA,NA,NA,0.595,NA,0.675,0.6,NA,NA,NA,NA,0.502,NA,NA,21.46,NA,NA,NA,NA,0.5,NA,29.94,NA,NA,0.8,NA,NA,NA,NA,28.76285714,26.59142857,NA,NA,NA,NA,0.64,NA,NA,NA,12.49125,27.81166667,NA,0.66,87.278,NA,NA,0.67,NA,0.58,21.132,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA
Leaf dry matter content (LDMC),NA,0.605,NA,2.045,NA,0.838333333,NA,117.45525,NA,0.87,NA,161.3333333,207.178,151.7066667,189.4116667,NA,NA,NA,194.3322222,NA,250.6842857,0.219516129,292,174,NA,0.742,2.08,114.8666667,177.065,NA,NA,128.92,0.27,2.847875,NA,184,78.75,NA,NA,NA,NA,18.51823529,NA,165.4733333,NA,186.5,NA,NA,NA,193.5,NA,50.21133333,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.8011392,37.06779661,189.1066667,NA,171.2566667,NA,266.792,NA,NA,NA,NA,273.33,0.33,NA,159.83,183.723,253.7325,153.94,195.4571429,NA,54.61090909,NA,0.453333333,NA,0.350377358,NA,508.7,0.647,NA,NA,140,NA,312.2671429,16.71940678,117.1041176,NA,NA,160,NA,NA,NA,126.3433333,NA,NA,198.2716667,NA,0.24,0.783,NA,NA,208.31,249.9166667,NA,NA,134.5354545,68.94772727,NA,72.79,213.5,NA,0.328,NA,NA,NA,39.2196875,205.1233333,0.215,NA,NA,223.0642857,NA,NA,44.40857143,NA,NA,106.6991667,237.6666667,0.2,NA,NA,NA,120.786,144.3511111,345,21.524,0.212162162,NA,277.2333333,0.643,0.323333333,NA,NA,NA,75.78285714,188.7866667,NA,82.70505376,NA,NA,113.3410345,52.5096875,NA,243.8688889,NA,96.11909091,NA,81.568,NA,0.637333333,NA,NA,NA,207.0170833,0.9,NA,132.17,NA,307.0788889,NA,568.35,NA,NA,NA,NA,NA,3.148709677,0.63,NA,280.17,NA,NA,NA,151.3376,NA,NA,NA,NA,0.786363636,NA,105,146.6166667,NA,297.635,NA,250.1766667,25.65226667,199.5,NA,0.486,NA,0.29,NA,166,38.85953846,NA,1.007291667,NA,308,118.5,NA,NA,NA,NA,88.547,32.18352941,NA,NA,NA,207.826,NA,NA,NA,234.8261538,146.8051111,94.87068966,NA,NA,61.88,NA,NA,220.6916667,NA,183.1771429,0.506666667,NA,NA,107.3333333,214.2433333,NA,NA,NA,195,0.233333333,199.62375
Leaf fresh mass,NA,NA,NA,NA,NA,NA,NA,0.285714286,NA,NA,NA,NA,556.01,NA,NA,NA,NA,NA,NA,NA,NA,2.823770492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173482428,NA,NA,NA,NA,NA,NA,NA,0.200566038,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248163265,0.256938776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1275,NA,1.758,NA,0.061509434,NA,NA,NA,NA,NA,NA,NA,NA,0.031775701,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035714286,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,0.110714286,NA,NA,NA,NA,NA,NA,NA,NA,0.047662338,NA,NA,NA,NA,NA,NA,NA,0.488,NA,NA,2054.41,NA,NA,NA,NA,NA,NA,NA,NA,1.972,1.184594595,NA,NA,NA,0.11,NA,NA,NA,0.454,NA,NA,0.111176471,NA,NA,0.285,4.531666667,NA,NA,NA,0.28,NA,0.398,NA,0.186,NA,NA,NA,0.22125,NA,NA,0.0475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,NA,NA,NA,0.214206219,NA,NA,NA,NA,NA,NA,NA,2.642,0.7788,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.1025,NA,NA,37.6,NA,NA,NA,NA,NA,0.282,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA
Leaf lamina thickness,NA,NA,NA,174.375,NA,190.745,NA,0.26,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,225.87,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273333333,0.28,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,0.375,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,0.235,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.16,NA,NA,0.37,NA,NA,0.2,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
Leaf lifespan,NA,NA,NA,5.51625,NA,5.5,NA,1.19,NA,NA,NA,NA,1.95,1.5,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,1.95,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,7.7,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836666667,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04,NA,20.275,1.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,6.8,NA,4.6,NA,NA,NA,6.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.015,NA,NA,NA,NA,2.17,NA,NA,NA,NA,36.04,NA,NA,NA,NA,2.01,NA,60,NA,5.886,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf nitrogen (N) content,NA,NA,NA,13.93333333,NA,13.32,NA,1.81,NA,NA,NA,NA,5.78,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51,NA,25.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,12.91,NA,NA,NA,NA,0.2,0.06,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0.51,1.52,NA,14.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.02,NA,NA,NA,NA,NA,13.38,NA,NA,NA,NA,NA,NA,NA,6.575,NA,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.08,NA,NA,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.315,NA,NA,NA,NA,NA,0.02,NA,NA,NA,1.635,0.41,NA,0.06,NA,27.57,NA,NA,NA,17.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf nitrogen (N) content per area,1.6,1.296666667,1.103333333,1.198888889,NA,1.118,NA,1.735454545,NA,NA,NA,NA,1.895,28.34,2.48,NA,NA,NA,NA,1.67,0.81,1.76,NA,NA,NA,1.416666667,1.797272727,NA,73.49,NA,NA,NA,0.81,1.02,NA,NA,57.7,NA,1.045,1.15,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0.72,NA,NA,1.273333333,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.246666667,0.6,1.484,1.51,1.58,NA,NA,1.4,0.6,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,0.98,NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,NA,89.82,NA,NA,NA,NA,NA,83.27,NA,NA,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523333333,NA,NA,NA,NA,72.76,NA,NA,1.013333333,NA,2.778,1.316,63.82,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.142857143,NA,NA,NA,NA,NA,1.588,1.106666667,2.33,1.881666667,1.45,NA,NA,NA,1.924,2.04,1.834285714,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,1.34,NA,NA,1.4,NA,1.73,NA,NA,NA,NA,NA,NA,NA,1.02,NA,NA,NA,NA,NA,1.69,NA,NA,NA,1.275,1.2925,NA,NA,NA,NA,2.135,1.324,NA,NA,1.6,1.6,NA,1.21,NA,1.84375,1.5,NA,NA,1.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.7
Leaf nitrogen (N) content per dry mass,4.10173516,5.364,3.675714286,11.23835556,2.37,5.409195402,2.274,17.101875,NA,NA,NA,21.03,4.4,9.9,4.41,NA,NA,NA,NA,20.23285714,23.48,18.89416667,NA,NA,NA,4.728376068,13.98393204,NA,2.073333333,NA,NA,NA,1.305,11.748,NA,3.16,21.988,NA,1.916666667,2.216666667,6.763636364,22.31,NA,NA,NA,NA,NA,1.21,NA,5.365,NA,7.995,0.73,11.88,NA,1.8425,1.79,2.21,1.97,NA,NA,14.55021277,13.23538462,NA,NA,1.26,NA,2.404,NA,NA,NA,NA,6.63625,1.39,NA,NA,NA,1.48,NA,19.41,NA,1.388,NA,2.146666667,NA,NA,2.185119048,7.691666667,6.7195,2.02,1.702727273,2.986,NA,16.08545455,25.22833333,NA,1.941666667,1.23,7.46125,NA,NA,NA,3.386666667,NA,NA,22.3,NA,3.706666667,1.3,2.348333333,12.545,20.716,NA,1.77,NA,15.544,4.026666667,1.85,NA,NA,NA,42.42,NA,NA,NA,25.59409091,NA,16.302,NA,1.25,1.71,NA,2.9,7.37,NA,17.37,2.871818182,19.14,31.54,1.38,1.97,NA,NA,NA,2.55,9.631111111,1.802,NA,NA,13.3876,NA,NA,NA,2.15,7.012777778,NA,NA,9.634642857,NA,12.23139535,12.87025641,20.63181818,4.05875,NA,NA,2.352,NA,1.222,NA,2.13,NA,NA,3.9436,NA,NA,1.64,16.87636364,NA,6.724285714,11.70958333,19.41875,13.08054795,3.4325,NA,NA,NA,15.693,2.583333333,15.705,NA,NA,2.18,1.965,7.063125,1.57,2.8,NA,1.935,31.13166667,NA,2.976666667,13.87714286,NA,2.56,2.48,29.06,14.65863636,NA,NA,1.056,NA,NA,NA,2.64,18.868,NA,1.68,NA,1.1975,19.195,1.888,NA,NA,NA,2.235384615,12.28291667,1.6325,NA,NA,NA,11.91578947,18.8575,NA,NA,24.915625,30.9675,2.47,2.293461538,2.54,6.213529412,2.183333333,10.77416667,NA,2.235,10.68444444,NA,NA,NA,NA,NA,NA,NA,NA,1.57,2.266666667
