River,Site,Latitude,Longitude,MeanTempDriestQ,MeanTempWettestQ,TempAnnRange,MinTempColdestM,MaxTempWarmestM,TempSeasonality,Isothermality,MeanDiurnalTempRange,PrecipColdestQ,PrecipWarmestQ,PrecipDriestQ,PrecipWettestQ,PrecipSeasonality,PrecipDriestM,PrecipWettestM,AnnPrecip,MeanTempColdestQ,MeanTempWarmestQ,AnnMeanTemp,StreamOrder,DrainageArea,PCEmergentHerbWetlands100mBuff,PCWoodyWetlands100mBuff,PCCultivatedCrops100mBuff,PCPasture100mBuff,PCGrassland100mBuff,PCScrub100mBuff,PCMixedFor100mBuff,PCEvergreenFor100mBuff,PCDecidFor100mBuff,PCBarren100mBuff,PCDevHi100mBuff,PCDevMed100mBuff,PCDevLo100mBuff,PCDevOpen100mBuff,PCWater100mBuff,PCEmergentHerbWetlands1kmBuff,PCWoodyWetlands1kmBuff,PCCultivatedCrops1kmBuff,PCPasture1kmBuff,PCGrassland1kmBuff,PCScrub1kmBuff,PCMixedFor1kmBuff,PCEvergreenFor1kmBuff,PCDecidFor1kmBuff,PCBarren1kmBuff,PCDevHi1kmBuff,PCDevMed1kmBuff,PCDevLo1kmBuff,PCDevOpen1kmBuff,PCWater1kmBuff,PCEmergentHerbWetlands10kmBuff,PCWoodyWetlands10kmBuff,PCCultivatedCrops10kmBuff,PCPasture10kmBuff,PCGrassland10kmBuff,PCScrub10kmBuff,PCMixedFor10kmBuff,PCEvergreenFor10kmBuff,PCDecidFor10kmBuff,PCBarren10kmBuff,PCDevHi10kmBuff,PCDevMed10kmBuff,PCDevLo10kmBuff,PCDevOpen10kmBuff,PCWater10kmBuff
Landsman Kill,1450,41.923326,-73.910993,-18,185,385,-98,287,9150,31,123,235,293,231,304,11,71,106,1079,-30,207,92,2,31.248,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.000,0.000,0.077,0.115,0.231,0.423,0.000,0.008,0.060,0.196,0.005,0.003,0.003,0.013,0.222,0.000,0.021,0.100,0.178,0.178,0.012,0.012,0.047,0.017,0.124,0.001,0.025,0.034,0.049,0.436,0.006,0.012,0.026,0.048,0.076,0.087
Mohawk River,483,43.001598,-74.546771,-42,172,391,-118,273,9548,30,118,225,295,222,297,12,66,102,1073,-53,193,74,4,180.8316,0.000,0.192,0.000,0.500,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.231,0.000,0.000,0.072,0.176,0.338,0.001,0.012,0.010,0.228,0.048,0.000,0.000,0.000,0.031,0.078,0.005,0.003,0.132,0.183,0.192,0.008,0.019,0.050,0.149,0.202,0.002,0.000,0.002,0.007,0.041,0.010
Timmerman Creek,493,43.056705,-74.627278,-50,164,388,-126,262,9564,29,115,239,310,234,311,12,69,106,1135,-61,185,67,2,24.5151,0.000,0.385,0.000,0.000,0.000,0.000,0.115,0.000,0.308,0.000,0.000,0.000,0.000,0.192,0.000,0.000,0.232,0.016,0.042,0.050,0.042,0.100,0.154,0.303,0.000,0.000,0.000,0.006,0.054,0.000,0.003,0.132,0.183,0.192,0.008,0.019,0.050,0.149,0.202,0.002,0.000,0.002,0.007,0.041,0.010
Kennyetto Creek,246,43.070084,-74.156658,-45,123,393,-124,269,9574,30,118,237,287,236,295,11,69,102,1089,-56,191,72,3,68.0481,0.000,0.036,0.000,0.250,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.000,0.571,0.000,0.000,0.448,0.024,0.295,0.000,0.000,0.002,0.140,0.028,0.000,0.000,0.000,0.007,0.056,0.000,0.004,0.290,0.029,0.120,0.004,0.003,0.038,0.203,0.065,0.008,0.001,0.002,0.013,0.050,0.170
Indian Kill,0,42.871055,-73.908615,-46,182,396,-113,283,9643,29,116,202,271,202,273,12,60,94,973,-46,204,83,1,21.9744,0.000,0.296,0.000,0.000,0.000,0.000,0.407,0.000,0.296,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.217,0.007,0.010,0.000,0.006,0.071,0.040,0.302,0.000,0.002,0.009,0.114,0.213,0.000,0.001,0.138,0.045,0.085,0.003,0.011,0.123,0.049,0.247,0.000,0.021,0.053,0.092,0.112,0.019
Plotter Kill,536,42.845497,-74.012915,-44,184,396,-111,285,9611,29,117,200,267,200,270,12,59,93,964,-44,205,85,2,16.6023,0.000,0.000,0.037,0.148,0.000,0.000,0.000,0.000,0.481,0.000,0.000,0.000,0.259,0.074,0.000,0.000,0.125,0.086,0.022,0.000,0.000,0.118,0.041,0.187,0.001,0.011,0.063,0.084,0.153,0.107,0.001,0.138,0.045,0.085,0.003,0.011,0.123,0.049,0.247,0.000,0.021,0.053,0.092,0.112,0.019
Fishkill Creek,1442,41.586321,-73.745521,-12,186,377,-91,286,9004,32,121,241,300,239,300,9,74,102,1107,-25,208,95,4,129.9762,0.000,0.000,0.000,0.000,0.226,0.000,0.000,0.000,0.226,0.000,0.000,0.000,0.129,0.419,0.000,0.000,0.162,0.000,0.139,0.056,0.042,0.000,0.009,0.310,0.000,0.000,0.027,0.145,0.110,0.000,0.005,0.055,0.009,0.175,0.004,0.035,0.013,0.023,0.497,0.004,0.003,0.015,0.062,0.084,0.015
Potic Creek,1197,42.275279,-73.928113,-26,183,393,-107,286,9377,31,124,212,282,209,292,13,63,101,1013,-39,205,88,3,115.8984,0.000,0.138,0.000,0.000,0.000,0.000,0.241,0.000,0.345,0.000,0.000,0.000,0.000,0.276,0.000,0.000,0.106,0.120,0.055,0.000,0.000,0.127,0.054,0.436,0.000,0.000,0.000,0.000,0.103,0.000,0.006,0.149,0.048,0.057,0.001,0.010,0.134,0.070,0.378,0.001,0.003,0.008,0.022,0.089,0.024
Chester Creek,65,43.668422,-73.788225,-53,177,409,-140,269,9788,30,124,209,283,206,284,14,63,107,1016,-66,187,66,2,88.3035,0.000,0.172,0.000,0.000,0.000,0.000,0.000,0.690,0.000,0.000,0.000,0.034,0.000,0.103,0.000,0.002,0.263,0.039,0.000,0.017,0.000,0.075,0.333,0.034,0.000,0.002,0.008,0.060,0.164,0.004,0.001,0.101,0.006,0.002,0.002,0.011,0.211,0.359,0.207,0.000,0.000,0.002,0.008,0.042,0.046
Hans Creek,249,43.127709,-74.10272,-47,121,395,-129,266,9584,29,118,244,291,242,298,10,71,103,1110,-59,188,69,2,71.2188,0.000,0.069,0.000,0.034,0.000,0.000,0.000,0.034,0.172,0.000,0.000,0.000,0.000,0.690,0.000,0.000,0.340,0.000,0.040,0.024,0.001,0.174,0.274,0.095,0.000,0.000,0.000,0.000,0.051,0.000,0.004,0.290,0.029,0.120,0.004,0.003,0.038,0.203,0.065,0.008,0.001,0.002,0.013,0.050,0.170
Green River,385,43.103223,-73.211105,-41,196,412,-130,282,9657,31,130,207,293,203,293,15,60,108,1021,-55,196,76,2,78.9561,0.000,0.000,0.133,0.467,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.100,0.000,0.000,0.042,0.089,0.268,0.004,0.040,0.003,0.000,0.457,0.000,0.000,0.000,0.040,0.056,0.000,0.003,0.032,0.004,0.052,0.001,0.007,0.084,0.139,0.638,0.000,0.000,0.003,0.010,0.025,0.002
Quacken Kill,1189,42.748357,-73.563029,-34,200,394,-114,280,9522,30,120,195,287,195,287,15,58,99,984,-46,200,81,2,55.1907,0.000,0.000,0.000,0.214,0.000,0.000,0.000,0.000,0.143,0.000,0.000,0.464,0.000,0.179,0.000,0.005,0.058,0.189,0.332,0.027,0.060,0.009,0.013,0.135,0.000,0.007,0.032,0.061,0.067,0.005,0.003,0.014,0.040,0.158,0.005,0.057,0.124,0.092,0.328,0.006,0.005,0.031,0.046,0.075,0.015
Big Brook,1033,43.320439,-75.34429,-50,90,391,-125,266,9716,28,113,280,305,258,318,10,79,115,1184,-61,190,70,3,45.9189,0.000,0.185,0.000,0.000,0.000,0.074,0.000,0.000,0.630,0.000,0.000,0.000,0.000,0.111,0.000,0.004,0.073,0.023,0.089,0.015,0.166,0.091,0.135,0.392,0.000,0.000,0.000,0.000,0.012,0.000,0.003,0.069,0.053,0.114,0.039,0.081,0.027,0.118,0.475,0.001,0.000,0.001,0.003,0.011,0.004
Mill Brook,210,43.763674,-73.754512,-55,175,409,-142,267,9764,30,124,203,284,199,286,15,61,108,1001,-68,185,64,2,67.1436,0.000,0.517,0.000,0.000,0.000,0.000,0.000,0.276,0.000,0.000,0.000,0.000,0.000,0.207,0.000,0.000,0.123,0.007,0.000,0.002,0.000,0.046,0.450,0.138,0.000,0.000,0.000,0.012,0.076,0.146,0.001,0.093,0.001,0.001,0.004,0.000,0.096,0.287,0.388,0.000,0.000,0.001,0.008,0.025,0.095
Keyser Kill,1066,42.490725,-74.36027,-60,157,375,-124,251,9210,29,112,206,291,206,299,14,61,103,1037,-60,177,63,1,31.0257,0.000,0.000,0.000,0.000,0.115,0.000,0.000,0.308,0.423,0.000,0.000,0.000,0.000,0.154,0.000,0.000,0.002,0.000,0.090,0.012,0.000,0.286,0.343,0.238,0.000,0.000,0.000,0.000,0.031,0.000,0.003,0.060,0.029,0.066,0.008,0.003,0.231,0.163,0.386,0.001,0.000,0.000,0.004,0.032,0.014
Wharton Hollow Creek,1154,42.527149,-74.567477,-58,159,377,-122,255,9228,30,115,201,291,201,299,15,59,102,1024,-58,180,65,3,34.0038,0.000,0.000,0.000,0.000,0.000,0.000,0.074,0.259,0.185,0.000,0.000,0.000,0.000,0.481,0.000,0.000,0.017,0.006,0.280,0.016,0.000,0.189,0.136,0.312,0.000,0.000,0.000,0.000,0.044,0.000,0.003,0.061,0.010,0.101,0.020,0.005,0.169,0.105,0.486,0.000,0.000,0.000,0.001,0.033,0.006
Valatie Kill,1181,42.442041,-73.665175,-29,182,395,-110,285,9399,31,125,203,282,201,284,13,60,96,989,-41,203,85,2,103.8096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.500,0.000,0.000,0.000,0.107,0.143,0.000,0.002,0.019,0.019,0.185,0.000,0.041,0.004,0.030,0.313,0.000,0.003,0.039,0.152,0.142,0.050,0.006,0.024,0.087,0.287,0.004,0.059,0.018,0.083,0.307,0.001,0.001,0.013,0.038,0.053,0.018
Stony Creek,1345,42.046664,-73.910765,-19,187,390,-100,290,9270,32,125,228,288,224,299,11,68,104,1055,-32,208,92,2,54.9837,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.733,0.000,0.000,0.000,0.000,0.267,0.000,0.179,0.000,0.000,0.166,0.008,0.032,0.006,0.049,0.503,0.000,0.000,0.000,0.021,0.036,0.000,0.017,0.043,0.035,0.218,0.004,0.030,0.063,0.041,0.332,0.001,0.003,0.013,0.047,0.068,0.085
Snook Kill,388,43.198531,-73.655411,-38,201,409,-125,284,9741,30,125,204,276,203,276,14,59,100,987,-52,201,80,2,92.8791,0.000,0.143,0.036,0.071,0.000,0.000,0.000,0.107,0.250,0.000,0.000,0.000,0.321,0.071,0.000,0.000,0.269,0.355,0.057,0.000,0.000,0.019,0.012,0.061,0.000,0.001,0.010,0.104,0.113,0.000,0.001,0.308,0.103,0.160,0.003,0.022,0.041,0.074,0.152,0.001,0.003,0.005,0.033,0.065,0.029
