"","Leaf.C.per.dry.mass","Leaf.C.to.N.ratio","Leaf.weight.ratio","Lamina.thickness","Leaf.N.per.dry.mass","Leaf.N.to.P.ratio","Leaf.P.per.dry.mass","Leaf.physical.strength","Leaf.K.per.dry.mass","Leaf.respiration.per.dry.mass","SLA","Photosynthesis.per.leaf.dry.mass","RGR","Root.N.per.dry.mass","Rooting.depth","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","SSD","Stomata.conductance.per.leaf.area","Wood.dry.mass.per.plant.dry.mass"
"Keyser Kill",146.898333333333,24.4933333333333,13.9875,63.68,7.715,10.3771428571429,1466.7075,3.57,4.03,8.29,394.973846153846,134.268571428571,0.171666666666667,5.09,14,160150.731666667,31491.9242857143,15.18,144.776666666667,175.356666666667,59.2275
"Kinderhook Creek",147.5775,25.4366666666667,16.792,63.66,5.42416666666667,10.902,1477.756,3.39,2.26142857142857,8.135,129.162777777778,101.878,0.13,5.09,21.1333333333333,48244.6129166667,385664.052,17.5328571428571,89.4957142857143,184.1,60.3033333333333
"Landsman Kill",46.05,15.535,19.6266666666667,0.09,4.42333333333333,9.71166666666667,1804.99833333333,3.48,1.06,6.06,306.77625,58.45,0.2025,16.7,23.3333333333333,20539.75,32724.55,30.2,270.643333333333,81.05,58.625
"Lansing Kill",189.216666666667,27.654,0.635,208.31,5.5625,10.7263636363636,1882.18090909091,NA,1.45,11.904,137.160833333333,87.484,0.105,14.655,22.3846153846154,29090.1322222222,2610.42,20.4,68.6622222222222,203.173333333333,NA
"Mill Brook",47.6725,22.2575,22.87,NA,4.45125,9.21666666666667,2038.81333333333,NA,0.72,NA,166.632,147.25,0.156,NA,12.5416666666667,462285.501176471,36849.715,20.15,127.85,45.24,54.9875
"Mill Creek",152.425,24.4071428571429,19.2933333333333,87.26,6.12846153846154,10.9590909090909,1578.87727272727,3.3,2.955,6.4325,75.7206666666667,96.776,0.098,4.505,16.5666666666667,308932.2125,469757.2375,24.8757142857143,141.274,170.816666666667,51.5033333333333
"Minots Corner Road",100.445,22.8357142857143,23.1,NA,5.628,10.0815384615385,1998.93076923077,NA,2.035,6.96,200.0025,87.1625,0.14,11.935,25.125,20811.9955555556,243118.815,28.28,40.7855555555556,253.4,53.8666666666667
"Mohawk River",46.595,22.06,13.4825,0.09,5.099,11.9977777777778,1566.15888888889,3.48,0.7625,10.9075,93.5554545454545,66.41,0.154,18.91,19.7727272727273,37990.3470588235,618809.183333333,22.4666666666667,51.486,141,61.59
"New Pond Brook",133.528,29.858,8.33,174.38,7.59857142857143,11.2516666666667,1804.59833333333,NA,0.583333333333333,6.825,139.732222222222,46.28,0.055,8.55333333333333,17.3888888888889,207545.627857143,7744.31,26.525,141.268,161.67,74.75
"North Branch West Stony Creek",103.05625,22.4516666666667,14.0375,87.38,6.03333333333333,11.878,1512.14636363636,3.12,2.30666666666667,7.125,338.846666666667,114.54625,0.184,4.89,16.53125,195144.68826087,100008304.59,26.0666666666667,106.382,190.428,69.3433333333333
"Paragon Brook",167.127142857143,29.4716666666667,7.98571428571429,0.14,7.02,10.87,1730.903,3.3,2.23333333333333,9.29,106.582,86.018,0.0933333333333333,11.4,22.0416666666667,205372.276111111,185824.894,16.9766666666667,86.76,222.222,58.855
"Plotter Kill",45.9733333333333,24.93,15.305,190.75,2.92,9.04777777777778,1990.98444444444,451.7,1.01,8.29,89.3611111111111,69.4033333333333,0.125,9.59,24.25,88095.8833333333,453972.215,22.6,132.026,360.833333333333,50.64
"Potic Creek",113.728333333333,22.885,12.62375,63.66,7.94,10.7928571428571,1378.59,3.39,0.8875,10.02,1631.58875,115.32,0.153333333333333,3.68333333333333,16.6153846153846,54948.4763636364,12293.2866666667,16.51,108.76,114.576,63.915
"Quacken Kill",44.42,22.5566666666667,20.8475,121.74,4.72615384615385,9.07818181818182,1740.95384615385,3.48,1.01428571428571,9.376,1344.24,66.7225,0.125,7.24,22.5294117647059,34367.8683333333,193011.59,20.8142857142857,88.93125,288.66,60.3033333333333
"Robbs Creek",100.2025,23.3183333333333,27.9533333333333,NA,3.36,9.31142857142857,1824.12857142857,NA,1.03,NA,2036.8475,164.955,0.19,0.87,13.1785714285714,205075.545652174,468456.925,25.4,64.02,0.48,54.0733333333333
"Roeliff Jansen Kill",44.635,24.96,27.5733333333333,0.09,3.28555555555556,8.8375,1773.89125,3.48,1.21,16.09,111.31,162.15,0.18,NA,18.7272727272727,35763.6027777778,470185.508333333,23.1333333333333,0.586666666666667,297,60.3033333333333
"Saw Kill",44.99,24.5633333333333,3.69,190.75,3.91,11.62,1668.666,NA,0.915,11.255,230.636,33.745,0.152,14.25,25.7777777777778,17512.894,NA,28.05,72.7616666666667,135.1,74.75
"Sherriff Lake Outlet",47.2425,23.626,20.16,NA,4.484,12.2428571428571,1338.4025,NA,0.895,4.2,151.101538461538,134.226666666667,0.143333333333333,5.17,17.40625,240474.093181818,643263.976666667,19.65,51.456,120,61.695
"Snook Kill",45.87,22.11,15.98,NA,5.55714285714286,9.867,1948.79,451.7,0.8425,17.06,203.796,90.9233333333333,0.195,16.7,19.28125,91944.3268,432816.614285714,22.1583333333333,128.36,166.29,57.12
