,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per plant dry mass
plantago_major,35.12,21.62,12.28,0.28,20.63,16.27,0.19,1.18,NA,25.5,73.35,260.78,0.18,2.34,4,84074.87,81747.72,19.1,NA,117.88,19.95
polygonum_cuspidatum,NA,NA,NA,NA,NA,NA,NA,NA,10.29,NA,144.36,NA,NA,NA,NA,1.88,NA,NA,NA,NA,NA
polygonum_hydropiper,45.32,19.89,14.8,NA,2.35,NA,NA,NA,NA,NA,199.13,NA,NA,NA,6,11460.37,13362.38,NA,NA,NA,75.89
polygonum_persicaria,44.3,37.69,40.84,0.21,1.22,NA,NA,0.94,NA,NA,68.86,NA,NA,NA,14,15987.84,2854,NA,NA,NA,36.25
potentilla_recta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.41,NA,NA,NA,NA,0.25,54337.75,17.5,NA,NA,NA
rosa_multiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.11,NA,NA,NA,NA,7.8,7,NA,NA,NA,NA
rumex_crispus,43.98,13.88,0.68,NA,2.98,11.5,0.35,NA,NA,NA,2569.29,NA,0.26,0.38,NA,1.68,17801.29,15.1,0.35,NA,NA
rumex_obtusifolius,285.55,NA,0.6,0.26,13.88,NA,4.14,29.41,NA,NA,48.77,NA,0.16,1.07,NA,1.51,17415.28,12.7,NA,213.38,NA
saponaria_officinalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.35,NA,NA,NA,10,9616.92,29080.55,16.6,NA,NA,NA
securigera_varia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31,NA,33.23,NA,NA,NA
silene_vulgaris,NA,NA,NA,NA,2.64,11.73,0.23,NA,NA,NA,20.48,NA,NA,NA,NA,1.31,2066.02,18.1,NA,NA,NA
solanum_dulcamara,45.07,11.36,0.5,0.13,18.87,11.14,581.37,1.54,17.43,NA,748.93,NA,0.23,NA,NA,33.6,18705.82,NA,0.19,NA,NA
sonchus_oleraceus,NA,NA,0.8,0.22,19.2,10.09,1731.73,0.47,NA,NA,71.01,NA,0.21,NA,0.31,0.31,40193.6,18.8,NA,NA,NA
tanacetum_vulgare,46.82,25.27,28.76,NA,2.24,NA,0.38,NA,NA,NA,813.93,NA,0.02,NA,NA,0.17,273721.48,28.9,0.42,NA,50.47
trifolium_aureum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.06,NA,NA,NA,NA,0.34,82470.83,NA,NA,NA,NA
trifolium_pratense,360.46,11.36,12.49,0.14,24.92,14.09,131.13,2.11,NA,NA,81.05,NA,0.13,2.11,12,5555.84,216.45,37.15,0.23,65.25,61.54
trifolium_repens,396.84,10.67,27.81,0.16,30.97,NA,2.03,4.39,NA,NA,50.89,456.17,0.11,2.17,12,13379.84,17445.99,35.08,0.19,139.5,47.55
tussilago_farfara,38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,NA,NA,58.84,NA,NA,NA,NA,0.31,6953.1,NA,NA,NA,12.72
verbascum_thapsus,46.28,NA,0.58,NA,2.24,NA,0.25,NA,NA,NA,64.79,NA,0.23,NA,NA,0.09,652624.85,NA,NA,NA,NA
vinca_minor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.44,NA,NA,NA,8,6.13,2.5,NA,NA,NA,NA
berberis_thunbergii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4520.9,NA,NA,NA,NA,NA
euonymus_alatus,NA,NA,NA,NA,NA,NA,0.35,NA,8.5,NA,62,NA,NA,NA,NA,17.29,NA,20.5,NA,NA,NA
lonicera_morrowii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA,NA
malus_pumila,NA,NA,NA,NA,17.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,NA,NA,320.33,NA,NA
rhamnus_cathartica,43,21.6,0.43,0.2,15.69,15.91,511.8,2.09,7.14,NA,46.77,45.08,0.08,NA,NA,23.95,NA,NA,237.05,440,NA
rubus_phoenicolasius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,NA,NA,NA,NA
salix_alba,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,NA,1068.27,NA,NA,NA,24,0.12,49581.33,NA,119.41,NA,NA
salix_pentandra,466.34,NA,NA,NA,29.06,NA,1.68,NA,NA,NA,39.94,NA,NA,NA,12,2250000.14,56840.4,NA,NA,NA,NA
