Trait,ageratina_altissima,agrimonia_gryposepala,agrostis_perennans,ambrosia_trifida,amphicarpaea_bracteata,anemone_virginiana,apocynum_cannabinum,arisaema_triphyllum,asclepias_syriaca,athyrium_filix-femina,bidens_connata,bidens_frondosa,blephilia_hirsuta,boehmeria_cylindrica,bromus_ciliatus,bromus_pubescens,carex_crinita,carex_scoparia,chelone_glabra,cicuta_maculata,cinna_arundinacea,circaea_lutetiana,clematis_virginiana,clinopodium_vulgare,collinsonia_canadensis,cryptotaenia_canadensis,cyperus_strigosus,dichanthelium_clandestinum,dioscorea_villosa,dryopteris_carthusiana,dryopteris_cristata,echinocystis_lobata,elymus_hystrix,elymus_trachycaulus,elymus_virginicus,epilobium_ciliatum,equisetum_fluviatile,equisetum_hyemale,equisetum_palustre,equisetum_pratense,erigeron_annuus,eupatorium_perfoliatum,euphorbia_maculata,euthamia_graminifolia,fragaria_vesca,galium_aparine,galium_asprellum,galium_boreale,galium_palustre,galium_triflorum,geum_canadense,glyceria_striata,helianthus_strumosus,helianthus_tuberosus,hypericum_mutilum,hypericum_punctatum,impatiens_capensis,impatiens_pallida,juncus_articulatus,juncus_filiformis,laportea_canadensis,liparis_loeselii,lobelia_cardinalis,lobelia_inflata,lobelia_siphilitica,ludwigia_palustris,lycopus_americanus,lycopus_rubellus,lysimachia_ciliata,lysimachia_quadrifolia,lysimachia_terrestris,maianthemum_racemosum,matteuccia_struthiopteris,mimulus_ringens,mitchella_repens,monotropa_uniflora,muhlenbergia_mexicana,myosotis_laxa,onoclea_sensibilis,osmunda_cinnamomea,osmunda_regalis,oxalis_stricta,panicum_dichotomiflorum,parthenocissus_quinquefolia,peltandra_virginica,phalaris_arundinacea,phegopteris_connectilis,phegopteris_hexagonoptera,pilea_pumila,polygonum_amphibium,polygonum_hydropiperoides,polygonum_punctatum,polygonum_sagittatum,polygonum_virginianum,polystichum_acrostichoides,potentilla_simplex,prenanthes_alba,prunella_vulgaris,pteridium_aquilinum,ranunculus_pensylvanicus,ranunculus_recurvatus,rubus_pubescens,rudbeckia_hirta,rudbeckia_laciniata,sagittaria_latifolia,schoenoplectus_pungens,scirpus_atrocinctus,scirpus_microcarpus,scutellaria_lateriflora,solidago_altissima,solidago_canadensis,solidago_flexicaulis,solidago_gigantea,symphyotrichum_lanceolatum,symphyotrichum_prenanthoides,symplocarpus_foetidus,thalictrum_dioicum,thalictrum_pubescens,thelypteris_noveboracensis,thelypteris_palustris,toxicodendron_radicans,trillium_erectum,veratrum_viride,verbena_hastata,verbena_urticifolia,veronica_americana,veronica_anagallis-aquatica,veronica_scutellata,vitis_riparia,xanthium_strumarium
Leaf nitrogen (N) content per area,NA,NA,NA,2.48,NA,NA,NA,1.67,1.76,NA,NA,73.49,NA,NA,0.81,NA,57.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.82,NA,NA,NA,NA,NA,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.7
Leaf nitrogen (N) content per dry mass,NA,NA,NA,4.41,NA,NA,NA,20.23285714,18.89416667,NA,NA,2.073333333,NA,NA,1.305,NA,21.988,NA,NA,1.21,NA,5.365,NA,7.995,0.73,NA,NA,NA,NA,2.404,NA,NA,NA,1.39,NA,NA,1.48,NA,19.41,NA,1.388,2.146666667,NA,NA,7.691666667,2.986,NA,16.08545455,NA,1.941666667,1.23,NA,NA,3.386666667,NA,NA,3.706666667,1.3,20.716,NA,1.77,NA,NA,42.42,NA,NA,16.302,NA,1.25,NA,2.9,NA,2.871818182,31.54,1.38,1.97,NA,NA,1.802,NA,NA,NA,NA,NA,2.15,7.012777778,NA,NA,NA,NA,NA,NA,2.13,NA,NA,NA,1.64,16.87636364,19.41875,NA,NA,1.935,31.13166667,NA,NA,NA,1.056,NA,NA,NA,1.68,NA,1.1975,NA,NA,NA,1.6325,NA,NA,NA,NA,2.47,NA,10.68444444,NA,NA,NA,NA,1.57,2.266666667
Leaf nitrogen/phosphorus (N/P) ratio,NA,NA,NA,NA,NA,NA,NA,7.0975,5.18,NA,NA,NA,NA,NA,8.45,NA,NA,NA,NA,7.12,NA,10.51,NA,NA,3.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,5.105,11.16333333,NA,9.06,NA,9.526666667,7.24,NA,NA,NA,NA,NA,8,4.81,NA,NA,7.08,NA,NA,NA,NA,NA,NA,NA,5.95,NA,11.6,NA,NA,NA,11.03333333,6.57,NA,NA,NA,NA,NA,NA,NA,NA,10.715,13.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.985,7.83,NA,NA,NA,5.155,NA,NA,NA,NA,NA,NA,NA,NA,4.41,NA,6.475,NA,NA,NA,6.31,NA,NA,NA,NA,16.47,NA,NA,NA,NA,NA,NA,5.61,NA
Leaf phosphorus (P) content per area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf phosphorus (P) content per dry mass,NA,NA,NA,NA,NA,NA,NA,3025,3400,NA,NA,0.26,NA,NA,550.1,NA,NA,NA,NA,1700,NA,865.205,NA,1.64,0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,0.44,NA,0.606666667,NA,NA,2100,NA,NA,3600.105714,1140.2,NA,1000.712,NA,2166.666667,1700,NA,NA,0.376666667,NA,NA,2600,2700,1.492,NA,2500,NA,NA,NA,NA,NA,NA,NA,2100,NA,0.25,NA,NA,NA,1100.03,3000,NA,NA,NA,NA,NA,NA,NA,NA,2700,419.1327273,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,2100,577.555,1.215,NA,NA,3750,NA,NA,0.53,NA,NA,NA,NA,NA,2550,NA,2000,NA,NA,NA,2750,NA,NA,NA,NA,1500,NA,NA,NA,NA,NA,NA,2800,0.23
Leaf physical strength,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,3.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,3.1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.835,NA,NA,NA
Leaf porosity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
Leaf potassium (K) content per area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf potassium (K) content per dry mass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.82875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.13666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf respiration per dry mass,NA,NA,NA,NA,NA,NA,NA,NA,22.37375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.11333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf specific area (SLA),NA,206,NA,41.88222222,NA,NA,97.88,152,56.73527778,15.66666667,54.67333333,5972.148333,NA,NA,74.237,NA,319.1571429,NA,NA,NA,NA,23706.81889,NA,27.84,NA,NA,NA,NA,NA,26.86166667,NA,NA,408,316.6666667,404.5,38.47555556,12.0775,2.91,8.981428571,NA,109.3838462,184.5311111,NA,15.67735849,42.18555556,59.39918919,NA,30.23166667,129.1442308,NA,NA,NA,NA,18601.20111,NA,NA,426.4333333,807.947,22.89636364,9.923333333,NA,38.02833333,263.3,373.036,NA,31.76166667,160.5642857,NA,NA,NA,NA,45.35666667,96.354,311.3685714,NA,NA,NA,66.158,68.14236842,32.9,16.16857143,396.578,NA,117.28,NA,3383.434848,36.29285714,18.2,NA,25.44538462,NA,NA,578.088,NA,54.8,314,NA,91.05814815,40.06526316,NA,NA,NA,173.7370833,NA,NA,NA,115.754,NA,394.1625,NA,20.98364501,NA,20.25,NA,NA,NA,NA,NA,21.1,30.694,38.29,NA,NA,196.1046154,NA,NA,28.02222222,83.12666667,32.77666667,3136.861818
Leaf texture (sclerophylly),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf thickness,NA,0.13,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,123.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,0.15,NA,NA,0.11,NA,NA,NA,NA,NA,0.2,0.16,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,166.832,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,0.1175,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165,NA,NA,NA,NA,NA,NA
Leaf type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metamorphoses and morphological adaptations: seed or dispersal unit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycorrhizal type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrogen fixation capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phenology: reproductive,NA,NA,NA,9,NA,NA,NA,NA,9,85,9,8.5,NA,NA,182.5,NA,NA,NA,NA,NA,NA,7,NA,61.66666667,NA,NA,NA,NA,NA,80,8,7,NA,174.5,NA,7.5,5.5,80.33333333,109.6,5.5,7.5,NA,NA,NA,121.8333333,8,NA,161.5454545,7,NA,NA,7.5,NA,11,NA,NA,8.5,NA,8,130,NA,6.5,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,6,NA,NA,6.5,NA,8,NA,NA,6.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.6972727,152.6666667,NA,NA,NA,8,7.5,8.5,7.5,NA,NA,NA,NA,9,NA,8.5,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,7.5,7.5,NA,NA
Phenology: vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Photosynthesis leaf intercellular CO2 concentration,NA,NA,NA,NA,NA,NA,NA,NA,89.38,NA,NA,348,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.38,NA,NA,NA,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.04,NA,NA,230.2566667,NA,NA,NA,NA,NA,NA,290.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,175.0275,NA,NA,NA,NA,NA,NA,NA,NA,NA,257.7575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.985,NA,NA,NA,NA,NA,338
Photosynthesis net assimilytion rate (NAR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Photosynthesis per leaf area,NA,NA,NA,21.8,NA,NA,NA,NA,20.84333333,NA,NA,5.46,NA,NA,9.48,NA,7.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2525,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0925,NA,NA,9.177142857,NA,NA,NA,NA,7.666666667,NA,13.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.025,12.32,NA,NA,NA,10.3525,NA,NA,NA,NA,NA,3.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.97375,NA,NA,NA,NA,NA,6.95
Photosynthesis per leaf dry mass,NA,NA,NA,392,NA,NA,NA,NA,284.17,NA,NA,89.2,NA,NA,160.25,NA,151.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.6,NA,NA,NA,NA,169.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.56666667,115.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5
Plant age of maturity (first flowering),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plant growth form,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plant height generative,NA,NA,NA,1.19,NA,NA,NA,NA,1,0.65,0.58,0.716666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,11.8,NA,NA,NA,NA,NA,0.38,0.55,3.5,NA,NA,NA,NA,1,0.95,26.5125,0.33,0.8575,NA,NA,NA,0.148333333,0.866666667,NA,18.36,4.426,NA,NA,NA,NA,1.75,NA,NA,NA,NA,0.383333333,0.3,NA,0.0925,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,0.283333333,NA,NA,1,0.25,NA,10,NA,1.15,0.23,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,7.206363636,0.883333333,NA,NA,NA,0.28,1.5,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,0.48,0.28,NA,0.45
Plant height vegetative,NA,5.9,3.5,1.083333333,NA,NA,3.3,1,96.37164179,22.88333333,1.865,1.4875,NA,3.9,23.75,NA,5.2,2.5,NA,NA,4.9,0.30625,15,25.61058824,NA,NA,3.2,2,NA,30.19,1.075,3.5,NA,17.53333333,2.5,0.75,2,0.95,28.7,0.33,56.52125,97.69,NA,71.35849057,6.55375,19.143,5.9,24.39764706,27.68705882,NA,3.9,5.7,NA,2.87375,2.6,3,99.96470588,8.2,0.438571429,0.3,NA,0.056666667,5.9,NA,NA,0.12,1.8,1.6,NA,NA,0.8,NA,79.67333333,NA,NA,NA,3,0.194,60.3,4.9,3.833333333,14.53307692,3.3,10.5,2.3,78.08952381,0.23,NA,NA,0.3525,NA,3.2,87.19090909,NA,NA,NA,NA,52.69333333,41.22142857,3.9,NA,NA,0.6,4.775,4.9,4.9,124.46,5.5,NA,NA,80.66469256,3,4.79,6,4,2,NA,NA,1.5,0.55,30,NA,NA,125.37,NA,0.8,0.31,0.17,45,0.49
Plant lifespan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plant relative growth rate (RGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,0.182857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165,0.17,0.145,0.29,NA,NA,NA,NA,NA,0.25,NA,0.26,NA,0.125,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,0.07,NA,NA,NA,0.26,NA,0.21,NA,NA,NA,NA,0.275,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138,NA,NA,NA,NA,0.175,NA,NA,NA,NA,NA,0.23,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,0.25,NA,0.16
