Trait,ageratina_altissima,agrimonia_gryposepala,agrostis_perennans,ambrosia_trifida,amphicarpaea_bracteata,anemone_virginiana,apocynum_cannabinum,arisaema_triphyllum,asclepias_syriaca,athyrium_filix-femina,bidens_connata,bidens_frondosa,blephilia_hirsuta,boehmeria_cylindrica,bromus_ciliatus,bromus_pubescens,carex_crinita,carex_scoparia,chelone_glabra,cicuta_maculata,cinna_arundinacea,circaea_lutetiana,clematis_virginiana,clinopodium_vulgare,collinsonia_canadensis,cryptotaenia_canadensis,cyperus_strigosus,dichanthelium_clandestinum,dioscorea_villosa,dryopteris_carthusiana,dryopteris_cristata,echinocystis_lobata,elymus_hystrix,elymus_trachycaulus,elymus_virginicus,epilobium_ciliatum,equisetum_fluviatile,equisetum_hyemale,equisetum_palustre,equisetum_pratense,erigeron_annuus,eupatorium_perfoliatum,euphorbia_maculata,euthamia_graminifolia,fragaria_vesca,galium_aparine,galium_asprellum,galium_boreale,galium_palustre,galium_triflorum,geum_canadense,glyceria_striata,helianthus_strumosus,helianthus_tuberosus,hypericum_mutilum,hypericum_punctatum,impatiens_capensis,impatiens_pallida,juncus_articulatus,juncus_filiformis,laportea_canadensis,liparis_loeselii,lobelia_cardinalis,lobelia_inflata,lobelia_siphilitica,ludwigia_palustris,lycopus_americanus,lycopus_rubellus,lysimachia_ciliata,lysimachia_quadrifolia,lysimachia_terrestris,maianthemum_racemosum,matteuccia_struthiopteris,mimulus_ringens,mitchella_repens,monotropa_uniflora,muhlenbergia_mexicana,myosotis_laxa,onoclea_sensibilis,osmunda_cinnamomea,osmunda_regalis,oxalis_stricta,panicum_dichotomiflorum,parthenocissus_quinquefolia,peltandra_virginica,phalaris_arundinacea,phegopteris_connectilis,phegopteris_hexagonoptera,pilea_pumila,polygonum_amphibium,polygonum_hydropiperoides,polygonum_punctatum,polygonum_sagittatum,polygonum_virginianum,polystichum_acrostichoides,potentilla_simplex,prenanthes_alba,prunella_vulgaris,pteridium_aquilinum,ranunculus_pensylvanicus,ranunculus_recurvatus,rubus_pubescens,rudbeckia_hirta,rudbeckia_laciniata,sagittaria_latifolia,schoenoplectus_pungens,scirpus_atrocinctus,scirpus_microcarpus,scutellaria_lateriflora,solidago_altissima,solidago_canadensis,solidago_flexicaulis,solidago_gigantea,symphyotrichum_lanceolatum,symphyotrichum_prenanthoides,symplocarpus_foetidus,thalictrum_dioicum,thalictrum_pubescens,thelypteris_noveboracensis,thelypteris_palustris,toxicodendron_radicans,trillium_erectum,veratrum_viride,verbena_hastata,verbena_urticifolia,veronica_americana,veronica_anagallis-aquatica,veronica_scutellata,vitis_riparia,xanthium_strumarium
Leaf carbon/nitrogen (C/N) ratio,NA,NA,NA,NA,NA,NA,NA,NA,23.52,NA,NA,18.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.94,NA,10.8,NA,33.334,20.138,NA,NA,34.49,NA,NA,NA,NA,NA,NA,NA,NA,13.13,NA,NA,12.328,NA,24.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,NA,NA,NA,NA,NA,24.958,NA,NA,NA,NA,NA,NA,20.24357143,NA,NA,NA,NA,NA,NA,22.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.458,NA,NA,NA,24.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.948,NA,NA,NA,NA,NA,13.86
Leaf density,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.551,NA,NA,NA,NA,NA,NA,NA,0.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf dry mass,NA,42.125,NA,214.2666667,NA,NA,NA,164.375,2.60047619,5603.08,20.56,115.7083333,NA,NA,0.035555556,NA,NA,NA,NA,NA,NA,69.45,NA,3.454615385,NA,NA,NA,NA,NA,232.0125,NA,NA,NA,NA,NA,20.825,20.71666667,458.6266667,14.26,NA,12.07363636,1.062,NA,0.021886792,112.2333333,5.595,NA,3.435714286,0.211428571,NA,NA,NA,NA,630.14,NA,NA,1.424285714,0.02,90.95833333,60.38333333,NA,22.45833333,NA,2.16,NA,7.370833333,NA,NA,NA,NA,NA,0.076666667,2439.606316,NA,NA,NA,NA,5.49,0.235135135,NA,12544.16667,0.362857143,NA,NA,NA,21.78833333,189.845,NA,NA,159.9122222,NA,NA,0.023333333,NA,NA,9.485,NA,8.684,NA,NA,NA,NA,3.153333333,NA,NA,NA,0.456,NA,NA,NA,0.139262821,NA,83.71,NA,NA,NA,NA,NA,NA,387.6625,NA,NA,NA,0.176,NA,NA,65.4,3.063333333,0.166666667,123.7766667
Leaf dry mass per plant,NA,NA,NA,NA,NA,NA,NA,NA,7.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502,3.798,NA,NA,NA,NA,NA,NA,0.028,NA,NA,NA,NA,NA,NA,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.828,NA,NA,NA,NA,NA,1.106,NA,NA,0.1,NA,NA,NA,0.712,NA,NA,NA,NA,NA,NA,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.096,NA,NA,NA,5.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.694,NA,NA,NA,NA,NA,NA
"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",NA,NA,NA,NA,NA,NA,NA,NA,28.574,NA,NA,0.43,NA,NA,NA,NA,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505,0.53,0.48,NA,NA,NA,NA,NA,11.742,29.51,NA,NA,NA,0.62,NA,NA,28.24285714,NA,NA,NA,NA,NA,NA,NA,12.486,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.794,0.71,NA,NA,NA,0.61,24.406,NA,NA,30.074,NA,NA,NA,9.533333333,NA,NA,NA,NA,NA,NA,16.018,NA,NA,NA,NA,0.574,NA,NA,NA,NA,0.595,NA,NA,NA,21.46,NA,NA,NA,29.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.132,NA,NA,NA,0.57,NA,NA
Leaf dry matter content (LDMC),NA,0.87,NA,189.4116667,NA,NA,NA,NA,0.219516129,292,114.8666667,177.065,NA,NA,0.27,NA,78.75,NA,NA,NA,NA,193.5,NA,50.21133333,NA,NA,NA,NA,NA,266.792,NA,NA,NA,0.33,NA,159.83,253.7325,153.94,195.4571429,NA,54.61090909,0.453333333,NA,0.350377358,508.7,140,NA,312.2671429,117.1041176,NA,NA,NA,NA,126.3433333,NA,NA,0.24,0.783,208.31,249.9166667,NA,72.79,NA,0.328,NA,205.1233333,0.215,NA,NA,NA,NA,NA,106.6991667,0.2,NA,NA,NA,120.786,0.212162162,NA,277.2333333,0.323333333,NA,NA,NA,75.78285714,188.7866667,NA,NA,243.8688889,NA,NA,0.637333333,NA,NA,0.9,NA,132.17,568.35,NA,NA,NA,0.786363636,NA,NA,NA,0.486,NA,0.29,NA,1.007291667,NA,308,NA,NA,NA,NA,NA,NA,207.826,NA,NA,NA,0.506666667,NA,NA,107.3333333,214.2433333,0.233333333,199.62375
Leaf fresh mass,NA,NA,NA,NA,NA,NA,NA,NA,2.823770492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1275,1.758,NA,0.061509434,NA,NA,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2054.41,NA,NA,NA,NA,NA,1.184594595,NA,NA,0.11,NA,NA,NA,0.454,NA,NA,NA,NA,NA,NA,0.186,NA,NA,NA,NA,0.0475,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,0.214206219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282,NA,NA,NA,NA,0.71,NA
Leaf lamina thickness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA
Leaf lifespan,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf nitrogen (N) content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
