row.names,river,elev
B1GA,Bal,GL
B1GB,Bal,GL
BIUA,Bal,UP
B1UB,Bal,UP
B2GA,Bal,GL
B2GB,Bal,GL
B2UA,Bal,UP
B2UB,Bal,UP
I1GA,Ind,GL
I1GB,Ind,GL
I1UA,Ind,UP
I1UB,Ind,UP
I2GA,Ind,GL
I2GB,Ind,GL
I2UA,Ind,UP
I2UB,Ind,UP
K1GA,Kay,GL
K1GB,Kay,GL
K1UA,Kay,UP
K1UB,Kay,UP
K2GA,Kay,GL
K2GB,Kay,GL
K2UA,Kay,UP
K2UB,Kay,UP
